date,time,humid
2019-02-01,00:00,76.9
2019-02-01,01:00,79.2
2019-02-01,02:00,81.4
2019-02-01,03:00,82.9
2019-02-01,04:00,84.5
2019-02-01,05:00,85.7
2019-02-01,06:00,86
2019-02-01,07:00,86.6
2019-02-01,08:00,85.6
2019-02-01,09:00,77.8
2019-02-01,10:00,59
2019-02-01,11:00,54.5
2019-02-01,12:00,-999
2019-02-01,13:00,44.9
2019-02-01,14:00,39.4
2019-02-01,15:00,39.9
2019-02-01,16:00,40.6
2019-02-01,17:00,45.1
2019-02-01,18:00,50.4
2019-02-01,19:00,54
2019-02-01,20:00,57.3
2019-02-01,21:00,66.3
2019-02-01,22:00,71.7
2019-02-01,23:00,75.3
2019-02-02,00:00,75.9
2019-02-02,01:00,78.5
2019-02-02,02:00,77.3
2019-02-02,03:00,80.4
2019-02-02,04:00,82.9
2019-02-02,05:00,85.1
2019-02-02,06:00,86.1
2019-02-02,07:00,86.5
2019-02-02,08:00,86.8
2019-02-02,09:00,74.9
2019-02-02,10:00,54.1
2019-02-02,11:00,52
2019-02-02,12:00,42.6
2019-02-02,13:00,40.4
2019-02-02,14:00,37.9
2019-02-02,15:00,41.2
2019-02-02,16:00,45.1
2019-02-02,17:00,-999
2019-02-02,18:00,50.2
2019-02-02,19:00,60
2019-02-02,20:00,68.6
2019-02-02,21:00,74.6
2019-02-02,22:00,77
2019-02-02,23:00,81
2019-02-03,00:00,82.7
2019-02-03,01:00,-999
2019-02-03,02:00,85.9
2019-02-03,03:00,86.8
2019-02-03,04:00,87.9
2019-02-03,05:00,87.2
2019-02-03,06:00,88.1
2019-02-03,07:00,88.3
2019-02-03,08:00,90.2
2019-02-03,09:00,80
2019-02-03,10:00,54.7
2019-02-03,11:00,51.5
2019-02-03,12:00,48.7
2019-02-03,13:00,37.3
2019-02-03,14:00,32.5
2019-02-03,15:00,34.9
2019-02-03,16:00,33.6
2019-02-03,17:00,36.9
2019-02-03,18:00,47.5
2019-02-03,19:00,52.6
2019-02-03,20:00,58.3
2019-02-03,21:00,58.6
2019-02-03,22:00,65
2019-02-03,23:00,72.4
2019-02-04,00:00,75.2
2019-02-04,01:00,74.2
2019-02-04,02:00,78.8
2019-02-04,03:00,78.9
2019-02-04,04:00,82
2019-02-04,05:00,84
2019-02-04,06:00,83.7
2019-02-04,07:00,84.5
2019-02-04,08:00,86.1
2019-02-04,09:00,72.8
2019-02-04,10:00,53.7
2019-02-04,11:00,50.2
2019-02-04,12:00,41.1
2019-02-04,13:00,32.9
2019-02-04,14:00,32.4
2019-02-04,15:00,-999
2019-02-04,16:00,32.1
2019-02-04,17:00,33.8
2019-02-04,18:00,42.5
2019-02-04,19:00,51
2019-02-04,20:00,62.2
2019-02-04,21:00,66.1
2019-02-04,22:00,71
2019-02-04,23:00,74.1
2019-02-05,00:00,75
2019-02-05,01:00,76.6
2019-02-05,02:00,79.1
2019-02-05,03:00,83.5
2019-02-05,04:00,83.9
2019-02-05,05:00,84.5
2019-02-05,06:00,84.5
2019-02-05,07:00,85.4
2019-02-05,08:00,85.4
2019-02-05,09:00,72
2019-02-05,10:00,45.4
2019-02-05,11:00,44.1
2019-02-05,12:00,40.8
2019-02-05,13:00,33.3
2019-02-05,14:00,26.6
2019-02-05,15:00,-999
2019-02-05,16:00,-999
2019-02-05,17:00,24
2019-02-05,18:00,29.9
2019-02-05,19:00,37.9
2019-02-05,20:00,45.2
2019-02-05,21:00,54.5
2019-02-05,22:00,63.4
2019-02-05,23:00,65.1
2019-02-06,00:00,68.3
2019-02-06,01:00,72.8
2019-02-06,02:00,72.5
2019-02-06,03:00,73.5
2019-02-06,04:00,76.5
2019-02-06,05:00,78.3
2019-02-06,06:00,80.8
2019-02-06,07:00,80.5
2019-02-06,08:00,79.6
2019-02-06,09:00,61.4
2019-02-06,10:00,41.9
2019-02-06,11:00,35.1
2019-02-06,12:00,32
2019-02-06,13:00,25.9
2019-02-06,14:00,25
2019-02-06,15:00,23.4
2019-02-06,16:00,25.6
2019-02-06,17:00,26.5
2019-02-06,18:00,32.7
2019-02-06,19:00,40.5
2019-02-06,20:00,48.2
2019-02-06,21:00,57.7
2019-02-06,22:00,64.6
2019-02-06,23:00,70.4
2019-02-07,00:00,73.5
2019-02-07,01:00,-999
2019-02-07,02:00,79.1
2019-02-07,03:00,80.8
2019-02-07,04:00,80.5
2019-02-07,05:00,82.4
2019-02-07,06:00,84.4
2019-02-07,07:00,83.9
2019-02-07,08:00,80.5
2019-02-07,09:00,65.9
2019-02-07,10:00,44.7
2019-02-07,11:00,40.8
2019-02-07,12:00,38.8
2019-02-07,13:00,34.5
2019-02-07,14:00,27.3
2019-02-07,15:00,28.6
2019-02-07,16:00,31.8
2019-02-07,17:00,35
2019-02-07,18:00,39.4
2019-02-07,19:00,46.6
2019-02-07,20:00,52.6
2019-02-07,21:00,64
2019-02-07,22:00,66.7
2019-02-07,23:00,70.5
2019-02-08,00:00,70.3
2019-02-08,01:00,76.7
2019-02-08,02:00,76.9
2019-02-08,03:00,79.9
2019-02-08,04:00,80.6
2019-02-08,05:00,-999
2019-02-08,06:00,83.3
2019-02-08,07:00,-999
2019-02-08,08:00,85
2019-02-08,09:00,68.3
2019-02-08,10:00,-999
2019-02-08,11:00,44.2
2019-02-08,12:00,39.2
2019-02-08,13:00,-999
2019-02-08,14:00,22.4
2019-02-08,15:00,22.6
2019-02-08,16:00,21
2019-02-08,17:00,25.7
2019-02-08,18:00,29.2
2019-02-08,19:00,34.9
2019-02-08,20:00,46.1
2019-02-08,21:00,56.3
2019-02-08,22:00,63.2
2019-02-08,23:00,65.3
2019-02-09,00:00,72
2019-02-09,01:00,74.9
2019-02-09,02:00,76.3
2019-02-09,03:00,78.2
2019-02-09,04:00,81.7
2019-02-09,05:00,83.4
2019-02-09,06:00,83
2019-02-09,07:00,83.6
2019-02-09,08:00,81.9
2019-02-09,09:00,64.9
2019-02-09,10:00,41.1
2019-02-09,11:00,36.7
2019-02-09,12:00,-999
2019-02-09,13:00,26.8
2019-02-09,14:00,20.4
2019-02-09,15:00,21.7
2019-02-09,16:00,24.2
2019-02-09,17:00,28
2019-02-09,18:00,29
2019-02-09,19:00,35.6
2019-02-09,20:00,46
2019-02-09,21:00,53.7
2019-02-09,22:00,56.1
2019-02-09,23:00,63.7
2019-02-10,00:00,67.6
2019-02-10,01:00,71.8
2019-02-10,02:00,73.6
2019-02-10,03:00,74.5
2019-02-10,04:00,79
2019-02-10,05:00,80.2
2019-02-10,06:00,80.3
2019-02-10,07:00,82.1
2019-02-10,08:00,81.5
2019-02-10,09:00,67.4
2019-02-10,10:00,41.9
2019-02-10,11:00,36
2019-02-10,12:00,32.6
2019-02-10,13:00,25.1
2019-02-10,14:00,22.4
2019-02-10,15:00,24.8
2019-02-10,16:00,26.2
2019-02-10,17:00,23.4
2019-02-10,18:00,26
2019-02-10,19:00,35.2
2019-02-10,20:00,46.2
2019-02-10,21:00,52.5
2019-02-10,22:00,58.4
2019-02-10,23:00,64.3
2019-02-11,00:00,64
2019-02-11,01:00,68.1
2019-02-11,02:00,73.4
2019-02-11,03:00,74
2019-02-11,04:00,76.5
2019-02-11,05:00,80.2
2019-02-11,06:00,79.1
2019-02-11,07:00,80.7
2019-02-11,08:00,78.9
2019-02-11,09:00,68.6
2019-02-11,10:00,46.4
2019-02-11,11:00,44.2
2019-02-11,12:00,36.9
2019-02-11,13:00,35.6
2019-02-11,14:00,34.6
2019-02-11,15:00,32.8
2019-02-11,16:00,36.7
2019-02-11,17:00,33.5
2019-02-11,18:00,37.5
2019-02-11,19:00,48.1
2019-02-11,20:00,48.3
2019-02-11,21:00,56.3
2019-02-11,22:00,61.8
2019-02-11,23:00,66.1
2019-02-12,00:00,72.1
2019-02-12,01:00,76.7
2019-02-12,02:00,79.3
2019-02-12,03:00,81.2
2019-02-12,04:00,81.7
2019-02-12,05:00,84
2019-02-12,06:00,82.5
2019-02-12,07:00,83
2019-02-12,08:00,82.5
2019-02-12,09:00,73.5
2019-02-12,10:00,61.2
2019-02-12,11:00,55.7
2019-02-12,12:00,51.8
2019-02-12,13:00,49.2
2019-02-12,14:00,42.9
2019-02-12,15:00,52.5
2019-02-12,16:00,47.5
2019-02-12,17:00,50.3
2019-02-12,18:00,61.5
2019-02-12,19:00,63.8
2019-02-12,20:00,62.1
2019-02-12,21:00,65.7
2019-02-12,22:00,73.6
2019-02-12,23:00,74.6
2019-02-13,00:00,74.5
2019-02-13,01:00,79.8
2019-02-13,02:00,81.1
2019-02-13,03:00,82.5
2019-02-13,04:00,85.5
2019-02-13,05:00,-999
2019-02-13,06:00,86.5
2019-02-13,07:00,87.1
2019-02-13,08:00,86.6
2019-02-13,09:00,77.1
2019-02-13,10:00,60.2
2019-02-13,11:00,54.7
2019-02-13,12:00,48.7
2019-02-13,13:00,40.2
2019-02-13,14:00,39.4
2019-02-13,15:00,36
2019-02-13,16:00,35
2019-02-13,17:00,44.3
2019-02-13,18:00,56
2019-02-13,19:00,-999
2019-02-13,20:00,61
2019-02-13,21:00,65.8
2019-02-13,22:00,68.3
2019-02-13,23:00,76.7
2019-02-14,00:00,80.1
2019-02-14,01:00,83.9
2019-02-14,02:00,84.8
2019-02-14,03:00,84.7
2019-02-14,04:00,86.3
2019-02-14,05:00,87.2
2019-02-14,06:00,88.3
2019-02-14,07:00,88.4
2019-02-14,08:00,89.1
2019-02-14,09:00,75.7
2019-02-14,10:00,54
2019-02-14,11:00,51.5
2019-02-14,12:00,45.8
2019-02-14,13:00,37.7
2019-02-14,14:00,33.2
2019-02-14,15:00,37.8
2019-02-14,16:00,38.7
2019-02-14,17:00,45.5
2019-02-14,18:00,51
2019-02-14,19:00,58.7
2019-02-14,20:00,60.8
2019-02-14,21:00,64.1
2019-02-14,22:00,68
2019-02-14,23:00,74.7
2019-02-15,00:00,77.6
2019-02-15,01:00,79.9
