date,time,humid
2019-03-01,00:00,84.33
2019-03-01,01:00,88.17
2019-03-01,02:00,90.5
2019-03-01,03:00,90
2019-03-01,04:00,92.67
2019-03-01,05:00,92.83
2019-03-01,06:00,92.33
2019-03-01,07:00,91.83
2019-03-01,08:00,83.83
2019-03-01,09:00,71.5
2019-03-01,10:00,47
2019-03-01,11:00,38
2019-03-01,12:00,35.17
2019-03-01,13:00,32
2019-03-01,14:00,30.5
2019-03-01,15:00,31.67
2019-03-01,16:00,35.83
2019-03-01,17:00,36.17
2019-03-01,18:00,40.33
2019-03-01,19:00,51.17
2019-03-01,20:00,54.17
2019-03-01,21:00,59.17
2019-03-01,22:00,62.83
2019-03-01,23:00,67.67
2019-03-02,00:00,63.67
2019-03-02,01:00,73.83
2019-03-02,02:00,77.67
2019-03-02,03:00,71.83
2019-03-02,04:00,77.17
2019-03-02,05:00,81.17
2019-03-02,06:00,80.17
2019-03-02,07:00,82.67
2019-03-02,08:00,73.83
2019-03-02,09:00,58.17
2019-03-02,10:00,38.83
2019-03-02,11:00,32.67
2019-03-02,12:00,31.83
2019-03-02,13:00,29.5
2019-03-02,14:00,28.67
2019-03-02,15:00,29.17
2019-03-02,16:00,34.83
2019-03-02,17:00,36.67
2019-03-02,18:00,41.83
2019-03-02,19:00,39.67
2019-03-02,20:00,51.17
2019-03-02,21:00,58.5
2019-03-02,22:00,64.17
2019-03-02,23:00,56.33
2019-03-03,00:00,70.83
2019-03-03,01:00,74.83
2019-03-03,02:00,77
2019-03-03,03:00,81.5
2019-03-03,04:00,83.17
2019-03-03,05:00,86.17
2019-03-03,06:00,89.17
2019-03-03,07:00,88.83
2019-03-03,08:00,75.83
2019-03-03,09:00,55.67
2019-03-03,10:00,41.17
2019-03-03,11:00,35.83
2019-03-03,12:00,30.5
2019-03-03,13:00,27.67
2019-03-03,14:00,23.33
2019-03-03,15:00,24.17
2019-03-03,16:00,23.33
2019-03-03,17:00,29.5
2019-03-03,18:00,35.17
2019-03-03,19:00,44
2019-03-03,20:00,59.17
2019-03-03,21:00,48.33
2019-03-03,22:00,43.83
2019-03-03,23:00,49.5
2019-03-04,00:00,62.83
2019-03-04,01:00,67.5
2019-03-04,02:00,69.67
2019-03-04,03:00,73.17
2019-03-04,04:00,78
2019-03-04,05:00,81.67
2019-03-04,06:00,83.67
2019-03-04,07:00,85.33
2019-03-04,08:00,72.33
2019-03-04,09:00,56.5
2019-03-04,10:00,41.5
2019-03-04,11:00,29.17
2019-03-04,12:00,24.67
2019-03-04,13:00,25.5
2019-03-04,14:00,22.5
2019-03-04,15:00,-999
2019-03-04,16:00,-999
2019-03-04,17:00,22.83
2019-03-04,18:00,28.17
2019-03-04,19:00,37.17
2019-03-04,20:00,38.83
2019-03-04,21:00,52
2019-03-04,22:00,55.33
2019-03-04,23:00,61.17
2019-03-05,00:00,67.5
2019-03-05,01:00,76
2019-03-05,02:00,80.33
2019-03-05,03:00,84
2019-03-05,04:00,83.67
2019-03-05,05:00,86
2019-03-05,06:00,89.83
2019-03-05,07:00,91.33
2019-03-05,08:00,75.5
2019-03-05,09:00,55.5
2019-03-05,10:00,33.83
2019-03-05,11:00,24.5
2019-03-05,12:00,21.33
2019-03-05,13:00,-999
2019-03-05,14:00,-999
2019-03-05,15:00,-999
2019-03-05,16:00,-999
2019-03-05,17:00,23.67
2019-03-05,18:00,30.83
2019-03-05,19:00,34.83
2019-03-05,20:00,44.83
2019-03-05,21:00,49.5
2019-03-05,22:00,53
2019-03-05,23:00,60.5
2019-03-06,00:00,65.5
2019-03-06,01:00,77.17
2019-03-06,02:00,81.33
2019-03-06,03:00,82.83
2019-03-06,04:00,86.17
2019-03-06,05:00,89.5
2019-03-06,06:00,90.67
2019-03-06,07:00,91.33
2019-03-06,08:00,74.67
2019-03-06,09:00,58.17
2019-03-06,10:00,44.17
2019-03-06,11:00,32.17
2019-03-06,12:00,27
2019-03-06,13:00,23.67
2019-03-06,14:00,21.33
2019-03-06,15:00,21
2019-03-06,16:00,21
2019-03-06,17:00,22
2019-03-06,18:00,27.33
2019-03-06,19:00,44.67
2019-03-06,20:00,52
2019-03-06,21:00,57
2019-03-06,22:00,60.83
2019-03-06,23:00,65.33
2019-03-07,00:00,60
2019-03-07,01:00,75.5
2019-03-07,02:00,75.17
2019-03-07,03:00,80.67
2019-03-07,04:00,80.67
2019-03-07,05:00,84.67
2019-03-07,06:00,85.33
2019-03-07,07:00,85
2019-03-07,08:00,72.33
2019-03-07,09:00,54.33
2019-03-07,10:00,34.67
2019-03-07,11:00,28.67
2019-03-07,12:00,27.5
2019-03-07,13:00,21.83
2019-03-07,14:00,20.33
2019-03-07,15:00,22.5
2019-03-07,16:00,23.33
2019-03-07,17:00,22.5
2019-03-07,18:00,31.5
2019-03-07,19:00,47.83
2019-03-07,20:00,51.83
2019-03-07,21:00,59.67
2019-03-07,22:00,66
2019-03-07,23:00,68.33
2019-03-08,00:00,73.17
2019-03-08,01:00,76
2019-03-08,02:00,79.17
2019-03-08,03:00,79.67
2019-03-08,04:00,81.83
2019-03-08,05:00,84.33
2019-03-08,06:00,86.33
2019-03-08,07:00,88.17
2019-03-08,08:00,76.67
2019-03-08,09:00,58
2019-03-08,10:00,42.33
2019-03-08,11:00,35.17
2019-03-08,12:00,30
2019-03-08,13:00,27.17
2019-03-08,14:00,27.5
2019-03-08,15:00,27.5
2019-03-08,16:00,32.67
2019-03-08,17:00,29.5
2019-03-08,18:00,36.33
2019-03-08,19:00,32.5
2019-03-08,20:00,48.67
2019-03-08,21:00,48.5
2019-03-08,22:00,57
2019-03-08,23:00,64.33
2019-03-09,00:00,70.17
2019-03-09,01:00,72.83
2019-03-09,02:00,77.33
2019-03-09,03:00,80
2019-03-09,04:00,77.83
2019-03-09,05:00,86.33
2019-03-09,06:00,89.5
2019-03-09,07:00,88.33
2019-03-09,08:00,73.67
2019-03-09,09:00,52.67
2019-03-09,10:00,33.5
