date,time,humid
2019-11-01,00:00,76.8
2019-11-01,01:00,76.1
2019-11-01,02:00,73
2019-11-01,03:00,73.7
2019-11-01,04:00,73.4
2019-11-01,05:00,79.8
2019-11-01,06:00,83.9
2019-11-01,07:00,80.2
2019-11-01,08:00,84.7
2019-11-01,09:00,88.4
2019-11-01,10:00,70.5
2019-11-01,11:00,64
2019-11-01,12:00,72.9
2019-11-01,13:00,73.4
2019-11-01,14:00,90.7
2019-11-01,15:00,94.2
2019-11-01,16:00,95.3
2019-11-01,17:00,96
2019-11-01,18:00,97.3
2019-11-01,19:00,98
2019-11-01,20:00,98.6
2019-11-01,21:00,98.7
2019-11-01,22:00,99.2
2019-11-01,23:00,99.4
2019-11-02,00:00,99.6
2019-11-02,01:00,99.3
2019-11-02,02:00,99.4
2019-11-02,03:00,99.8
2019-11-02,04:00,100
2019-11-02,05:00,100
2019-11-02,06:00,100
2019-11-02,07:00,100
2019-11-02,08:00,100
2019-11-02,09:00,93.8
2019-11-02,10:00,81.8
2019-11-02,11:00,68
2019-11-02,12:00,61.1
2019-11-02,13:00,-999
2019-11-02,14:00,53.6
2019-11-02,15:00,-999
2019-11-02,16:00,48.4
2019-11-02,17:00,58.4
2019-11-02,18:00,91.3
2019-11-02,19:00,96.4
2019-11-02,20:00,97.5
2019-11-02,21:00,98.1
2019-11-02,22:00,97.5
2019-11-02,23:00,98.1
2019-11-03,00:00,97.1
2019-11-03,01:00,98.2
2019-11-03,02:00,98.7
2019-11-03,03:00,98.9
2019-11-03,04:00,99.5
2019-11-03,05:00,99.5
2019-11-03,06:00,99.3
2019-11-03,07:00,97.2
2019-11-03,08:00,90.2
2019-11-03,09:00,77.5
2019-11-03,10:00,69.1
2019-11-03,11:00,58.3
2019-11-03,12:00,-999
2019-11-03,13:00,55.7
2019-11-03,14:00,52.5
2019-11-03,15:00,81.5
2019-11-03,16:00,70
2019-11-03,17:00,81.4
2019-11-03,18:00,93.8
2019-11-03,19:00,94.5
2019-11-03,20:00,94.6
2019-11-03,21:00,94.3
2019-11-03,22:00,94.9
2019-11-03,23:00,94.9
2019-11-04,00:00,89.5
2019-11-04,01:00,91
2019-11-04,02:00,95.3
2019-11-04,03:00,97.4
2019-11-04,04:00,98.5
2019-11-04,05:00,98.9
2019-11-04,06:00,99.2
2019-11-04,07:00,99.9
2019-11-04,08:00,98.2
2019-11-04,09:00,80.2
2019-11-04,10:00,66.7
2019-11-04,11:00,56.1
2019-11-04,12:00,50.5
2019-11-04,13:00,48.5
2019-11-04,14:00,48.6
2019-11-04,15:00,-999
2019-11-04,16:00,49.5
2019-11-04,17:00,59.2
2019-11-04,18:00,73.1
2019-11-04,19:00,81.3
2019-11-04,20:00,84.8
2019-11-04,21:00,89.6
2019-11-04,22:00,91
2019-11-04,23:00,89.8
2019-11-05,00:00,89.1
2019-11-05,01:00,89.7
2019-11-05,02:00,93.3
2019-11-05,03:00,93.3
2019-11-05,04:00,93.5
2019-11-05,05:00,90.6
2019-11-05,06:00,95.8
2019-11-05,07:00,96.4
2019-11-05,08:00,86.8
2019-11-05,09:00,72.9
2019-11-05,10:00,59.2
2019-11-05,11:00,47.1
2019-11-05,12:00,45.7
2019-11-05,13:00,-999
2019-11-05,14:00,37
2019-11-05,15:00,35.4
2019-11-05,16:00,37.7
2019-11-05,17:00,43.9
2019-11-05,18:00,61.6
2019-11-05,19:00,73.9
2019-11-05,20:00,82.2
2019-11-05,21:00,86.4
2019-11-05,22:00,86.7
2019-11-05,23:00,89.3
2019-11-06,00:00,90.2
2019-11-06,01:00,90.7
2019-11-06,02:00,92.7
2019-11-06,03:00,94.2
2019-11-06,04:00,95.8
2019-11-06,05:00,96.9
2019-11-06,06:00,97.6
2019-11-06,07:00,98
2019-11-06,08:00,93.5
2019-11-06,09:00,73.3
2019-11-06,10:00,59.1
2019-11-06,11:00,49.7
2019-11-06,12:00,48
2019-11-06,13:00,44.6
2019-11-06,14:00,43.2
2019-11-06,15:00,37.8
2019-11-06,16:00,38.1
2019-11-06,17:00,47.3
2019-11-06,18:00,68.9
2019-11-06,19:00,80.1
2019-11-06,20:00,85.4
2019-11-06,21:00,87.2
2019-11-06,22:00,89.6
2019-11-06,23:00,92.4
2019-11-07,00:00,95.1
2019-11-07,01:00,96.1
2019-11-07,02:00,97
2019-11-07,03:00,97.4
2019-11-07,04:00,97.8
2019-11-07,05:00,98
2019-11-07,06:00,98.1
2019-11-07,07:00,96.9
2019-11-07,08:00,85.9
2019-11-07,09:00,66.6
2019-11-07,10:00,57.2
2019-11-07,11:00,46.3
2019-11-07,12:00,42.6
2019-11-07,13:00,46
2019-11-07,14:00,47.6
2019-11-07,15:00,50.3
2019-11-07,16:00,52.5
2019-11-07,17:00,55.9
2019-11-07,18:00,69.5
2019-11-07,19:00,77.4
2019-11-07,20:00,81.4
2019-11-07,21:00,77.2
2019-11-07,22:00,81.9
2019-11-07,23:00,79.8
2019-11-08,00:00,74
2019-11-08,01:00,74.2
2019-11-08,02:00,83.1
2019-11-08,03:00,89.5
2019-11-08,04:00,89.9
2019-11-08,05:00,92
2019-11-08,06:00,92.9
2019-11-08,07:00,94.3
2019-11-08,08:00,78.3
2019-11-08,09:00,60.7
2019-11-08,10:00,51.2
2019-11-08,11:00,41.9
2019-11-08,12:00,39.6
2019-11-08,13:00,37
2019-11-08,14:00,38.1
2019-11-08,15:00,36.7
2019-11-08,16:00,45.1
2019-11-08,17:00,48.8
2019-11-08,18:00,61
2019-11-08,19:00,73.4
2019-11-08,20:00,72.7
2019-11-08,21:00,77.4
2019-11-08,22:00,79.3
2019-11-08,23:00,79.9
2019-11-09,00:00,84.1
2019-11-09,01:00,87.6
2019-11-09,02:00,91.5
2019-11-09,03:00,93.7
2019-11-09,04:00,90.6
2019-11-09,05:00,91.3
2019-11-09,06:00,93
2019-11-09,07:00,94.1
2019-11-09,08:00,82.3
2019-11-09,09:00,60.7
2019-11-09,10:00,50.8
2019-11-09,11:00,42.2
2019-11-09,12:00,39.5
2019-11-09,13:00,40.3
2019-11-09,14:00,41
2019-11-09,15:00,-999
2019-11-09,16:00,42.8
2019-11-09,17:00,54.7
2019-11-09,18:00,69.3
2019-11-09,19:00,77.6
2019-11-09,20:00,82.1
2019-11-09,21:00,87.9
2019-11-09,22:00,90.6
2019-11-09,23:00,92.7
2019-11-10,00:00,94.2
2019-11-10,01:00,95.8
2019-11-10,02:00,96.3
2019-11-10,03:00,96.8
2019-11-10,04:00,97.7
2019-11-10,05:00,97.5
2019-11-10,06:00,98.3
2019-11-10,07:00,98.8
2019-11-10,08:00,98.3
2019-11-10,09:00,78.5
2019-11-10,10:00,54
2019-11-10,11:00,40
2019-11-10,12:00,37.9
2019-11-10,13:00,-999
2019-11-10,14:00,28.3
2019-11-10,15:00,28.3
2019-11-10,16:00,30.2
2019-11-10,17:00,39.3
2019-11-10,18:00,53.2
2019-11-10,19:00,64.3
2019-11-10,20:00,66.6
2019-11-10,21:00,67.6
2019-11-10,22:00,71.9
2019-11-10,23:00,76.8
2019-11-11,00:00,83.1
2019-11-11,01:00,85.4
2019-11-11,02:00,87.7
2019-11-11,03:00,86.8
2019-11-11,04:00,89.9
2019-11-11,05:00,91.9
2019-11-11,06:00,91.1
2019-11-11,07:00,92.8
2019-11-11,08:00,76.4
2019-11-11,09:00,60.4
2019-11-11,10:00,43.6
2019-11-11,11:00,38.2
2019-11-11,12:00,33.5
2019-11-11,13:00,34.6
2019-11-11,14:00,36.2
2019-11-11,15:00,33.3
2019-11-11,16:00,35.5
2019-11-11,17:00,40.7
2019-11-11,18:00,54
2019-11-11,19:00,61.1
2019-11-11,20:00,60.4
2019-11-11,21:00,64.7
2019-11-11,22:00,66.9
2019-11-11,23:00,68.6
2019-11-12,00:00,68.4
2019-11-12,01:00,73
2019-11-12,02:00,73.5
2019-11-12,03:00,78
2019-11-12,04:00,78.8
2019-11-12,05:00,79.2
2019-11-12,06:00,79.2
2019-11-12,07:00,81.3
2019-11-12,08:00,61.4
2019-11-12,09:00,57.1
2019-11-12,10:00,47.8
