date,time,humid
2021-04-01,00:00,58.3
2021-04-01,01:00,63.3
2021-04-01,02:00,64.1
2021-04-01,03:00,66.5
2021-04-01,04:00,71.1
2021-04-01,05:00,73
2021-04-01,06:00,78.9
2021-04-01,07:00,77.2
2021-04-01,08:00,71.8
2021-04-01,09:00,64.2
2021-04-01,10:00,49.8
2021-04-01,11:00,44.4
2021-04-01,12:00,41.6
2021-04-01,13:00,38
2021-04-01,14:00,37.5
2021-04-01,15:00,32.2
2021-04-01,16:00,32.5
2021-04-01,17:00,36.8
2021-04-01,18:00,39.7
2021-04-01,19:00,44.3
2021-04-01,20:00,46.6
2021-04-01,21:00,48
2021-04-01,22:00,54.3
2021-04-01,23:00,49.4
2021-04-02,00:00,53.6
2021-04-02,01:00,61.7
2021-04-02,02:00,60.4
2021-04-02,03:00,62.2
2021-04-02,04:00,69.4
2021-04-02,05:00,74.5
2021-04-02,06:00,73.4
2021-04-02,07:00,76.6
2021-04-02,08:00,73
2021-04-02,09:00,60.3
2021-04-02,10:00,49.5
2021-04-02,11:00,48.1
2021-04-02,12:00,46.9
2021-04-02,13:00,42
2021-04-02,14:00,39
2021-04-02,15:00,38.9
2021-04-02,16:00,41.1
2021-04-02,17:00,39.6
2021-04-02,18:00,49.9
2021-04-02,19:00,54.3
2021-04-02,20:00,55.6
2021-04-02,21:00,56
2021-04-02,22:00,60.6
2021-04-02,23:00,63.1
2021-04-03,00:00,62.1
2021-04-03,01:00,65.8
2021-04-03,02:00,66.7
2021-04-03,03:00,71.7
2021-04-03,04:00,75.1
2021-04-03,05:00,78.3
2021-04-03,06:00,78.1
2021-04-03,07:00,82.3
2021-04-03,08:00,73.6
2021-04-03,09:00,62.3
2021-04-03,10:00,54.1
2021-04-03,11:00,46.2
2021-04-03,12:00,44.5
2021-04-03,13:00,42.8
2021-04-03,14:00,38.2
2021-04-03,15:00,37.7
2021-04-03,16:00,37.3
2021-04-03,17:00,35.9
2021-04-03,18:00,41.4
2021-04-03,19:00,46.6
2021-04-03,20:00,89.5
2021-04-03,21:00,-999
2021-04-03,22:00,94.9
2021-04-03,23:00,95.6
2021-04-04,00:00,96
2021-04-04,01:00,96.5
2021-04-04,02:00,96.8
2021-04-04,03:00,97.1
2021-04-04,04:00,97.3
2021-04-04,05:00,96.5
2021-04-04,06:00,96.3
2021-04-04,07:00,97.3
2021-04-04,08:00,97.6
2021-04-04,09:00,97.6
2021-04-04,10:00,97.4
2021-04-04,11:00,96.5
2021-04-04,12:00,96.1
2021-04-04,13:00,95.7
2021-04-04,14:00,96.1
2021-04-04,15:00,95.4
2021-04-04,16:00,95.8
2021-04-04,17:00,96.1
2021-04-04,18:00,96.3
2021-04-04,19:00,97
2021-04-04,20:00,97.5
2021-04-04,21:00,97.7
2021-04-04,22:00,97.6
2021-04-04,23:00,97.9
2021-04-05,00:00,97.7
2021-04-05,01:00,97.5
2021-04-05,02:00,97.9
2021-04-05,03:00,98.1
2021-04-05,04:00,97.5
2021-04-05,05:00,97.9
2021-04-05,06:00,98.1
2021-04-05,07:00,98.2
2021-04-05,08:00,98.3
2021-04-05,09:00,97.9
2021-04-05,10:00,96.6
2021-04-05,11:00,91.1
2021-04-05,12:00,85.8
2021-04-05,13:00,84.9
2021-04-05,14:00,92.6
2021-04-05,15:00,94.5
2021-04-05,16:00,95.3
2021-04-05,17:00,96.2
2021-04-05,18:00,95.5
2021-04-05,19:00,96
2021-04-05,20:00,96.6
2021-04-05,21:00,97
2021-04-05,22:00,97.6
2021-04-05,23:00,97.7
2021-04-06,00:00,97.9
2021-04-06,01:00,98
2021-04-06,02:00,98
2021-04-06,03:00,97
2021-04-06,04:00,97.3
2021-04-06,05:00,97.3
2021-04-06,06:00,97.6
2021-04-06,07:00,98
2021-04-06,08:00,97.7
2021-04-06,09:00,97.5
2021-04-06,10:00,97.8
2021-04-06,11:00,96.7
2021-04-06,12:00,97.1
2021-04-06,13:00,95.3
2021-04-06,14:00,94.8
2021-04-06,15:00,94.7
2021-04-06,16:00,96
2021-04-06,17:00,95.7
2021-04-06,18:00,95.7
2021-04-06,19:00,97.3
2021-04-06,20:00,97.9
2021-04-06,21:00,98
2021-04-06,22:00,98
2021-04-06,23:00,98.2
2021-04-07,00:00,98.3
2021-04-07,01:00,98.3
2021-04-07,02:00,98.3
2021-04-07,03:00,98.4
2021-04-07,04:00,98.5
2021-04-07,05:00,98.6
2021-04-07,06:00,98.7
2021-04-07,07:00,98.9
2021-04-07,08:00,98.9
2021-04-07,09:00,94.6
2021-04-07,10:00,82.8
2021-04-07,11:00,74.7
2021-04-07,12:00,60.4
2021-04-07,13:00,59.3
2021-04-07,14:00,55.9
2021-04-07,15:00,51.4
2021-04-07,16:00,54.3
2021-04-07,17:00,49.9
2021-04-07,18:00,59
2021-04-07,19:00,70.1
2021-04-07,20:00,78.4
2021-04-07,21:00,79.6
2021-04-07,22:00,85.2
2021-04-07,23:00,89
2021-04-08,00:00,91.4
2021-04-08,01:00,91.4
2021-04-08,02:00,93.3
2021-04-08,03:00,92.6
2021-04-08,04:00,94.8
2021-04-08,05:00,96
2021-04-08,06:00,95.7
2021-04-08,07:00,95.6
2021-04-08,08:00,94.3
2021-04-08,09:00,86.8
2021-04-08,10:00,72.6
2021-04-08,11:00,62
2021-04-08,12:00,59.5
2021-04-08,13:00,54.3
2021-04-08,14:00,48.4
2021-04-08,15:00,50.4
2021-04-08,16:00,47.6
2021-04-08,17:00,49.4
2021-04-08,18:00,58
2021-04-08,19:00,68.8
2021-04-08,20:00,72.4
2021-04-08,21:00,74.1
2021-04-08,22:00,81.5
2021-04-08,23:00,83.9
2021-04-09,00:00,86.7
2021-04-09,01:00,88.8
2021-04-09,02:00,92.1
2021-04-09,03:00,92.8
2021-04-09,04:00,93.1
2021-04-09,05:00,93.6
2021-04-09,06:00,95.2
2021-04-09,07:00,94.4
2021-04-09,08:00,84
2021-04-09,09:00,73.4
2021-04-09,10:00,64.3
2021-04-09,11:00,55.5
2021-04-09,12:00,51.4
2021-04-09,13:00,47.7
2021-04-09,14:00,46.6
2021-04-09,15:00,44.9
2021-04-09,16:00,62.4
2021-04-09,17:00,63.1
2021-04-09,18:00,70.3
2021-04-09,19:00,68.5
2021-04-09,20:00,73.6
2021-04-09,21:00,80.3
2021-04-09,22:00,83.8
2021-04-09,23:00,82.8
2021-04-10,00:00,81.6
2021-04-10,01:00,91.2
2021-04-10,02:00,91.1
2021-04-10,03:00,92.7
2021-04-10,04:00,93.9
2021-04-10,05:00,95.1
2021-04-10,06:00,95.7
2021-04-10,07:00,96.4
2021-04-10,08:00,89.9
2021-04-10,09:00,73.5
2021-04-10,10:00,61.2
2021-04-10,11:00,56.9
2021-04-10,12:00,54.6
2021-04-10,13:00,54.2
2021-04-10,14:00,49.1
2021-04-10,15:00,48
2021-04-10,16:00,51.7
2021-04-10,17:00,49.3
2021-04-10,18:00,57.8
2021-04-10,19:00,61.9
2021-04-10,20:00,66.7
2021-04-10,21:00,71.5
2021-04-10,22:00,76.1
2021-04-10,23:00,80.2
2021-04-11,00:00,83.1
2021-04-11,01:00,84.7
2021-04-11,02:00,89
2021-04-11,03:00,86.1
2021-04-11,04:00,91.3
