date,time,humid
2023-10-01,00:00,92.4
2023-10-01,01:00,93.05
2023-10-01,02:00,93.12
2023-10-01,03:00,92.72
2023-10-01,04:00,92.53
2023-10-01,05:00,91.74
2023-10-01,06:00,92.94
2023-10-01,07:00,90.01
2023-10-01,08:00,84.63
2023-10-01,09:00,75.97
2023-10-01,10:00,69.32
2023-10-01,11:00,60.43
2023-10-01,12:00,61.95
2023-10-01,13:00,65.03
2023-10-01,14:00,79.46
2023-10-01,15:00,85.75
2023-10-01,16:00,81.23
2023-10-01,17:00,75.48
2023-10-01,18:00,85.34
2023-10-01,19:00,89.31
2023-10-01,20:00,91.45
2023-10-01,21:00,91.09
2023-10-01,22:00,89.72
2023-10-01,23:00,90.22
2023-10-02,00:00,91.68
2023-10-02,01:00,90.65
2023-10-02,02:00,93.56
2023-10-02,03:00,90.41
2023-10-02,04:00,91.31
2023-10-02,05:00,93.14
2023-10-02,06:00,92.24
2023-10-02,07:00,89.88
2023-10-02,08:00,84.58
2023-10-02,09:00,74.99
2023-10-02,10:00,72.86
2023-10-02,11:00,66.87
2023-10-02,12:00,57.67
2023-10-02,13:00,53.85
2023-10-02,14:00,57.02
2023-10-02,15:00,58.52
2023-10-02,16:00,49.63
2023-10-02,17:00,49.22
2023-10-02,18:00,75.31
2023-10-02,19:00,79.76
2023-10-02,20:00,86.88
2023-10-02,21:00,88.26
2023-10-02,22:00,90.22
2023-10-02,23:00,89.34
2023-10-03,00:00,91.21
2023-10-03,01:00,96.29
2023-10-03,02:00,96.98
2023-10-03,03:00,97.33
2023-10-03,04:00,97.4
2023-10-03,05:00,97.36
2023-10-03,06:00,97.71
2023-10-03,07:00,97.85
2023-10-03,08:00,94.34
2023-10-03,09:00,81.78
2023-10-03,10:00,77.99
2023-10-03,11:00,66.13
2023-10-03,12:00,65
2023-10-03,13:00,66.05
2023-10-03,14:00,62.31
2023-10-03,15:00,71.89
2023-10-03,16:00,77.15
2023-10-03,17:00,82.39
2023-10-03,18:00,84.27
2023-10-03,19:00,94.48
2023-10-03,20:00,95.35
2023-10-03,21:00,94.83
2023-10-03,22:00,95.47
2023-10-03,23:00,95.86
2023-10-04,00:00,96.06
2023-10-04,01:00,96.53
2023-10-04,02:00,96.73
2023-10-04,03:00,96.7
2023-10-04,04:00,97.05
