date,time,humid
2023-10-01,00:00,91.62
2023-10-01,01:00,91.82
2023-10-01,02:00,92.52
2023-10-01,03:00,92.55
2023-10-01,04:00,92.43
2023-10-01,05:00,93.01
2023-10-01,06:00,93.64
2023-10-01,07:00,91.71
2023-10-01,08:00,80.79
2023-10-01,09:00,74.22
2023-10-01,10:00,67.62
2023-10-01,11:00,63.45
2023-10-01,12:00,66.68
2023-10-01,13:00,65.73
2023-10-01,14:00,65.55
2023-10-01,15:00,69.14
2023-10-01,16:00,67.79
2023-10-01,17:00,74.4
2023-10-01,18:00,82.95
2023-10-01,19:00,85.81
2023-10-01,20:00,89.68
2023-10-01,21:00,89.6
2023-10-01,22:00,90.15
2023-10-01,23:00,91.08
2023-10-02,00:00,92.61
2023-10-02,01:00,91.15
2023-10-02,02:00,91.44
2023-10-02,03:00,91.72
2023-10-02,04:00,91.27
2023-10-02,05:00,92.29
2023-10-02,06:00,91.23
2023-10-02,07:00,89.94
2023-10-02,08:00,83.64
2023-10-02,09:00,76.93
2023-10-02,10:00,67.59
2023-10-02,11:00,60.74
2023-10-02,12:00,60.83
2023-10-02,13:00,57.2
2023-10-02,14:00,61.41
2023-10-02,15:00,55.08
2023-10-02,16:00,55.04
2023-10-02,17:00,67.75
2023-10-02,18:00,77.19
2023-10-02,19:00,79.11
2023-10-02,20:00,85.25
2023-10-02,21:00,87.52
2023-10-02,22:00,89.08
2023-10-02,23:00,87.95
2023-10-03,00:00,88.42
2023-10-03,01:00,89.17
2023-10-03,02:00,89.76
2023-10-03,03:00,91.24
2023-10-03,04:00,91.77
2023-10-03,05:00,91.25
2023-10-03,06:00,92.44
2023-10-03,07:00,90.4
2023-10-03,08:00,81.69
2023-10-03,09:00,68.1
2023-10-03,10:00,60.94
2023-10-03,11:00,66.65
2023-10-03,12:00,57.69
2023-10-03,13:00,55.16
2023-10-03,14:00,62.87
2023-10-03,15:00,70.74
2023-10-03,16:00,75.86
2023-10-03,17:00,80.25
2023-10-03,18:00,86.23
2023-10-03,19:00,81.95
2023-10-03,20:00,85.28
2023-10-03,21:00,91.34
2023-10-03,22:00,92.25
2023-10-03,23:00,92.84
2023-10-04,00:00,93.63
2023-10-04,01:00,93.73
2023-10-04,02:00,94.1
2023-10-04,03:00,94.25
2023-10-04,04:00,94.19
2023-10-04,05:00,94.07
2023-10-04,06:00,93.81
2023-10-04,07:00,93.21
2023-10-04,08:00,90.62
2023-10-04,09:00,88.23
2023-10-04,10:00,84.06
2023-10-04,11:00,73.35
2023-10-04,12:00,72.5
2023-10-04,13:00,69.3
2023-10-04,14:00,66.97
2023-10-04,15:00,75.25
2023-10-04,16:00,60.5
2023-10-04,17:00,80.63
2023-10-04,18:00,87.5
2023-10-04,19:00,92.15
2023-10-04,20:00,93.51
2023-10-04,21:00,93.65
2023-10-04,22:00,93.69
2023-10-04,23:00,93.69
2023-10-05,00:00,94.06
2023-10-05,01:00,93.91
2023-10-05,02:00,94.08
2023-10-05,03:00,94.13
2023-10-05,04:00,94.18
2023-10-05,05:00,94.08
2023-10-05,06:00,94.48
2023-10-05,07:00,92.56
2023-10-05,08:00,86.37
2023-10-05,09:00,81.63
2023-10-05,10:00,75.12
2023-10-05,11:00,73.82
2023-10-05,12:00,69.14
2023-10-05,13:00,67.79
2023-10-05,14:00,70.53
2023-10-05,15:00,69.12
2023-10-05,16:00,75.29
2023-10-05,17:00,69.47
2023-10-05,18:00,86.24
2023-10-05,19:00,85.78
2023-10-05,20:00,87.43
2023-10-05,21:00,89.97
2023-10-05,22:00,89.07
2023-10-05,23:00,93.12
2023-10-06,00:00,94.69
2023-10-06,01:00,95.25
2023-10-06,02:00,95.47
2023-10-06,03:00,95.42
2023-10-06,04:00,95.45
2023-10-06,05:00,95.36
2023-10-06,06:00,95.22
2023-10-06,07:00,94.95
2023-10-06,08:00,93.99
2023-10-06,09:00,91.64
2023-10-06,10:00,87.8
2023-10-06,11:00,85.23
2023-10-06,12:00,82.87
2023-10-06,13:00,80.12
2023-10-06,14:00,76.78
2023-10-06,15:00,76.71
2023-10-06,16:00,79.99
2023-10-06,17:00,84.77
2023-10-06,18:00,87.24
2023-10-06,19:00,84.81
2023-10-06,20:00,89.11
2023-10-06,21:00,90.69
2023-10-06,22:00,90.97
2023-10-06,23:00,91.6
2023-10-07,00:00,92.38
2023-10-07,01:00,91.26
2023-10-07,02:00,90.4
2023-10-07,03:00,89.23
2023-10-07,04:00,89.11
2023-10-07,05:00,89.14
2023-10-07,06:00,90.01
2023-10-07,07:00,89.03
2023-10-07,08:00,85.88
2023-10-07,09:00,84.16
2023-10-07,10:00,79.37
2023-10-07,11:00,78.89
2023-10-07,12:00,74.49
2023-10-07,13:00,69.3
2023-10-07,14:00,71.8
2023-10-07,15:00,69.16
2023-10-07,16:00,64.33
2023-10-07,17:00,68.91
2023-10-07,18:00,84.63
2023-10-07,19:00,85.09
2023-10-07,20:00,88.12
2023-10-07,21:00,88.76
2023-10-07,22:00,89.44
2023-10-07,23:00,92.3
2023-10-08,00:00,92.7
2023-10-08,01:00,93.14
2023-10-08,02:00,92.83
2023-10-08,03:00,92.77
2023-10-08,04:00,92.58
2023-10-08,05:00,92.22
2023-10-08,06:00,92.53
2023-10-08,07:00,90.87
2023-10-08,08:00,89.18
2023-10-08,09:00,83.78
2023-10-08,10:00,75.79
2023-10-08,11:00,71.83
2023-10-08,12:00,71.37
2023-10-08,13:00,66.38
2023-10-08,14:00,62.94
2023-10-08,15:00,78.82
2023-10-08,16:00,82.8
2023-10-08,17:00,82.35
2023-10-08,18:00,87.73
2023-10-08,19:00,90.22
2023-10-08,20:00,86.9
2023-10-08,21:00,86.74
2023-10-08,22:00,86.85
2023-10-08,23:00,87.02
2023-10-09,00:00,91.42
2023-10-09,01:00,89.83
2023-10-09,02:00,88.43
2023-10-09,03:00,88.63
2023-10-09,04:00,89.18
2023-10-09,05:00,89.85
2023-10-09,06:00,90.51
2023-10-09,07:00,89.89
2023-10-09,08:00,86.15
2023-10-09,09:00,79.96
2023-10-09,10:00,70.95
2023-10-09,11:00,70.61
2023-10-09,12:00,69.93
2023-10-09,13:00,68.89
2023-10-09,14:00,68.64
2023-10-09,15:00,67.67
2023-10-09,16:00,66.54
2023-10-09,17:00,72.97
2023-10-09,18:00,83.29
2023-10-09,19:00,86.42
2023-10-09,20:00,87.87
2023-10-09,21:00,90.26
2023-10-09,22:00,89.03
2023-10-09,23:00,89.97
2023-10-10,00:00,92.42
2023-10-10,01:00,93.82
2023-10-10,02:00,93.69
2023-10-10,03:00,94.44
2023-10-10,04:00,94.42
2023-10-10,05:00,94.57
2023-10-10,06:00,94.81
2023-10-10,07:00,94.63
2023-10-10,08:00,93.34
2023-10-10,09:00,92.15
2023-10-10,10:00,87.09
2023-10-10,11:00,79.16
2023-10-10,12:00,78.02
2023-10-10,13:00,73.06
2023-10-10,14:00,75.57
2023-10-10,15:00,84.81
2023-10-10,16:00,91.28
2023-10-10,17:00,92.67
2023-10-10,18:00,93.39
2023-10-10,19:00,94.02
