date,time,humid
2023-11-01,00:00,99.88
2023-11-01,01:00,99.69
2023-11-01,02:00,99.67
2023-11-01,03:00,99.82
2023-11-01,04:00,99.87
2023-11-01,05:00,99.86
2023-11-01,06:00,99.94
2023-11-01,07:00,99.52
2023-11-01,08:00,89.77
2023-11-01,09:00,86.57
2023-11-01,10:00,81.13
2023-11-01,11:00,76.04
2023-11-01,12:00,71.12
2023-11-01,13:00,-
2023-11-01,14:00,67.12
2023-11-01,15:00,66.95
2023-11-01,16:00,70.16
2023-11-01,17:00,-
2023-11-01,18:00,88.3
2023-11-01,19:00,91.73
2023-11-01,20:00,96.74
2023-11-01,21:00,98.09
2023-11-01,22:00,98.93
2023-11-01,23:00,99.18
2023-11-02,00:00,99.35
2023-11-02,01:00,99.55
2023-11-02,02:00,99.19
2023-11-02,03:00,99.17
2023-11-02,04:00,99.19
2023-11-02,05:00,99.32
2023-11-02,06:00,99.26
2023-11-02,07:00,99.15
2023-11-02,08:00,97.76
2023-11-02,09:00,92.17
2023-11-02,10:00,73.7
2023-11-02,11:00,67.6
2023-11-02,12:00,68.53
2023-11-02,13:00,65.52
2023-11-02,14:00,-
2023-11-02,15:00,-
2023-11-02,16:00,-
2023-11-02,17:00,-
2023-11-02,18:00,88.73
2023-11-02,19:00,-
2023-11-02,20:00,96.33
2023-11-02,21:00,97.9
2023-11-02,22:00,98.65
2023-11-02,23:00,98.7
2023-11-03,00:00,98.88
2023-11-03,01:00,99.01
2023-11-03,02:00,99.28
2023-11-03,03:00,99.57
2023-11-03,04:00,99.43
2023-11-03,05:00,99.57
2023-11-03,06:00,99.64
2023-11-03,07:00,99.3
2023-11-03,08:00,93.43
2023-11-03,09:00,75.38
2023-11-03,10:00,-
2023-11-03,11:00,65.06
2023-11-03,12:00,59.58
2023-11-03,13:00,-
2023-11-03,14:00,65.53
2023-11-03,15:00,-
2023-11-03,16:00,-
2023-11-03,17:00,-
2023-11-03,18:00,-
2023-11-03,19:00,-
2023-11-03,20:00,96.44
2023-11-03,21:00,-
2023-11-03,22:00,98.44
2023-11-03,23:00,-
2023-11-04,00:00,98.84
2023-11-04,01:00,-
2023-11-04,02:00,99.23
