date,time,humid
2023-11-01,00:00,89.38
2023-11-01,01:00,90.89
2023-11-01,02:00,91.26
2023-11-01,03:00,91.29
2023-11-01,04:00,92.21
2023-11-01,05:00,91.66
2023-11-01,06:00,91.18
2023-11-01,07:00,89.98
2023-11-01,08:00,84.11
2023-11-01,09:00,82.28
2023-11-01,10:00,75.41
2023-11-01,11:00,67.57
2023-11-01,12:00,62.1
2023-11-01,13:00,65.14
2023-11-01,14:00,65.57
2023-11-01,15:00,62.19
2023-11-01,16:00,63.53
2023-11-01,17:00,70.72
2023-11-01,18:00,74.94
2023-11-01,19:00,92.79
2023-11-01,20:00,94.54
2023-11-01,21:00,84.66
2023-11-01,22:00,87.37
2023-11-01,23:00,87.46
2023-11-02,00:00,89.53
2023-11-02,01:00,88.46
2023-11-02,02:00,87.73
2023-11-02,03:00,86.02
2023-11-02,04:00,86.15
2023-11-02,05:00,86.84
2023-11-02,06:00,86.8
2023-11-02,07:00,87.68
2023-11-02,08:00,78.48
2023-11-02,09:00,75.11
2023-11-02,10:00,67.57
2023-11-02,11:00,66.95
2023-11-02,12:00,67.44
2023-11-02,13:00,65.83
2023-11-02,14:00,64.93
2023-11-02,15:00,58.68
2023-11-02,16:00,65.24
2023-11-02,17:00,70.24
2023-11-02,18:00,84.32
2023-11-02,19:00,90.02
2023-11-02,20:00,92.95
2023-11-02,21:00,92.54
2023-11-02,22:00,94.6
2023-11-02,23:00,95.77
2023-11-03,00:00,97.14
2023-11-03,01:00,97.59
2023-11-03,02:00,97.95
2023-11-03,03:00,97.95
2023-11-03,04:00,97.81
2023-11-03,05:00,98.37
2023-11-03,06:00,98.19
2023-11-03,07:00,95.99
2023-11-03,08:00,78.97
2023-11-03,09:00,68.81
2023-11-03,10:00,63.81
2023-11-03,11:00,60.55
2023-11-03,12:00,57.7
2023-11-03,13:00,62.33
2023-11-03,14:00,62.06
2023-11-03,15:00,58.38
2023-11-03,16:00,53.64
2023-11-03,17:00,55.55
2023-11-03,18:00,78.14
2023-11-03,19:00,82.49
2023-11-03,20:00,87.73
2023-11-03,21:00,89.47
2023-11-03,22:00,92.6
2023-11-03,23:00,94.94
2023-11-04,00:00,93.74
2023-11-04,01:00,94.86
2023-11-04,02:00,95.77
2023-11-04,03:00,95.4
2023-11-04,04:00,95.44
2023-11-04,05:00,96.51
2023-11-04,06:00,97.53
2023-11-04,07:00,94.64
2023-11-04,08:00,91.98
2023-11-04,09:00,87.9
2023-11-04,10:00,78.08
2023-11-04,11:00,69.24
2023-11-04,12:00,61.61
2023-11-04,13:00,67.04
2023-11-04,14:00,63.31
2023-11-04,15:00,61.03
2023-11-04,16:00,61.77
2023-11-04,17:00,65.78
2023-11-04,18:00,81.38
2023-11-04,19:00,83.49
2023-11-04,20:00,90.39
2023-11-04,21:00,93.23
2023-11-04,22:00,95.77
2023-11-04,23:00,95.58
2023-11-05,00:00,96.62
2023-11-05,01:00,97.43
2023-11-05,02:00,97.88
2023-11-05,03:00,97.83
2023-11-05,04:00,97.53
2023-11-05,05:00,97.71
2023-11-05,06:00,97.74
2023-11-05,07:00,98.05
2023-11-05,08:00,86.52
2023-11-05,09:00,77.92
2023-11-05,10:00,71.77
2023-11-05,11:00,66.74
2023-11-05,12:00,62.4
2023-11-05,13:00,54.71
2023-11-05,14:00,56.9
2023-11-05,15:00,57.56
2023-11-05,16:00,59.27
2023-11-05,17:00,71.55
2023-11-05,18:00,79.77
2023-11-05,19:00,80.31
2023-11-05,20:00,83.63
2023-11-05,21:00,87
2023-11-05,22:00,88.02
2023-11-05,23:00,90.58
2023-11-06,00:00,94.24
2023-11-06,01:00,95.13
2023-11-06,02:00,94.99
2023-11-06,03:00,94.39
2023-11-06,04:00,94.04
2023-11-06,05:00,94.64
2023-11-06,06:00,95.1
2023-11-06,07:00,92.25
