date,time,humid
2023-11-01,00:00,90.86
2023-11-01,01:00,92.21
2023-11-01,02:00,92.99
2023-11-01,03:00,93.12
2023-11-01,04:00,92.96
2023-11-01,05:00,93.08
2023-11-01,06:00,92.67
2023-11-01,07:00,91.88
2023-11-01,08:00,76.43
2023-11-01,09:00,73.84
2023-11-01,10:00,71.58
2023-11-01,11:00,63.77
2023-11-01,12:00,57.14
2023-11-01,13:00,58.4
2023-11-01,14:00,59.61
2023-11-01,15:00,59.52
2023-11-01,16:00,66.37
2023-11-01,17:00,69.3
2023-11-01,18:00,72.89
2023-11-01,19:00,76.17
2023-11-01,20:00,78.11
2023-11-01,21:00,92.07
2023-11-01,22:00,92.45
2023-11-01,23:00,92.52
2023-11-02,00:00,91.5
2023-11-02,01:00,89.76
2023-11-02,02:00,88.08
2023-11-02,03:00,88.33
2023-11-02,04:00,87.39
2023-11-02,05:00,87.17
2023-11-02,06:00,86.54
2023-11-02,07:00,82.02
2023-11-02,08:00,75.91
2023-11-02,09:00,72.69
2023-11-02,10:00,64.65
2023-11-02,11:00,61.36
2023-11-02,12:00,60.44
2023-11-02,13:00,67.66
2023-11-02,14:00,60.92
2023-11-02,15:00,59.99
2023-11-02,16:00,58.96
2023-11-02,17:00,70.96
2023-11-02,18:00,77.59
2023-11-02,19:00,85.58
2023-11-02,20:00,89.41
2023-11-02,21:00,88.88
2023-11-02,22:00,91
2023-11-02,23:00,92.17
2023-11-03,00:00,91.45
2023-11-03,01:00,90.33
2023-11-03,02:00,90.11
2023-11-03,03:00,92.9
2023-11-03,04:00,92.46
2023-11-03,05:00,91.96
2023-11-03,06:00,93.92
2023-11-03,07:00,88.35
2023-11-03,08:00,62.1
2023-11-03,09:00,62.97
2023-11-03,10:00,65.36
2023-11-03,11:00,58.12
2023-11-03,12:00,53.86
2023-11-03,13:00,52.35
2023-11-03,14:00,52.05
2023-11-03,15:00,50.68
2023-11-03,16:00,51.83
2023-11-03,17:00,61.05
2023-11-03,18:00,68.58
2023-11-03,19:00,71.59
2023-11-03,20:00,74.11
2023-11-03,21:00,82.94
2023-11-03,22:00,83.5
2023-11-03,23:00,85.6
2023-11-04,00:00,89.72
2023-11-04,01:00,90.5
2023-11-04,02:00,89
2023-11-04,03:00,92.07
2023-11-04,04:00,94.16
2023-11-04,05:00,94.84
2023-11-04,06:00,94.86
2023-11-04,07:00,93.33
2023-11-04,08:00,80.64
2023-11-04,09:00,81.07
2023-11-04,10:00,71.9
2023-11-04,11:00,65
2023-11-04,12:00,58.92
2023-11-04,13:00,55.97
2023-11-04,14:00,58
2023-11-04,15:00,54.01
2023-11-04,16:00,58.05
2023-11-04,17:00,72.45
2023-11-04,18:00,80.9
2023-11-04,19:00,84.89
2023-11-04,20:00,85.46
2023-11-04,21:00,87.04
2023-11-04,22:00,89.64
2023-11-04,23:00,91.69
2023-11-05,00:00,90.24
2023-11-05,01:00,91.8
2023-11-05,02:00,94.2
2023-11-05,03:00,94.29
2023-11-05,04:00,96.43
2023-11-05,05:00,96.01
2023-11-05,06:00,97.21
2023-11-05,07:00,93.06
2023-11-05,08:00,73.04
2023-11-05,09:00,69.21
2023-11-05,10:00,68.24
2023-11-05,11:00,63.61
2023-11-05,12:00,51.46
2023-11-05,13:00,47.27
2023-11-05,14:00,52.88
2023-11-05,15:00,60.85
2023-11-05,16:00,65.86
2023-11-05,17:00,72.74
2023-11-05,18:00,80.07
2023-11-05,19:00,81.9
2023-11-05,20:00,84.65
2023-11-05,21:00,82.43
2023-11-05,22:00,82.01
2023-11-05,23:00,87.97
2023-11-06,00:00,88.91
2023-11-06,01:00,90.97
2023-11-06,02:00,89.38
2023-11-06,03:00,91.15
2023-11-06,04:00,90.38
2023-11-06,05:00,93.12
2023-11-06,06:00,94.43
2023-11-06,07:00,84.66
2023-11-06,08:00,63.28
2023-11-06,09:00,67.81
2023-11-06,10:00,66.13
2023-11-06,11:00,59.52
2023-11-06,12:00,51.63
2023-11-06,13:00,50.57
2023-11-06,14:00,50.3
2023-11-06,15:00,49.73
2023-11-06,16:00,51.02
2023-11-06,17:00,58.24
2023-11-06,18:00,66.55
2023-11-06,19:00,77.63
2023-11-06,20:00,80.9
2023-11-06,21:00,78.92
2023-11-06,22:00,81.76
2023-11-06,23:00,82.96
2023-11-07,00:00,85.06
2023-11-07,01:00,88.27
2023-11-07,02:00,91.87
2023-11-07,03:00,96.56
2023-11-07,04:00,96.53
2023-11-07,05:00,97.07
2023-11-07,06:00,96.59
2023-11-07,07:00,95.11
2023-11-07,08:00,86.92
2023-11-07,09:00,75.32
2023-11-07,10:00,73.89
2023-11-07,11:00,60.24
2023-11-07,12:00,60.72
2023-11-07,13:00,58.32
2023-11-07,14:00,61.53
2023-11-07,15:00,60.28
2023-11-07,16:00,66.04
2023-11-07,17:00,70.03
2023-11-07,18:00,79.27
2023-11-07,19:00,82.87
2023-11-07,20:00,86.02
2023-11-07,21:00,87.08
2023-11-07,22:00,83.31
2023-11-07,23:00,88.19
2023-11-08,00:00,88.67
2023-11-08,01:00,90.38
2023-11-08,02:00,92.88
2023-11-08,03:00,94.71
2023-11-08,04:00,95.96
2023-11-08,05:00,95.59
2023-11-08,06:00,93.83
2023-11-08,07:00,91.53
2023-11-08,08:00,68.16
2023-11-08,09:00,68
2023-11-08,10:00,70.44
2023-11-08,11:00,62.24
2023-11-08,12:00,55.41
2023-11-08,13:00,54.61
2023-11-08,14:00,49.44
2023-11-08,15:00,50.45
2023-11-08,16:00,49.71
2023-11-08,17:00,59.08
2023-11-08,18:00,69.47
2023-11-08,19:00,76.62
2023-11-08,20:00,73.57
2023-11-08,21:00,79.34
2023-11-08,22:00,88.45
2023-11-08,23:00,98.41
2023-11-09,00:00,99.11
2023-11-09,01:00,98.73
2023-11-09,02:00,97.17
2023-11-09,03:00,94.94
2023-11-09,04:00,94.85
2023-11-09,05:00,94.88
2023-11-09,06:00,94.57
2023-11-09,07:00,91.53
2023-11-09,08:00,80.72
2023-11-09,09:00,76.6
2023-11-09,10:00,73.28
2023-11-09,11:00,66.4
2023-11-09,12:00,65.96
2023-11-09,13:00,64.24
2023-11-09,14:00,66.56
2023-11-09,15:00,89.32
2023-11-09,16:00,98.98
2023-11-09,17:00,99.38
2023-11-09,18:00,99.46
2023-11-09,19:00,99.62
2023-11-09,20:00,99.75
2023-11-09,21:00,99.8
2023-11-09,22:00,99.77
2023-11-09,23:00,99.8
2023-11-10,00:00,99.81
2023-11-10,01:00,99.78
2023-11-10,02:00,99.82
2023-11-10,03:00,99.84
2023-11-10,04:00,99.85
2023-11-10,05:00,99.91
2023-11-10,06:00,99.67
2023-11-10,07:00,99.29
2023-11-10,08:00,91.03
2023-11-10,09:00,84.55
2023-11-10,10:00,80.98
2023-11-10,11:00,69.33
2023-11-10,12:00,61.7
2023-11-10,13:00,59.76
2023-11-10,14:00,53.1
2023-11-10,15:00,52.32
2023-11-10,16:00,65.14
2023-11-10,17:00,75.34
2023-11-10,18:00,92.62
2023-11-10,19:00,95
2023-11-10,20:00,95.15
2023-11-10,21:00,95.6
2023-11-10,22:00,93.93
2023-11-10,23:00,95.57
2023-11-11,00:00,95.44
2023-11-11,01:00,96.33
