date,time,humid
2023-11-01,00:00,79.04
2023-11-01,01:00,75.76
2023-11-01,02:00,74.76
2023-11-01,03:00,75.54
2023-11-01,04:00,73.91
2023-11-01,05:00,75.96
2023-11-01,06:00,73.72
2023-11-01,07:00,71.63
2023-11-01,08:00,65.66
2023-11-01,09:00,63.63
2023-11-01,10:00,62.44
2023-11-01,11:00,58.42
2023-11-01,12:00,61.24
2023-11-01,13:00,57.39
2023-11-01,14:00,52.52
2023-11-01,15:00,58.19
2023-11-01,16:00,59.42
2023-11-01,17:00,63.72
2023-11-01,18:00,68.03
2023-11-01,19:00,72.3
2023-11-01,20:00,73.53
2023-11-01,21:00,75.38
2023-11-01,22:00,76.29
2023-11-01,23:00,77.27
2023-11-02,00:00,74.33
2023-11-02,01:00,73.12
2023-11-02,02:00,73.47
2023-11-02,03:00,71.18
2023-11-02,04:00,73.96
2023-11-02,05:00,73.4
2023-11-02,06:00,74.39
2023-11-02,07:00,73.04
2023-11-02,08:00,64.31
2023-11-02,09:00,57.34
2023-11-02,10:00,54.98
2023-11-02,11:00,56.55
2023-11-02,12:00,50.3
2023-11-02,13:00,50.86
2023-11-02,14:00,49.45
2023-11-02,15:00,45.82
2023-11-02,16:00,51.15
2023-11-02,17:00,55.62
2023-11-02,18:00,61.45
2023-11-02,19:00,62.52
2023-11-02,20:00,67.16
2023-11-02,21:00,71.66
2023-11-02,22:00,74.26
2023-11-02,23:00,76.65
2023-11-03,00:00,82.46
2023-11-03,01:00,84.36
2023-11-03,02:00,84.26
2023-11-03,03:00,83.91
2023-11-03,04:00,87.24
2023-11-03,05:00,87.11
2023-11-03,06:00,86.94
2023-11-03,07:00,79.06
2023-11-03,08:00,68.16
2023-11-03,09:00,56.61
2023-11-03,10:00,56.35
2023-11-03,11:00,48.88
2023-11-03,12:00,45.81
2023-11-03,13:00,45.13
2023-11-03,14:00,43.7
2023-11-03,15:00,46.8
2023-11-03,16:00,47.56
2023-11-03,17:00,57.95
2023-11-03,18:00,65.98
2023-11-03,19:00,69.88
2023-11-03,20:00,73.15
2023-11-03,21:00,78.19
2023-11-03,22:00,80.51
2023-11-03,23:00,81.67
2023-11-04,00:00,82.63
2023-11-04,01:00,81.12
2023-11-04,02:00,85.05
2023-11-04,03:00,84.48
2023-11-04,04:00,84.06
2023-11-04,05:00,85.7
2023-11-04,06:00,87.63
2023-11-04,07:00,83.62
2023-11-04,08:00,66.8
2023-11-04,09:00,60.84
2023-11-04,10:00,57.11
2023-11-04,11:00,52.93
2023-11-04,12:00,50.12
2023-11-04,13:00,48.3
2023-11-04,14:00,55.12
2023-11-04,15:00,87.44
2023-11-04,16:00,92.34
2023-11-04,17:00,92.17
2023-11-04,18:00,93.43
2023-11-04,19:00,94.49
2023-11-04,20:00,95.25
2023-11-04,21:00,95.41
2023-11-04,22:00,95.42
2023-11-04,23:00,96.13
2023-11-05,00:00,96.55
2023-11-05,01:00,96.22
2023-11-05,02:00,96.36
2023-11-05,03:00,96.15
2023-11-05,04:00,95.15
2023-11-05,05:00,95.73
2023-11-05,06:00,95.21
2023-11-05,07:00,93.07
2023-11-05,08:00,80.11
2023-11-05,09:00,64.96
2023-11-05,10:00,61.04
2023-11-05,11:00,62.42
2023-11-05,12:00,53.97
2023-11-05,13:00,78.68
2023-11-05,14:00,82.62
2023-11-05,15:00,87.8
2023-11-05,16:00,85.98
2023-11-05,17:00,88.73
2023-11-05,18:00,92.7
2023-11-05,19:00,92.25
2023-11-05,20:00,96.35
2023-11-05,21:00,97.48
