date,time,humid
2023-11-01,00:00,80.12
2023-11-01,01:00,84.78
2023-11-01,02:00,87.48
2023-11-01,03:00,87.69
2023-11-01,04:00,87.89
2023-11-01,05:00,81.16
2023-11-01,06:00,83.14
2023-11-01,07:00,82.48
2023-11-01,08:00,78.86
2023-11-01,09:00,68.52
2023-11-01,10:00,64.56
2023-11-01,11:00,62.41
2023-11-01,12:00,61.54
2023-11-01,13:00,58.43
2023-11-01,14:00,59.12
2023-11-01,15:00,58.35
2023-11-01,16:00,59.64
2023-11-01,17:00,62.31
2023-11-01,18:00,67.19
2023-11-01,19:00,71.02
2023-11-01,20:00,73.53
2023-11-01,21:00,73.8
2023-11-01,22:00,75.07
2023-11-01,23:00,81.77
2023-11-02,00:00,78.84
2023-11-02,01:00,82.32
2023-11-02,02:00,81.72
2023-11-02,03:00,81.56
2023-11-02,04:00,81.63
2023-11-02,05:00,83.58
2023-11-02,06:00,83.63
2023-11-02,07:00,86.09
2023-11-02,08:00,76.7
2023-11-02,09:00,72.4
2023-11-02,10:00,66.94
2023-11-02,11:00,58.97
2023-11-02,12:00,57.6
2023-11-02,13:00,57.31
2023-11-02,14:00,54.64
2023-11-02,15:00,56.8
2023-11-02,16:00,60.44
2023-11-02,17:00,64.99
2023-11-02,18:00,74.16
2023-11-02,19:00,76.85
2023-11-02,20:00,77.09
2023-11-02,21:00,80.59
2023-11-02,22:00,84.12
2023-11-02,23:00,86.58
2023-11-03,00:00,84.93
2023-11-03,01:00,87.46
2023-11-03,02:00,89.65
2023-11-03,03:00,90.13
2023-11-03,04:00,87.73
2023-11-03,05:00,87.52
2023-11-03,06:00,88.86
2023-11-03,07:00,87.91
2023-11-03,08:00,77.57
2023-11-03,09:00,70.82
2023-11-03,10:00,65.52
2023-11-03,11:00,58.46
2023-11-03,12:00,54.84
2023-11-03,13:00,53.95
2023-11-03,14:00,55.27
2023-11-03,15:00,53.36
2023-11-03,16:00,53.08
2023-11-03,17:00,56.77
2023-11-03,18:00,67.72
2023-11-03,19:00,75.87
2023-11-03,20:00,78.68
2023-11-03,21:00,83.39
2023-11-03,22:00,84.14
2023-11-03,23:00,85.88
2023-11-04,00:00,86.35
2023-11-04,01:00,87.01
2023-11-04,02:00,90.75
2023-11-04,03:00,91.98
2023-11-04,04:00,91.3
2023-11-04,05:00,93.26
2023-11-04,06:00,89.09
2023-11-04,07:00,88.71
2023-11-04,08:00,80.35
2023-11-04,09:00,77.33
2023-11-04,10:00,73.69
2023-11-04,11:00,73.67
2023-11-04,12:00,73.55
2023-11-04,13:00,66.28
2023-11-04,14:00,61.92
2023-11-04,15:00,61.93
2023-11-04,16:00,68.22
2023-11-04,17:00,75.72
2023-11-04,18:00,81.76
2023-11-04,19:00,83.98
2023-11-04,20:00,84.83
2023-11-04,21:00,86.48
2023-11-04,22:00,85.81
2023-11-04,23:00,81.62
2023-11-05,00:00,84.41
2023-11-05,01:00,85.73
2023-11-05,02:00,88.67
2023-11-05,03:00,91.33
2023-11-05,04:00,90.12
2023-11-05,05:00,92.41
2023-11-05,06:00,91.64
2023-11-05,07:00,90.51
2023-11-05,08:00,81.87
2023-11-05,09:00,75.79
2023-11-05,10:00,67.68
2023-11-05,11:00,61.81
2023-11-05,12:00,59.78
2023-11-05,13:00,63.8
2023-11-05,14:00,60.09
2023-11-05,15:00,78.9
2023-11-05,16:00,80
2023-11-05,17:00,77.18
2023-11-05,18:00,82.28
2023-11-05,19:00,84.85
2023-11-05,20:00,86.24
2023-11-05,21:00,84.39
2023-11-05,22:00,83.19
2023-11-05,23:00,86.67
2023-11-06,00:00,85.22
2023-11-06,01:00,86.09
2023-11-06,02:00,87.77
2023-11-06,03:00,84.55
2023-11-06,04:00,86.37
2023-11-06,05:00,84.6
2023-11-06,06:00,88.77
2023-11-06,07:00,90.23
2023-11-06,08:00,84.3
2023-11-06,09:00,76.4
2023-11-06,10:00,70.09
2023-11-06,11:00,64.46
2023-11-06,12:00,64.33
2023-11-06,13:00,63.5
2023-11-06,14:00,59.99
2023-11-06,15:00,55.79
2023-11-06,16:00,56.48
2023-11-06,17:00,65.45
2023-11-06,18:00,68.47
2023-11-06,19:00,73.6
2023-11-06,20:00,79.16
2023-11-06,21:00,74.53
2023-11-06,22:00,88.66
2023-11-06,23:00,91.91
2023-11-07,00:00,90.24
2023-11-07,01:00,89.03
2023-11-07,02:00,90.45
2023-11-07,03:00,91.6
2023-11-07,04:00,91.03
2023-11-07,05:00,92.76
2023-11-07,06:00,92.48
2023-11-07,07:00,90.33
2023-11-07,08:00,83.67
2023-11-07,09:00,76.56
2023-11-07,10:00,72.73
2023-11-07,11:00,71.07
2023-11-07,12:00,65.46
2023-11-07,13:00,63.39
2023-11-07,14:00,62.44
2023-11-07,15:00,78.13
2023-11-07,16:00,64.81
2023-11-07,17:00,86.86
2023-11-07,18:00,88.71
2023-11-07,19:00,90.83
2023-11-07,20:00,87.14
2023-11-07,21:00,88.97
2023-11-07,22:00,88.83
2023-11-07,23:00,91.52
2023-11-08,00:00,91.76
2023-11-08,01:00,93.28
2023-11-08,02:00,94.86
2023-11-08,03:00,95.08
2023-11-08,04:00,94.63
2023-11-08,05:00,94.83
2023-11-08,06:00,95.22
2023-11-08,07:00,94.98
2023-11-08,08:00,90.14
2023-11-08,09:00,84.3
2023-11-08,10:00,67.28
2023-11-08,11:00,69.78
2023-11-08,12:00,64.64
2023-11-08,13:00,61.89
2023-11-08,14:00,55.4
2023-11-08,15:00,53.79
2023-11-08,16:00,55.98
2023-11-08,17:00,60.54
2023-11-08,18:00,64.72
2023-11-08,19:00,73.9
2023-11-08,20:00,78.56
2023-11-08,21:00,80.37
2023-11-08,22:00,82.63
2023-11-08,23:00,84.52
2023-11-09,00:00,95.11
2023-11-09,01:00,93.05
2023-11-09,02:00,91.83
2023-11-09,03:00,94.98
2023-11-09,04:00,92.82
2023-11-09,05:00,93.1
2023-11-09,06:00,93.42
2023-11-09,07:00,93.45
2023-11-09,08:00,88.98
2023-11-09,09:00,81.48
2023-11-09,10:00,77.64
2023-11-09,11:00,72.95
2023-11-09,12:00,67.46
2023-11-09,13:00,67.03
2023-11-09,14:00,95.08
2023-11-09,15:00,96.25
2023-11-09,16:00,93.34
2023-11-09,17:00,91.33
2023-11-09,18:00,93.96
2023-11-09,19:00,94.08
2023-11-09,20:00,94.08
2023-11-09,21:00,93.74
2023-11-09,22:00,94.79
2023-11-09,23:00,95.4
2023-11-10,00:00,94.06
2023-11-10,01:00,92.58
2023-11-10,02:00,94.01
2023-11-10,03:00,95.44
2023-11-10,04:00,95.97
2023-11-10,05:00,96.01
2023-11-10,06:00,95.85
2023-11-10,07:00,94.76
2023-11-10,08:00,91.77
2023-11-10,09:00,89.21
2023-11-10,10:00,84.66
2023-11-10,11:00,80.11
2023-11-10,12:00,70.86
2023-11-10,13:00,73.49
2023-11-10,14:00,72.1
2023-11-10,15:00,67.37
2023-11-10,16:00,81.72
2023-11-10,17:00,84.13
2023-11-10,18:00,83.3
2023-11-10,19:00,82.66
2023-11-10,20:00,88.14
2023-11-10,21:00,87.2
2023-11-10,22:00,87.24
2023-11-10,23:00,86.87
2023-11-11,00:00,89.74
2023-11-11,01:00,90.32
2023-11-11,02:00,89.99
2023-11-11,03:00,92.83
2023-11-11,04:00,92.52
2023-11-11,05:00,92.23
2023-11-11,06:00,92.32
2023-11-11,07:00,92.31
2023-11-11,08:00,88.68
2023-11-11,09:00,85.33
2023-11-11,10:00,77.46
2023-11-11,11:00,74.92
2023-11-11,12:00,68.82
2023-11-11,13:00,65.28
2023-11-11,14:00,63.68
2023-11-11,15:00,83.81
2023-11-11,16:00,83.59
2023-11-11,17:00,92.33
2023-11-11,18:00,94.85
2023-11-11,19:00,94.35
2023-11-11,20:00,94.74
2023-11-11,21:00,94.21
2023-11-11,22:00,92.42
2023-11-11,23:00,94.71
2023-11-12,00:00,95.05
2023-11-12,01:00,95.34
2023-11-12,02:00,95.35
2023-11-12,03:00,96.19
2023-11-12,04:00,95.18
2023-11-12,05:00,95.3
2023-11-12,06:00,94.74
2023-11-12,07:00,93.25
2023-11-12,08:00,86.95
2023-11-12,09:00,82.2
2023-11-12,10:00,77.54
2023-11-12,11:00,74.96
2023-11-12,12:00,76.25
2023-11-12,13:00,74.74
2023-11-12,14:00,73.07
2023-11-12,15:00,72.28
2023-11-12,16:00,82.31
2023-11-12,17:00,89.44
2023-11-12,18:00,88.14
2023-11-12,19:00,89.8
2023-11-12,20:00,89.03
2023-11-12,21:00,83.52
2023-11-12,22:00,84.45
2023-11-12,23:00,86.08
2023-11-13,00:00,86.92
2023-11-13,01:00,85.87
2023-11-13,02:00,85.9
2023-11-13,03:00,91
2023-11-13,04:00,92.72
2023-11-13,05:00,93.5
2023-11-13,06:00,94.57
2023-11-13,07:00,94.33
2023-11-13,08:00,88.28
2023-11-13,09:00,79.16
2023-11-13,10:00,71.67
2023-11-13,11:00,70.65
2023-11-13,12:00,67.66
2023-11-13,13:00,65.24
2023-11-13,14:00,64.39
2023-11-13,15:00,63.56
2023-11-13,16:00,63.92
2023-11-13,17:00,68.04
2023-11-13,18:00,78.68
2023-11-13,19:00,81.63
2023-11-13,20:00,85.85
2023-11-13,21:00,90.25
2023-11-13,22:00,88.56
2023-11-13,23:00,88.33
2023-11-14,00:00,89.66
2023-11-14,01:00,87.14
2023-11-14,02:00,86.63
2023-11-14,03:00,85.37
2023-11-14,04:00,81.34
2023-11-14,05:00,81.66
2023-11-14,06:00,80.2
2023-11-14,07:00,80.3
2023-11-14,08:00,78.34
2023-11-14,09:00,75.64
2023-11-14,10:00,72.22
2023-11-14,11:00,65.87
2023-11-14,12:00,62.17
2023-11-14,13:00,62.32
2023-11-14,14:00,-
2023-11-14,15:00,-
2023-11-14,16:00,62.16
2023-11-14,17:00,66.06
2023-11-14,18:00,-
2023-11-14,19:00,-
2023-11-14,20:00,-
2023-11-14,21:00,79.44
2023-11-14,22:00,-
2023-11-14,23:00,81.57
2023-11-15,00:00,78.78
2023-11-15,01:00,80.01
2023-11-15,02:00,76.61
2023-11-15,03:00,76.68
2023-11-15,04:00,77.24
2023-11-15,05:00,-
2023-11-15,06:00,74.98
2023-11-15,07:00,73.37
2023-11-15,08:00,70.59
2023-11-15,09:00,69.2
2023-11-15,10:00,66.96
2023-11-15,11:00,64.95
2023-11-15,12:00,61.63
2023-11-15,13:00,57.75
2023-11-15,14:00,-
2023-11-15,15:00,57.6
2023-11-15,16:00,60.72
2023-11-15,17:00,64.16
2023-11-15,18:00,68.24
2023-11-15,19:00,-
2023-11-15,20:00,76.21
2023-11-15,21:00,-
2023-11-15,22:00,-
2023-11-15,23:00,79.57
2023-11-16,00:00,80.19
2023-11-16,01:00,78.14
2023-11-16,02:00,-
2023-11-16,03:00,-
2023-11-16,04:00,78.24
2023-11-16,05:00,78.41
2023-11-16,06:00,79.55
2023-11-16,07:00,80.03
2023-11-16,08:00,76.69
2023-11-16,09:00,73.56
2023-11-16,10:00,69.85
2023-11-16,11:00,-
2023-11-16,12:00,-
2023-11-16,13:00,-
2023-11-16,14:00,63.17
2023-11-16,15:00,-
2023-11-16,16:00,61.19
2023-11-16,17:00,-
2023-11-16,18:00,71.56
2023-11-16,19:00,-
2023-11-16,20:00,71.45
2023-11-16,21:00,-
2023-11-16,22:00,71.05
2023-11-16,23:00,72.3
2023-11-17,00:00,-
2023-11-17,01:00,65.34
2023-11-17,02:00,-
2023-11-17,03:00,65.26
2023-11-17,04:00,65.21
2023-11-17,05:00,67.24
2023-11-17,06:00,-
2023-11-17,07:00,68.62
2023-11-17,08:00,67.46
2023-11-17,09:00,63.03
2023-11-17,10:00,60.77
2023-11-17,11:00,57.32
2023-11-17,12:00,54.4
2023-11-17,13:00,57.33
2023-11-17,14:00,-
2023-11-17,15:00,-
2023-11-17,16:00,-
2023-11-17,17:00,60.08
2023-11-17,18:00,67.27
2023-11-17,19:00,65.44
2023-11-17,20:00,-
2023-11-17,21:00,68.62
2023-11-17,22:00,67.72
2023-11-17,23:00,-
2023-11-18,00:00,69.65
2023-11-18,01:00,70.67
2023-11-18,02:00,-
2023-11-18,03:00,71.87
2023-11-18,04:00,74.05
2023-11-18,05:00,-
2023-11-18,06:00,67.63
2023-11-18,07:00,60.02
2023-11-18,08:00,56.41
2023-11-18,09:00,50.45
2023-11-18,10:00,-
2023-11-18,11:00,42.53
2023-11-18,12:00,-
2023-11-18,13:00,43.02
2023-11-18,14:00,42.96
2023-11-18,15:00,-
2023-11-18,16:00,-
2023-11-18,17:00,50.06
2023-11-18,18:00,-
2023-11-18,19:00,62.39
2023-11-18,20:00,-
2023-11-18,21:00,65.42
2023-11-18,22:00,69.22
2023-11-18,23:00,72.66
2023-11-19,00:00,65.99
2023-11-19,01:00,67.17
2023-11-19,02:00,67.43
2023-11-19,03:00,71.02
2023-11-19,04:00,71.67
2023-11-19,05:00,69.47
2023-11-19,06:00,71.91
2023-11-19,07:00,70.35
2023-11-19,08:00,-
2023-11-19,09:00,-
2023-11-19,10:00,58.47
2023-11-19,11:00,53.35
2023-11-19,12:00,-
2023-11-19,13:00,48.27
2023-11-19,14:00,-
2023-11-19,15:00,49.34
2023-11-19,16:00,-
2023-11-19,17:00,49.67
2023-11-19,18:00,51.9
2023-11-19,19:00,-
2023-11-19,20:00,-
2023-11-19,21:00,-
2023-11-19,22:00,69.72
2023-11-19,23:00,68.63
2023-11-20,00:00,69.41
2023-11-20,01:00,69.31
2023-11-20,02:00,68.38
2023-11-20,03:00,69.41
2023-11-20,04:00,70.42
2023-11-20,05:00,-
2023-11-20,06:00,-
2023-11-20,07:00,76.04
2023-11-20,08:00,70.5
2023-11-20,09:00,67.93
2023-11-20,10:00,-
2023-11-20,11:00,-
2023-11-20,12:00,54.21
2023-11-20,13:00,-
2023-11-20,14:00,51.85
2023-11-20,15:00,51.9
2023-11-20,16:00,49.29
2023-11-20,17:00,54.88
2023-11-20,18:00,62.02
2023-11-20,19:00,64.3
2023-11-20,20:00,66.26
2023-11-20,21:00,70.5
2023-11-20,22:00,70.68
2023-11-20,23:00,73.77
2023-11-21,00:00,76.03
2023-11-21,01:00,76.03
2023-11-21,02:00,75.63
2023-11-21,03:00,77.74
2023-11-21,04:00,80.24
2023-11-21,05:00,75.01
2023-11-21,06:00,70.51
2023-11-21,07:00,71.14
2023-11-21,08:00,69.72
2023-11-21,09:00,66.08
