date,time,humid
2023-11-01,00:00,98.2
2023-11-01,01:00,98.38
2023-11-01,02:00,98.67
2023-11-01,03:00,98.6
2023-11-01,04:00,98.72
2023-11-01,05:00,98.5
2023-11-01,06:00,98.47
2023-11-01,07:00,97.73
2023-11-01,08:00,-
2023-11-01,09:00,-
2023-11-01,10:00,-
2023-11-01,11:00,76.29
2023-11-01,12:00,77.86
2023-11-01,13:00,66.58
2023-11-01,14:00,68.68
2023-11-01,15:00,63.73
2023-11-01,16:00,69.81
2023-11-01,17:00,79.63
2023-11-01,18:00,89.54
2023-11-01,19:00,88.43
2023-11-01,20:00,92.83
2023-11-01,21:00,92.99
2023-11-01,22:00,91.98
2023-11-01,23:00,90.93
2023-11-02,00:00,92.53
2023-11-02,01:00,92.55
2023-11-02,02:00,93.03
2023-11-02,03:00,92.68
2023-11-02,04:00,96.08
2023-11-02,05:00,95.26
2023-11-02,06:00,94.96
2023-11-02,07:00,94.31
2023-11-02,08:00,89.89
2023-11-02,09:00,83.61
2023-11-02,10:00,76.17
2023-11-02,11:00,66.59
2023-11-02,12:00,67.48
2023-11-02,13:00,68.71
2023-11-02,14:00,71.35
2023-11-02,15:00,66.59
2023-11-02,16:00,68.64
2023-11-02,17:00,80.46
2023-11-02,18:00,90.35
2023-11-02,19:00,91.29
2023-11-02,20:00,91.8
2023-11-02,21:00,92.31
2023-11-02,22:00,93.68
2023-11-02,23:00,94.17
2023-11-03,00:00,94.48
2023-11-03,01:00,93.91
2023-11-03,02:00,92.88
2023-11-03,03:00,94.28
2023-11-03,04:00,94.87
2023-11-03,05:00,95.13
2023-11-03,06:00,94.89
2023-11-03,07:00,94.42
2023-11-03,08:00,90.23
2023-11-03,09:00,77.65
2023-11-03,10:00,68.11
2023-11-03,11:00,62.59
2023-11-03,12:00,58.02
2023-11-03,13:00,59.27
2023-11-03,14:00,59.63
2023-11-03,15:00,56.76
2023-11-03,16:00,67.53
2023-11-03,17:00,71.77
2023-11-03,18:00,88
2023-11-03,19:00,89.57
2023-11-03,20:00,90.2
2023-11-03,21:00,90.66
2023-11-03,22:00,90.84
2023-11-03,23:00,91.41
2023-11-04,00:00,93.01
2023-11-04,01:00,92.01
2023-11-04,02:00,93.55
2023-11-04,03:00,93.59
2023-11-04,04:00,94.19
2023-11-04,05:00,93.56
2023-11-04,06:00,93.77
2023-11-04,07:00,93.76
2023-11-04,08:00,88.89
2023-11-04,09:00,76.31
2023-11-04,10:00,67.43
2023-11-04,11:00,60.07
2023-11-04,12:00,61.46
2023-11-04,13:00,63.77
2023-11-04,14:00,56.69
2023-11-04,15:00,60.45
2023-11-04,16:00,66.96
2023-11-04,17:00,79.83
2023-11-04,18:00,91.84
2023-11-04,19:00,97.01
2023-11-04,20:00,97.6
2023-11-04,21:00,98.05
2023-11-04,22:00,98.3
2023-11-04,23:00,97.74
2023-11-05,00:00,97.13
2023-11-05,01:00,97.28
2023-11-05,02:00,97.93
2023-11-05,03:00,97.76
2023-11-05,04:00,-
2023-11-05,05:00,98.14
2023-11-05,06:00,97.98
2023-11-05,07:00,97.42
2023-11-05,08:00,94.57
2023-11-05,09:00,82.37
2023-11-05,10:00,73.27
2023-11-05,11:00,69.02
2023-11-05,12:00,65.04
2023-11-05,13:00,68.44
2023-11-05,14:00,67.03
2023-11-05,15:00,68.23
2023-11-05,16:00,80.3
2023-11-05,17:00,86.76
2023-11-05,18:00,90.66
2023-11-05,19:00,91.13
2023-11-05,20:00,93.75
2023-11-05,21:00,94.89
2023-11-05,22:00,94.96
2023-11-05,23:00,94.77
2023-11-06,00:00,93.87
2023-11-06,01:00,95.93
2023-11-06,02:00,96.94
2023-11-06,03:00,97.78
2023-11-06,04:00,97.94
2023-11-06,05:00,97.4
2023-11-06,06:00,97.19
2023-11-06,07:00,96.88
2023-11-06,08:00,92.25
2023-11-06,09:00,78.54
2023-11-06,10:00,67.62
2023-11-06,11:00,-
2023-11-06,12:00,59.98
2023-11-06,13:00,61.29
2023-11-06,14:00,57.25
2023-11-06,15:00,66.47
2023-11-06,16:00,71.94
2023-11-06,17:00,78.37
2023-11-06,18:00,88.29
2023-11-06,19:00,88.56
2023-11-06,20:00,89.71
2023-11-06,21:00,89.72
2023-11-06,22:00,92.05
2023-11-06,23:00,92.64
2023-11-07,00:00,93.39
2023-11-07,01:00,92.71
2023-11-07,02:00,91.99
2023-11-07,03:00,93.67
2023-11-07,04:00,95.85
2023-11-07,05:00,96.35
2023-11-07,06:00,96.84
2023-11-07,07:00,95.72
2023-11-07,08:00,88.67
2023-11-07,09:00,79.98
2023-11-07,10:00,71.74
2023-11-07,11:00,74.26
2023-11-07,12:00,65.14
2023-11-07,13:00,63.67
2023-11-07,14:00,62.61
2023-11-07,15:00,66.28
2023-11-07,16:00,67.14
2023-11-07,17:00,85.39
2023-11-07,18:00,90.44
2023-11-07,19:00,-
2023-11-07,20:00,89.13
2023-11-07,21:00,90.64
2023-11-07,22:00,93.49
2023-11-07,23:00,94.71
2023-11-08,00:00,95.67
2023-11-08,01:00,95.08
2023-11-08,02:00,95.48
2023-11-08,03:00,95.65
2023-11-08,04:00,95.82
2023-11-08,05:00,96.41
2023-11-08,06:00,96.7
2023-11-08,07:00,96.24
2023-11-08,08:00,92.33
2023-11-08,09:00,79.32
2023-11-08,10:00,72.53
2023-11-08,11:00,62.9
2023-11-08,12:00,60.32
2023-11-08,13:00,56.29
2023-11-08,14:00,54.5
2023-11-08,15:00,59.87
2023-11-08,16:00,66.31
2023-11-08,17:00,73.73
2023-11-08,18:00,87.41
2023-11-08,19:00,90.61
2023-11-08,20:00,89.62
2023-11-08,21:00,90.3
2023-11-08,22:00,90.74
2023-11-08,23:00,91.63
2023-11-09,00:00,93.41
2023-11-09,01:00,93.24
2023-11-09,02:00,93.21
2023-11-09,03:00,93.84
2023-11-09,04:00,94.36
2023-11-09,05:00,95.19
2023-11-09,06:00,96.5
2023-11-09,07:00,96.74
2023-11-09,08:00,94.9
2023-11-09,09:00,91.36
2023-11-09,10:00,78.09
2023-11-09,11:00,72.49
2023-11-09,12:00,67.89
2023-11-09,13:00,68.05
2023-11-09,14:00,62.96
2023-11-09,15:00,67.26
2023-11-09,16:00,71
2023-11-09,17:00,90.94
2023-11-09,18:00,94.47
2023-11-09,19:00,94.17
2023-11-09,20:00,95.34
2023-11-09,21:00,94.2
2023-11-09,22:00,95.36
2023-11-09,23:00,95.72
2023-11-10,00:00,95.94
2023-11-10,01:00,97.16
2023-11-10,02:00,97.47
2023-11-10,03:00,97.26
2023-11-10,04:00,97.73
2023-11-10,05:00,97.73
2023-11-10,06:00,98.33
2023-11-10,07:00,97.6
2023-11-10,08:00,95.59
2023-11-10,09:00,87.7
2023-11-10,10:00,77.37
2023-11-10,11:00,68.92
2023-11-10,12:00,70.66
2023-11-10,13:00,66.79
2023-11-10,14:00,64.35
2023-11-10,15:00,64
2023-11-10,16:00,70.36
2023-11-10,17:00,83.04
2023-11-10,18:00,87.21
2023-11-10,19:00,91.91
2023-11-10,20:00,93.39
2023-11-10,21:00,95.91
2023-11-10,22:00,95.84
2023-11-10,23:00,96.68
2023-11-11,00:00,96.02
2023-11-11,01:00,96.6
2023-11-11,02:00,97.04
2023-11-11,03:00,97.18
2023-11-11,04:00,97.01
2023-11-11,05:00,97.92
2023-11-11,06:00,97.68
2023-11-11,07:00,97.61
2023-11-11,08:00,95.1
2023-11-11,09:00,87.46
2023-11-11,10:00,76.76
2023-11-11,11:00,72.97
2023-11-11,12:00,69.41
2023-11-11,13:00,64.61
2023-11-11,14:00,65.69
2023-11-11,15:00,73.4
2023-11-11,16:00,94.42
2023-11-11,17:00,95.99
2023-11-11,18:00,96.27
2023-11-11,19:00,95.25
2023-11-11,20:00,95.83
2023-11-11,21:00,96.09
2023-11-11,22:00,97.02
2023-11-11,23:00,97.52
2023-11-12,00:00,97.47
2023-11-12,01:00,97.85
2023-11-12,02:00,97.92
2023-11-12,03:00,98.17
2023-11-12,04:00,98.45
2023-11-12,05:00,98.69
2023-11-12,06:00,98.98
2023-11-12,07:00,98.46
2023-11-12,08:00,96.87
2023-11-12,09:00,93.65
2023-11-12,10:00,89.09
2023-11-12,11:00,84.69
2023-11-12,12:00,82.27
2023-11-12,13:00,78.28
2023-11-12,14:00,74
2023-11-12,15:00,74.57
2023-11-12,16:00,76.88
2023-11-12,17:00,-
2023-11-12,18:00,97.65
2023-11-12,19:00,98.23
2023-11-12,20:00,98.51
2023-11-12,21:00,98.59
2023-11-12,22:00,98.83
2023-11-12,23:00,98.91
2023-11-13,00:00,-
2023-11-13,01:00,-
2023-11-13,02:00,-
2023-11-13,03:00,-
2023-11-13,04:00,99.38
2023-11-13,05:00,99.46
2023-11-13,06:00,99.51
2023-11-13,07:00,99.62
2023-11-13,08:00,98.83
2023-11-13,09:00,94
2023-11-13,10:00,86.1
2023-11-13,11:00,83.94
2023-11-13,12:00,78.16
2023-11-13,13:00,65.99
2023-11-13,14:00,79.74
2023-11-13,15:00,91.74
2023-11-13,16:00,92.62
2023-11-13,17:00,93.26
2023-11-13,18:00,94.93
2023-11-13,19:00,95.95
2023-11-13,20:00,95.49
2023-11-13,21:00,95.88
2023-11-13,22:00,96.11
2023-11-13,23:00,96.65
2023-11-14,00:00,96.81
2023-11-14,01:00,96.9
2023-11-14,02:00,97.41
2023-11-14,03:00,97.65
2023-11-14,04:00,97.73
2023-11-14,05:00,97.72
2023-11-14,06:00,97.61
2023-11-14,07:00,97.18
2023-11-14,08:00,95.48
2023-11-14,09:00,88.32
2023-11-14,10:00,82.4
2023-11-14,11:00,84.53
2023-11-14,12:00,82.07
2023-11-14,13:00,79.65
2023-11-14,14:00,83.22
2023-11-14,15:00,90.18
2023-11-14,16:00,95.81
2023-11-14,17:00,-
2023-11-14,18:00,97.86
2023-11-14,19:00,-
2023-11-14,20:00,-
2023-11-14,21:00,97.9
2023-11-14,22:00,-
2023-11-14,23:00,-
2023-11-15,00:00,-
2023-11-15,01:00,98.4
2023-11-15,02:00,98.48
2023-11-15,03:00,98.58
2023-11-15,04:00,-
2023-11-15,05:00,-
2023-11-15,06:00,-
2023-11-15,07:00,98.78
2023-11-15,08:00,-
2023-11-15,09:00,-
2023-11-15,10:00,-
2023-11-15,11:00,-
2023-11-15,12:00,75.87
2023-11-15,13:00,71.24
2023-11-15,14:00,77.06
2023-11-15,15:00,-
2023-11-15,16:00,-
2023-11-15,17:00,-
2023-11-15,18:00,90.01
2023-11-15,19:00,90.41
2023-11-15,20:00,-
2023-11-15,21:00,-
2023-11-15,22:00,92.56
2023-11-15,23:00,-
2023-11-16,00:00,-
2023-11-16,01:00,95.16
2023-11-16,02:00,95.91
2023-11-16,03:00,96.37
2023-11-16,04:00,96.85
2023-11-16,05:00,97.38
2023-11-16,06:00,-
2023-11-16,07:00,96.66
2023-11-16,08:00,-
2023-11-16,09:00,-
2023-11-16,10:00,-
2023-11-16,11:00,-
2023-11-16,12:00,-
2023-11-16,13:00,-
2023-11-16,14:00,71.48
2023-11-16,15:00,-
2023-11-16,16:00,73.8
2023-11-16,17:00,-
2023-11-16,18:00,95.01
2023-11-16,19:00,-
2023-11-16,20:00,96.48
2023-11-16,21:00,96.77
2023-11-16,22:00,97.07
2023-11-16,23:00,97.02
2023-11-17,00:00,-
2023-11-17,01:00,-
2023-11-17,02:00,98.24
2023-11-17,03:00,98.54
2023-11-17,04:00,98.78
2023-11-17,05:00,97.27
2023-11-17,06:00,95.94
2023-11-17,07:00,-
2023-11-17,08:00,-
2023-11-17,09:00,-
2023-11-17,10:00,-
2023-11-17,11:00,-
2023-11-17,12:00,68.74
2023-11-17,13:00,70.11
2023-11-17,14:00,72.32
2023-11-17,15:00,-
2023-11-17,16:00,-
2023-11-17,17:00,76.7
2023-11-17,18:00,-
2023-11-17,19:00,91.73
2023-11-17,20:00,92.25
2023-11-17,21:00,91.79
2023-11-17,22:00,-
2023-11-17,23:00,92.37
2023-11-18,00:00,92.75
2023-11-18,01:00,91.74
2023-11-18,02:00,-
2023-11-18,03:00,92.62
2023-11-18,04:00,93.41
2023-11-18,05:00,94.86
2023-11-18,06:00,-
