date,time,humid
2023-11-01,00:00,90.09
2023-11-01,01:00,89.94
2023-11-01,02:00,90.87
2023-11-01,03:00,90.08
2023-11-01,04:00,89.88
2023-11-01,05:00,89.93
2023-11-01,06:00,90.63
2023-11-01,07:00,82.64
2023-11-01,08:00,72.23
2023-11-01,09:00,72.59
2023-11-01,10:00,-
2023-11-01,11:00,49.74
2023-11-01,12:00,55.26
2023-11-01,13:00,51
2023-11-01,14:00,46.55
2023-11-01,15:00,47.45
2023-11-01,16:00,52.51
2023-11-01,17:00,53.86
2023-11-01,18:00,73.77
2023-11-01,19:00,78.44
2023-11-01,20:00,80.39
2023-11-01,21:00,80.9
2023-11-01,22:00,82.19
2023-11-01,23:00,84.57
2023-11-02,00:00,85.15
2023-11-02,01:00,85.16
2023-11-02,02:00,86.22
2023-11-02,03:00,87.6
2023-11-02,04:00,-
2023-11-02,05:00,89.58
2023-11-02,06:00,92.84
2023-11-02,07:00,82.31
2023-11-02,08:00,69.33
2023-11-02,09:00,-
2023-11-02,10:00,54.44
2023-11-02,11:00,54.81
2023-11-02,12:00,49.68
2023-11-02,13:00,48.45
2023-11-02,14:00,49.52
2023-11-02,15:00,48.3
2023-11-02,16:00,50.48
2023-11-02,17:00,65.02
2023-11-02,18:00,77.87
2023-11-02,19:00,86.04
2023-11-02,20:00,89.8
2023-11-02,21:00,91.48
2023-11-02,22:00,91.69
2023-11-02,23:00,93.71
2023-11-03,00:00,95.17
2023-11-03,01:00,95.96
2023-11-03,02:00,96.42
2023-11-03,03:00,94.73
2023-11-03,04:00,95.35
2023-11-03,05:00,95.96
2023-11-03,06:00,94.41
2023-11-03,07:00,89.53
2023-11-03,08:00,79.02
2023-11-03,09:00,66.61
2023-11-03,10:00,56.46
2023-11-03,11:00,51.93
2023-11-03,12:00,48.53
2023-11-03,13:00,45.94
2023-11-03,14:00,47.31
2023-11-03,15:00,-
2023-11-03,16:00,43.88
2023-11-03,17:00,55.46
2023-11-03,18:00,72.67
2023-11-03,19:00,84.67
2023-11-03,20:00,84.22
2023-11-03,21:00,89.27
2023-11-03,22:00,91.34
2023-11-03,23:00,93.16
2023-11-04,00:00,93.56
2023-11-04,01:00,94.32
2023-11-04,02:00,95.34
2023-11-04,03:00,96.28
2023-11-04,04:00,96.89
2023-11-04,05:00,97.23
2023-11-04,06:00,97.43
2023-11-04,07:00,97.52
2023-11-04,08:00,86.21
2023-11-04,09:00,-
2023-11-04,10:00,60.39
2023-11-04,11:00,51.83
2023-11-04,12:00,48.21
2023-11-04,13:00,43.81
2023-11-04,14:00,54.47
2023-11-04,15:00,51.17
2023-11-04,16:00,70.14
2023-11-04,17:00,75.21
2023-11-04,18:00,77.54
2023-11-04,19:00,83.36
2023-11-04,20:00,86.02
2023-11-04,21:00,84.16
2023-11-04,22:00,88.82
2023-11-04,23:00,91.44
2023-11-05,00:00,93.38
2023-11-05,01:00,93.47
2023-11-05,02:00,94.31
2023-11-05,03:00,94.86
2023-11-05,04:00,95.67
2023-11-05,05:00,96.26
2023-11-05,06:00,96.53
2023-11-05,07:00,94.57
2023-11-05,08:00,80.9
2023-11-05,09:00,71.12
2023-11-05,10:00,63.13
2023-11-05,11:00,52.05
2023-11-05,12:00,51.01
2023-11-05,13:00,46.38
2023-11-05,14:00,56.19
2023-11-05,15:00,54.17
2023-11-05,16:00,65.44
2023-11-05,17:00,77.29
2023-11-05,18:00,82.57
2023-11-05,19:00,86.06
2023-11-05,20:00,89.83
2023-11-05,21:00,91.74
2023-11-05,22:00,90.64
2023-11-05,23:00,92.32
2023-11-06,00:00,92.94
