date,time,humid
2023-11-01,00:00,96.81
2023-11-01,01:00,96.77
2023-11-01,02:00,96.78
2023-11-01,03:00,96.91
2023-11-01,04:00,96.77
2023-11-01,05:00,96.98
2023-11-01,06:00,96.7
2023-11-01,07:00,96.5
2023-11-01,08:00,93.24
2023-11-01,09:00,89.18
2023-11-01,10:00,84.3
2023-11-01,11:00,80.8
2023-11-01,12:00,71.04
2023-11-01,13:00,69.9
2023-11-01,14:00,66
2023-11-01,15:00,71.36
2023-11-01,16:00,71.29
2023-11-01,17:00,79.33
2023-11-01,18:00,87.32
2023-11-01,19:00,91.23
2023-11-01,20:00,92.57
2023-11-01,21:00,93.43
2023-11-01,22:00,94.08
2023-11-01,23:00,94.61
2023-11-02,00:00,94.85
2023-11-02,01:00,94.46
2023-11-02,02:00,93.86
2023-11-02,03:00,94.84
2023-11-02,04:00,95.63
2023-11-02,05:00,94.73
2023-11-02,06:00,93.96
2023-11-02,07:00,92.86
2023-11-02,08:00,89.97
2023-11-02,09:00,83.98
2023-11-02,10:00,78.05
2023-11-02,11:00,-
2023-11-02,12:00,62.3
2023-11-02,13:00,64.86
2023-11-02,14:00,64.97
2023-11-02,15:00,63.33
2023-11-02,16:00,70.23
2023-11-02,17:00,76.37
2023-11-02,18:00,87.78
2023-11-02,19:00,90.07
2023-11-02,20:00,92.54
2023-11-02,21:00,91.63
2023-11-02,22:00,92.85
2023-11-02,23:00,93.54
2023-11-03,00:00,94.45
2023-11-03,01:00,93.53
2023-11-03,02:00,94.67
2023-11-03,03:00,94.94
2023-11-03,04:00,94.67
2023-11-03,05:00,94.88
2023-11-03,06:00,95.38
2023-11-03,07:00,93.25
2023-11-03,08:00,-
2023-11-03,09:00,71.1
2023-11-03,10:00,63.4
2023-11-03,11:00,66.48
2023-11-03,12:00,57.01
2023-11-03,13:00,52.78
2023-11-03,14:00,57.69
2023-11-03,15:00,62.47
2023-11-03,16:00,64.71
2023-11-03,17:00,68.69
2023-11-03,18:00,85.8
2023-11-03,19:00,88.56
2023-11-03,20:00,87.78
2023-11-03,21:00,88.51
2023-11-03,22:00,91.64
2023-11-03,23:00,-
2023-11-04,00:00,92.09
2023-11-04,01:00,94.4
2023-11-04,02:00,94.67
2023-11-04,03:00,95.04
2023-11-04,04:00,-
2023-11-04,05:00,-
2023-11-04,06:00,94.43
2023-11-04,07:00,93.93
2023-11-04,08:00,83.01
2023-11-04,09:00,-
2023-11-04,10:00,62.13
2023-11-04,11:00,59.43
2023-11-04,12:00,62.63
2023-11-04,13:00,64.78
2023-11-04,14:00,62.53
2023-11-04,15:00,64.2
2023-11-04,16:00,87.93
2023-11-04,17:00,89.9
2023-11-04,18:00,92.06
2023-11-04,19:00,94.32
2023-11-04,20:00,94.82
2023-11-04,21:00,94.91
2023-11-04,22:00,94.82
2023-11-04,23:00,94.23
2023-11-05,00:00,95.5
2023-11-05,01:00,95.37
2023-11-05,02:00,95.55
2023-11-05,03:00,96.07
2023-11-05,04:00,96.1
2023-11-05,05:00,96.64
2023-11-05,06:00,96.65
2023-11-05,07:00,95.87
2023-11-05,08:00,87.05
2023-11-05,09:00,76.17
2023-11-05,10:00,67.28
2023-11-05,11:00,64.53
2023-11-05,12:00,72.42
2023-11-05,13:00,75.68
2023-11-05,14:00,65.6
2023-11-05,15:00,85.79
2023-11-05,16:00,88
2023-11-05,17:00,85.62
2023-11-05,18:00,88.31
2023-11-05,19:00,88.82
2023-11-05,20:00,90.99
2023-11-05,21:00,93.44
2023-11-05,22:00,94.11
2023-11-05,23:00,93.43
2023-11-06,00:00,94.8
2023-11-06,01:00,95.1
2023-11-06,02:00,95.94
2023-11-06,03:00,96.04
2023-11-06,04:00,96.43
2023-11-06,05:00,96.14
2023-11-06,06:00,96.37
2023-11-06,07:00,93.41
2023-11-06,08:00,-
2023-11-06,09:00,-
2023-11-06,10:00,66.86
2023-11-06,11:00,63.62
2023-11-06,12:00,64.06
2023-11-06,13:00,66.76
2023-11-06,14:00,57.31
2023-11-06,15:00,58.51
2023-11-06,16:00,-
2023-11-06,17:00,72.27
2023-11-06,18:00,-
2023-11-06,19:00,88.71
2023-11-06,20:00,90
2023-11-06,21:00,89.76
2023-11-06,22:00,89.3
2023-11-06,23:00,89.7
2023-11-07,00:00,89.99
2023-11-07,01:00,86.06
2023-11-07,02:00,-
2023-11-07,03:00,91.44
2023-11-07,04:00,-
2023-11-07,05:00,-
2023-11-07,06:00,-
2023-11-07,07:00,93.76
2023-11-07,08:00,84.64
2023-11-07,09:00,69.86
2023-11-07,10:00,66.16
2023-11-07,11:00,64.35
2023-11-07,12:00,-
2023-11-07,13:00,61.82
2023-11-07,14:00,72.38
2023-11-07,15:00,76.46
2023-11-07,16:00,76.42
2023-11-07,17:00,85.78
2023-11-07,18:00,90.62
2023-11-07,19:00,88.75
2023-11-07,20:00,90.87
2023-11-07,21:00,92.53
2023-11-07,22:00,94.21
2023-11-07,23:00,93.69
2023-11-08,00:00,94.55
2023-11-08,01:00,94.95
2023-11-08,02:00,95.46
2023-11-08,03:00,95.44
2023-11-08,04:00,95.7
2023-11-08,05:00,95.42
2023-11-08,06:00,95.94
2023-11-08,07:00,93.45
2023-11-08,08:00,86.02
2023-11-08,09:00,-
2023-11-08,10:00,67.75
2023-11-08,11:00,64.78
2023-11-08,12:00,60.83
2023-11-08,13:00,60.75
2023-11-08,14:00,62.6
2023-11-08,15:00,62.51
2023-11-08,16:00,63.16
2023-11-08,17:00,-
2023-11-08,18:00,88.08
2023-11-08,19:00,89.59
2023-11-08,20:00,89.06
2023-11-08,21:00,88.52
2023-11-08,22:00,-
2023-11-08,23:00,90.92
2023-11-09,00:00,90.3
2023-11-09,01:00,93.02
2023-11-09,02:00,92.17
2023-11-09,03:00,92
2023-11-09,04:00,93.22
2023-11-09,05:00,94.02
2023-11-09,06:00,93.61
2023-11-09,07:00,93.1
2023-11-09,08:00,90.96
2023-11-09,09:00,85.9
2023-11-09,10:00,-
2023-11-09,11:00,64
2023-11-09,12:00,65.44
2023-11-09,13:00,69.58
2023-11-09,14:00,69.31
2023-11-09,15:00,71.91
2023-11-09,16:00,77.07
2023-11-09,17:00,92.34
2023-11-09,18:00,93.72
2023-11-09,19:00,93.26
2023-11-09,20:00,94.04
2023-11-09,21:00,94.57
2023-11-09,22:00,94.72
2023-11-09,23:00,94.8
2023-11-10,00:00,94.49
2023-11-10,01:00,95.18
2023-11-10,02:00,95.68
2023-11-10,03:00,95.88
2023-11-10,04:00,95.47
2023-11-10,05:00,95.53
2023-11-10,06:00,96.19
2023-11-10,07:00,95.59
2023-11-10,08:00,91.96
2023-11-10,09:00,83.77
2023-11-10,10:00,75.55
2023-11-10,11:00,65.69
2023-11-10,12:00,68.97
2023-11-10,13:00,67.74
2023-11-10,14:00,60.65
2023-11-10,15:00,62.9
2023-11-10,16:00,62.06
2023-11-10,17:00,75.97
2023-11-10,18:00,84.12
2023-11-10,19:00,89.07
2023-11-10,20:00,90.45
2023-11-10,21:00,94.62
2023-11-10,22:00,94.89
2023-11-10,23:00,95.28
2023-11-11,00:00,95.79
2023-11-11,01:00,96.25
2023-11-11,02:00,96.81
2023-11-11,03:00,96.55
2023-11-11,04:00,95.61
2023-11-11,05:00,96.14
2023-11-11,06:00,96.33
2023-11-11,07:00,96.15
2023-11-11,08:00,91.62
2023-11-11,09:00,84.88
2023-11-11,10:00,75.66
2023-11-11,11:00,70.94
2023-11-11,12:00,71
2023-11-11,13:00,64.22
2023-11-11,14:00,64.16
2023-11-11,15:00,71.04
2023-11-11,16:00,85.78
2023-11-11,17:00,87.44
2023-11-11,18:00,89.14
2023-11-11,19:00,89.67
2023-11-11,20:00,93.38
2023-11-11,21:00,93.72
2023-11-11,22:00,94.83
2023-11-11,23:00,94.75
2023-11-12,00:00,94.6
2023-11-12,01:00,95.33
2023-11-12,02:00,95.52
2023-11-12,03:00,94.87
2023-11-12,04:00,95.16
2023-11-12,05:00,95.92
2023-11-12,06:00,96.37
2023-11-12,07:00,96.39
2023-11-12,08:00,93.7
2023-11-12,09:00,89.7
2023-11-12,10:00,87.7
2023-11-12,11:00,83.49
2023-11-12,12:00,79.1
2023-11-12,13:00,77.26
2023-11-12,14:00,79.17
2023-11-12,15:00,79.11
2023-11-12,16:00,82.64
2023-11-12,17:00,94.77
2023-11-12,18:00,96.09
2023-11-12,19:00,95.97
2023-11-12,20:00,95.46
2023-11-12,21:00,96.11
2023-11-12,22:00,96.43
2023-11-12,23:00,96.87
2023-11-13,00:00,96.8
2023-11-13,01:00,96.86
2023-11-13,02:00,96.94
2023-11-13,03:00,97.14
2023-11-13,04:00,96.92
2023-11-13,05:00,97.11
2023-11-13,06:00,97.15
2023-11-13,07:00,97.06
2023-11-13,08:00,87.4
2023-11-13,09:00,-
2023-11-13,10:00,86.52
2023-11-13,11:00,80
2023-11-13,12:00,82.15
2023-11-13,13:00,72.08
2023-11-13,14:00,83.73
2023-11-13,15:00,84.88
2023-11-13,16:00,91.98
2023-11-13,17:00,92.31
2023-11-13,18:00,93.85
2023-11-13,19:00,92.46
2023-11-13,20:00,93.76
2023-11-13,21:00,94.33
2023-11-13,22:00,94.75
2023-11-13,23:00,95.49
2023-11-14,00:00,95.74
2023-11-14,01:00,95.72
2023-11-14,02:00,95.98
2023-11-14,03:00,96.4
2023-11-14,04:00,96.11
2023-11-14,05:00,95.86
2023-11-14,06:00,95.97
2023-11-14,07:00,96
2023-11-14,08:00,93.77
2023-11-14,09:00,91.98
2023-11-14,10:00,88.84
2023-11-14,11:00,77.62
2023-11-14,12:00,84.61
2023-11-14,13:00,92.5
2023-11-14,14:00,93.71
2023-11-14,15:00,90.28
2023-11-14,16:00,92.21
2023-11-14,17:00,-
2023-11-14,18:00,95.03
2023-11-14,19:00,-
2023-11-14,20:00,-
2023-11-14,21:00,-
2023-11-14,22:00,96.37
2023-11-14,23:00,-
2023-11-15,00:00,96.73
2023-11-15,01:00,96.9
2023-11-15,02:00,96.99
2023-11-15,03:00,96.98
2023-11-15,04:00,96.93
2023-11-15,05:00,-
2023-11-15,06:00,96.81
2023-11-15,07:00,96.49
2023-11-15,08:00,-
2023-11-15,09:00,87.57
2023-11-15,10:00,-
2023-11-15,11:00,-
2023-11-15,12:00,77.77
2023-11-15,13:00,-
2023-11-15,14:00,-
2023-11-15,15:00,79.41
2023-11-15,16:00,-
2023-11-15,17:00,82.78
2023-11-15,18:00,89.62
2023-11-15,19:00,-
2023-11-15,20:00,-
2023-11-15,21:00,93.4
2023-11-15,22:00,-
2023-11-15,23:00,-
2023-11-16,00:00,94.89
2023-11-16,01:00,95.03
2023-11-16,02:00,95.1
2023-11-16,03:00,95.52
2023-11-16,04:00,95.49
2023-11-16,05:00,-
2023-11-16,06:00,-
2023-11-16,07:00,-
2023-11-16,08:00,-
2023-11-16,09:00,82.11
2023-11-16,10:00,82.95
2023-11-16,11:00,-
2023-11-16,12:00,-
2023-11-16,13:00,-
2023-11-16,14:00,-
2023-11-16,15:00,-
2023-11-16,16:00,-
2023-11-16,17:00,91.31
2023-11-16,18:00,92.76
2023-11-16,19:00,94.12
2023-11-16,20:00,94.14
2023-11-16,21:00,-
2023-11-16,22:00,95.05
2023-11-16,23:00,-
2023-11-17,00:00,95.45
2023-11-17,01:00,93.49
2023-11-17,02:00,94.67
2023-11-17,03:00,-
2023-11-17,04:00,95.27
2023-11-17,05:00,95.6
2023-11-17,06:00,92.07
2023-11-17,07:00,90.11
2023-11-17,08:00,92.18
2023-11-17,09:00,-
2023-11-17,10:00,84.49
2023-11-17,11:00,-
2023-11-17,12:00,68.43
2023-11-17,13:00,69.99
2023-11-17,14:00,70.69
2023-11-17,15:00,66.27
2023-11-17,16:00,70.06
2023-11-17,17:00,-
2023-11-17,18:00,85.17
2023-11-17,19:00,90.15
2023-11-17,20:00,91.99
2023-11-17,21:00,-
2023-11-17,22:00,-
2023-11-17,23:00,90.09
2023-11-18,00:00,-
2023-11-18,01:00,-
2023-11-18,02:00,-
2023-11-18,03:00,92.72
2023-11-18,04:00,93.72
2023-11-18,05:00,94.09
2023-11-18,06:00,94.33
2023-11-18,07:00,-
2023-11-18,08:00,72.37
2023-11-18,09:00,-
2023-11-18,10:00,56.15
2023-11-18,11:00,-
2023-11-18,12:00,49.77
2023-11-18,13:00,44.14
2023-11-18,14:00,45.52
2023-11-18,15:00,51.42
2023-11-18,16:00,51.35
2023-11-18,17:00,-
2023-11-18,18:00,-
2023-11-18,19:00,-
2023-11-18,20:00,89.67
2023-11-18,21:00,-
2023-11-18,22:00,89.92
2023-11-18,23:00,-
2023-11-19,00:00,-
