date,time,humid
2023-11-01,00:00,99.86
2023-11-01,01:00,100
2023-11-01,02:00,100
2023-11-01,03:00,100
2023-11-01,04:00,100
2023-11-01,05:00,100
2023-11-01,06:00,100
2023-11-01,07:00,100
2023-11-01,08:00,82.99
2023-11-01,09:00,81.38
2023-11-01,10:00,78.06
2023-11-01,11:00,75.73
2023-11-01,12:00,74.38
2023-11-01,13:00,69.99
2023-11-01,14:00,67.03
2023-11-01,15:00,67.33
2023-11-01,16:00,66.04
2023-11-01,17:00,78.96
2023-11-01,18:00,88.7
2023-11-01,19:00,94.1
2023-11-01,20:00,94.71
2023-11-01,21:00,92.54
2023-11-01,22:00,92.47
2023-11-01,23:00,92.81
2023-11-02,00:00,93.75
2023-11-02,01:00,94.04
2023-11-02,02:00,93.31
2023-11-02,03:00,95.23
2023-11-02,04:00,96.73
2023-11-02,05:00,97.34
2023-11-02,06:00,96.59
2023-11-02,07:00,95.4
2023-11-02,08:00,90.27
2023-11-02,09:00,83.8
2023-11-02,10:00,72.82
2023-11-02,11:00,70.45
2023-11-02,12:00,69.29
2023-11-02,13:00,68.49
2023-11-02,14:00,64.83
2023-11-02,15:00,69.56
2023-11-02,16:00,65.53
2023-11-02,17:00,77.44
2023-11-02,18:00,88.9
2023-11-02,19:00,90.57
2023-11-02,20:00,90.63
2023-11-02,21:00,92.09
2023-11-02,22:00,93.33
2023-11-02,23:00,94.74
2023-11-03,00:00,94.92
2023-11-03,01:00,95.17
2023-11-03,02:00,92.88
2023-11-03,03:00,94.31
2023-11-03,04:00,95.04
2023-11-03,05:00,96.43
2023-11-03,06:00,96.14
2023-11-03,07:00,94.58
2023-11-03,08:00,84.64
2023-11-03,09:00,74.14
2023-11-03,10:00,69.35
2023-11-03,11:00,66.55
2023-11-03,12:00,63.66
2023-11-03,13:00,62.3
2023-11-03,14:00,61.1
2023-11-03,15:00,59.68
2023-11-03,16:00,59.32
2023-11-03,17:00,69.08
2023-11-03,18:00,85.29
2023-11-03,19:00,88.13
2023-11-03,20:00,87.78
2023-11-03,21:00,91.5
2023-11-03,22:00,91.64
2023-11-03,23:00,93.15
2023-11-04,00:00,93.22
2023-11-04,01:00,91.49
2023-11-04,02:00,93.16
2023-11-04,03:00,94.65
2023-11-04,04:00,94.92
2023-11-04,05:00,95.81
2023-11-04,06:00,94.89
2023-11-04,07:00,94.92
2023-11-04,08:00,85.8
2023-11-04,09:00,77.91
2023-11-04,10:00,66.1
2023-11-04,11:00,65.62
2023-11-04,12:00,65.27
2023-11-04,13:00,61.11
2023-11-04,14:00,57.92
2023-11-04,15:00,64.53
2023-11-04,16:00,60.65
2023-11-04,17:00,79.2
2023-11-04,18:00,95.5
2023-11-04,19:00,98.39
2023-11-04,20:00,98.46
2023-11-04,21:00,97.85
2023-11-04,22:00,98.38
2023-11-04,23:00,98.05
2023-11-05,00:00,97.81
2023-11-05,01:00,98.37
2023-11-05,02:00,98.5
2023-11-05,03:00,98.62
2023-11-05,04:00,98.94
2023-11-05,05:00,98.98
2023-11-05,06:00,99.21
2023-11-05,07:00,98.57
2023-11-05,08:00,89.84
2023-11-05,09:00,81.5
2023-11-05,10:00,74.02
2023-11-05,11:00,72.81
2023-11-05,12:00,66.09
2023-11-05,13:00,66.46
2023-11-05,14:00,65.24
2023-11-05,15:00,66.71
2023-11-05,16:00,79.05
2023-11-05,17:00,83.45
2023-11-05,18:00,89.71
2023-11-05,19:00,92.27
2023-11-05,20:00,92.69
2023-11-05,21:00,93.83
2023-11-05,22:00,94.04
2023-11-05,23:00,94.17
2023-11-06,00:00,94.71
2023-11-06,01:00,96.29
2023-11-06,02:00,97.48
2023-11-06,03:00,98.61
2023-11-06,04:00,98.32
2023-11-06,05:00,97.7
2023-11-06,06:00,97.56
2023-11-06,07:00,95.75
2023-11-06,08:00,85.51
2023-11-06,09:00,75.83
2023-11-06,10:00,70.79
2023-11-06,11:00,65.02
2023-11-06,12:00,63.41
2023-11-06,13:00,60.88
2023-11-06,14:00,61.72
2023-11-06,15:00,58.53
2023-11-06,16:00,65.59
2023-11-06,17:00,66.81
2023-11-06,18:00,85.53
2023-11-06,19:00,86.86
2023-11-06,20:00,87.15
2023-11-06,21:00,89.03
2023-11-06,22:00,89.63
2023-11-06,23:00,91.4
2023-11-07,00:00,92.71
2023-11-07,01:00,89.09
2023-11-07,02:00,90.29
2023-11-07,03:00,92.22
2023-11-07,04:00,96.09
2023-11-07,05:00,96.92
2023-11-07,06:00,97.59
2023-11-07,07:00,96.13
2023-11-07,08:00,86.75
2023-11-07,09:00,77.86
2023-11-07,10:00,77.13
2023-11-07,11:00,73.37
2023-11-07,12:00,71.05
2023-11-07,13:00,68.57
2023-11-07,14:00,65.21
2023-11-07,15:00,68.38
2023-11-07,16:00,65.66
2023-11-07,17:00,81.08
2023-11-07,18:00,89.08
2023-11-07,19:00,82.19
2023-11-07,20:00,89.6
2023-11-07,21:00,93.32
2023-11-07,22:00,93.53
2023-11-07,23:00,94.18
2023-11-08,00:00,95.84
2023-11-08,01:00,95.16
2023-11-08,02:00,95.41
2023-11-08,03:00,95.75
2023-11-08,04:00,97.15
2023-11-08,05:00,97.43
2023-11-08,06:00,97.88
2023-11-08,07:00,97.09
2023-11-08,08:00,86.79
2023-11-08,09:00,78.16
2023-11-08,10:00,75.41
2023-11-08,11:00,73.6
2023-11-08,12:00,66.22
2023-11-08,13:00,61.61
2023-11-08,14:00,60.06
2023-11-08,15:00,-
2023-11-08,16:00,59.97
2023-11-08,17:00,70.04
2023-11-08,18:00,85.82
2023-11-08,19:00,88.78
2023-11-08,20:00,88.98
2023-11-08,21:00,89.11
2023-11-08,22:00,90.76
2023-11-08,23:00,92.92
2023-11-09,00:00,92.26
2023-11-09,01:00,93.42
2023-11-09,02:00,93.43
2023-11-09,03:00,94.06
2023-11-09,04:00,93.77
2023-11-09,05:00,94.51
2023-11-09,06:00,98.97
2023-11-09,07:00,98.95
2023-11-09,08:00,97.75
2023-11-09,09:00,87.54
2023-11-09,10:00,76.95
2023-11-09,11:00,77.57
2023-11-09,12:00,73.96
2023-11-09,13:00,64.25
2023-11-09,14:00,65.61
2023-11-09,15:00,70.37
2023-11-09,16:00,68.55
2023-11-09,17:00,93.45
2023-11-09,18:00,94.21
2023-11-09,19:00,95.96
2023-11-09,20:00,95.28
2023-11-09,21:00,96.6
2023-11-09,22:00,96.99
2023-11-09,23:00,97.93
2023-11-10,00:00,96.89
2023-11-10,01:00,96.74
2023-11-10,02:00,97.84
2023-11-10,03:00,98
2023-11-10,04:00,98.12
2023-11-10,05:00,98.12
2023-11-10,06:00,98.37
2023-11-10,07:00,98.72
2023-11-10,08:00,93.8
2023-11-10,09:00,85.73
2023-11-10,10:00,79.05
2023-11-10,11:00,75.23
2023-11-10,12:00,67.76
2023-11-10,13:00,67.53
2023-11-10,14:00,63.32
2023-11-10,15:00,65.6
2023-11-10,16:00,72.88
2023-11-10,17:00,84.36
2023-11-10,18:00,90.88
2023-11-10,19:00,93.57
2023-11-10,20:00,97.3
2023-11-10,21:00,98.86
2023-11-10,22:00,98.64
2023-11-10,23:00,98.74
2023-11-11,00:00,98.41
2023-11-11,01:00,98.35
2023-11-11,02:00,98.42
2023-11-11,03:00,98.96
2023-11-11,04:00,98.98
2023-11-11,05:00,99.67
2023-11-11,06:00,99.5
2023-11-11,07:00,98.95
2023-11-11,08:00,96.97
2023-11-11,09:00,89.57
2023-11-11,10:00,81.64
2023-11-11,11:00,76.03
2023-11-11,12:00,71.39
2023-11-11,13:00,69.62
2023-11-11,14:00,64.46
2023-11-11,15:00,68.01
2023-11-11,16:00,92.14
2023-11-11,17:00,94.08
2023-11-11,18:00,95.54
2023-11-11,19:00,96.3
2023-11-11,20:00,95.79
2023-11-11,21:00,98.02
2023-11-11,22:00,98.17
2023-11-11,23:00,98.32
2023-11-12,00:00,98.41
2023-11-12,01:00,98.64
2023-11-12,02:00,98.9
2023-11-12,03:00,99.3
2023-11-12,04:00,99.48
2023-11-12,05:00,99.54
2023-11-12,06:00,99.14
2023-11-12,07:00,98.81
2023-11-12,08:00,97.63
2023-11-12,09:00,94.61
2023-11-12,10:00,90.46
2023-11-12,11:00,86.13
2023-11-12,12:00,81.55
2023-11-12,13:00,78.54
2023-11-12,14:00,75.96
2023-11-12,15:00,71.97
2023-11-12,16:00,75.53
2023-11-12,17:00,85.89
2023-11-12,18:00,98.82
2023-11-12,19:00,99.07
2023-11-12,20:00,99.1
2023-11-12,21:00,99.21
2023-11-12,22:00,99.28
2023-11-12,23:00,99.33
2023-11-13,00:00,99.33
2023-11-13,01:00,98.5
2023-11-13,02:00,98.58
2023-11-13,03:00,98.6
2023-11-13,04:00,98.64
2023-11-13,05:00,98.66
2023-11-13,06:00,98.65
2023-11-13,07:00,98.62
2023-11-13,08:00,98.64
2023-11-13,09:00,98.68
2023-11-13,10:00,98.7
2023-11-13,11:00,98.63
2023-11-13,12:00,98.58
2023-11-13,13:00,78.15
2023-11-13,14:00,81.37
2023-11-13,15:00,87.26
2023-11-13,16:00,96
2023-11-13,17:00,96.92
2023-11-13,18:00,97.2
2023-11-13,19:00,98.34
2023-11-13,20:00,98.1
2023-11-13,21:00,98.73
2023-11-13,22:00,98.73
2023-11-13,23:00,98.99
2023-11-14,00:00,99.24
2023-11-14,01:00,99.27
2023-11-14,02:00,99.41
2023-11-14,03:00,99.51
2023-11-14,04:00,99.6
2023-11-14,05:00,99.76
2023-11-14,06:00,99.79
2023-11-14,07:00,99.66
2023-11-14,08:00,96.38
2023-11-14,09:00,87.93
2023-11-14,10:00,85.71
2023-11-14,11:00,81.45
2023-11-14,12:00,79.4
2023-11-14,13:00,82.17
2023-11-14,14:00,81.21
2023-11-14,15:00,84.27
2023-11-14,16:00,95.35
2023-11-14,17:00,95.27
2023-11-14,18:00,-
2023-11-14,19:00,-
2023-11-14,20:00,-
2023-11-14,21:00,99.36
2023-11-14,22:00,98.72
2023-11-14,23:00,-
2023-11-15,00:00,-
2023-11-15,01:00,99.54
2023-11-15,02:00,99.5
2023-11-15,03:00,99.86
2023-11-15,04:00,99.66
2023-11-15,05:00,-
2023-11-15,06:00,-
2023-11-15,07:00,100
2023-11-15,08:00,-
2023-11-15,09:00,84.48
2023-11-15,10:00,74.13
2023-11-15,11:00,77.3
2023-11-15,12:00,74.91
2023-11-15,13:00,-
2023-11-15,14:00,75.45
2023-11-15,15:00,68.72
2023-11-15,16:00,75.95
2023-11-15,17:00,-
2023-11-15,18:00,90.08
2023-11-15,19:00,93.38
2023-11-15,20:00,-
2023-11-15,21:00,93.66
2023-11-15,22:00,93.76
2023-11-15,23:00,95.65
2023-11-16,00:00,96.61
2023-11-16,01:00,-
2023-11-16,02:00,97.53
2023-11-16,03:00,98.01
2023-11-16,04:00,-
2023-11-16,05:00,-
2023-11-16,06:00,-
2023-11-16,07:00,-
2023-11-16,08:00,-
2023-11-16,09:00,79.49
2023-11-16,10:00,-
2023-11-16,11:00,75.85
2023-11-16,12:00,74.49
2023-11-16,13:00,-
2023-11-16,14:00,72.57
2023-11-16,15:00,-
2023-11-16,16:00,74.06
2023-11-16,17:00,90.92
2023-11-16,18:00,96.98
2023-11-16,19:00,-
2023-11-16,20:00,-
2023-11-16,21:00,-
2023-11-16,22:00,-
2023-11-16,23:00,98.92
2023-11-17,00:00,-
2023-11-17,01:00,99.87
2023-11-17,02:00,99.86
2023-11-17,03:00,99.74
2023-11-17,04:00,99.73
2023-11-17,05:00,99.5
2023-11-17,06:00,99.24
2023-11-17,07:00,98.93
2023-11-17,08:00,91.87
2023-11-17,09:00,-
2023-11-17,10:00,75.97
2023-11-17,11:00,68.84
2023-11-17,12:00,-
2023-11-17,13:00,-
2023-11-17,14:00,-
2023-11-17,15:00,67.75
2023-11-17,16:00,71.32
2023-11-17,17:00,-
2023-11-17,18:00,-
2023-11-17,19:00,-
2023-11-17,20:00,-
2023-11-17,21:00,-
2023-11-17,22:00,-
2023-11-17,23:00,-
2023-11-18,00:00,-
2023-11-18,01:00,-
2023-11-18,02:00,-
2023-11-18,03:00,96.08
2023-11-18,04:00,-
2023-11-18,05:00,97.87
2023-11-18,06:00,97.47
2023-11-18,07:00,94.39
2023-11-18,08:00,77.46
2023-11-18,09:00,-
2023-11-18,10:00,55.82
2023-11-18,11:00,54.8
2023-11-18,12:00,48.16
2023-11-18,13:00,44.73
2023-11-18,14:00,50.05
2023-11-18,15:00,-
2023-11-18,16:00,51.02
2023-11-18,17:00,-
2023-11-18,18:00,-
2023-11-18,19:00,86.32
2023-11-18,20:00,83.12
2023-11-18,21:00,-
2023-11-18,22:00,86.32
2023-11-18,23:00,-
2023-11-19,00:00,-
2023-11-19,01:00,-
2023-11-19,02:00,92.66
2023-11-19,03:00,-
2023-11-19,04:00,94.85
2023-11-19,05:00,95.73
2023-11-19,06:00,-
2023-11-19,07:00,95.08
2023-11-19,08:00,83.25
2023-11-19,09:00,-
2023-11-19,10:00,63.4
2023-11-19,11:00,64.17
2023-11-19,12:00,-
2023-11-19,13:00,61.54
2023-11-19,14:00,61.82
2023-11-19,15:00,63.83
2023-11-19,16:00,-
2023-11-19,17:00,64.17
2023-11-19,18:00,-
2023-11-19,19:00,-
2023-11-19,20:00,-
2023-11-19,21:00,-
