date,time,humid
2023-11-01,00:00,93.43
2023-11-01,01:00,93.66
2023-11-01,02:00,89.45
2023-11-01,03:00,90.97
2023-11-01,04:00,91.93
2023-11-01,05:00,92.04
2023-11-01,06:00,92.8
2023-11-01,07:00,92.77
2023-11-01,08:00,92.08
2023-11-01,09:00,90.6
2023-11-01,10:00,82.47
2023-11-01,11:00,81.44
2023-11-01,12:00,76.28
2023-11-01,13:00,69.79
2023-11-01,14:00,67.33
2023-11-01,15:00,70.53
2023-11-01,16:00,71.49
2023-11-01,17:00,75.72
2023-11-01,18:00,81.09
2023-11-01,19:00,85.18
2023-11-01,20:00,90.18
2023-11-01,21:00,91.42
2023-11-01,22:00,92.15
2023-11-01,23:00,92.84
2023-11-02,00:00,93.29
2023-11-02,01:00,93.57
2023-11-02,02:00,93.51
2023-11-02,03:00,93.73
2023-11-02,04:00,93.66
2023-11-02,05:00,93.56
2023-11-02,06:00,93.27
2023-11-02,07:00,93.76
2023-11-02,08:00,92.99
2023-11-02,09:00,87.95
2023-11-02,10:00,85.11
2023-11-02,11:00,79.39
2023-11-02,12:00,-
2023-11-02,13:00,-
2023-11-02,14:00,-
2023-11-02,15:00,-
2023-11-02,16:00,-
2023-11-02,17:00,-
2023-11-02,18:00,-
2023-11-02,19:00,-
2023-11-02,20:00,-
2023-11-02,21:00,-
2023-11-02,22:00,92.76
2023-11-02,23:00,92.97
2023-11-03,00:00,93.35
2023-11-03,01:00,93.49
2023-11-03,02:00,93.64
2023-11-03,03:00,93.8
2023-11-03,04:00,94.09
2023-11-03,05:00,94.09
2023-11-03,06:00,94.16
2023-11-03,07:00,94.05
2023-11-03,08:00,81.12
2023-11-03,09:00,68.43
2023-11-03,10:00,62.28
2023-11-03,11:00,62.51
2023-11-03,12:00,64.23
2023-11-03,13:00,60.82
2023-11-03,14:00,57.69
2023-11-03,15:00,60.36
2023-11-03,16:00,60.02
2023-11-03,17:00,69.05
2023-11-03,18:00,79.8
2023-11-03,19:00,85.6
2023-11-03,20:00,89.11
2023-11-03,21:00,90.68
2023-11-03,22:00,91.93
2023-11-03,23:00,92.51
2023-11-04,00:00,93.1
2023-11-04,01:00,93.23
2023-11-04,02:00,93.53
2023-11-04,03:00,93.74
2023-11-04,04:00,93.62
2023-11-04,05:00,93.8
2023-11-04,06:00,93.84
2023-11-04,07:00,91.56
2023-11-04,08:00,86.52
2023-11-04,09:00,73.82
2023-11-04,10:00,59.91
2023-11-04,11:00,65.52
2023-11-04,12:00,57.48
2023-11-04,13:00,60.85
2023-11-04,14:00,57.78
2023-11-04,15:00,60.96
