date,time,humid
2023-11-01,00:00,80.55
2023-11-01,01:00,82.72
2023-11-01,02:00,84.14
2023-11-01,03:00,85.49
2023-11-01,04:00,86.81
2023-11-01,05:00,88.72
2023-11-01,06:00,86.7
2023-11-01,07:00,85.57
2023-11-01,08:00,77.45
2023-11-01,09:00,73.24
2023-11-01,10:00,70.97
2023-11-01,11:00,67.58
2023-11-01,12:00,65.38
2023-11-01,13:00,65.99
2023-11-01,14:00,66.27
2023-11-01,15:00,63.14
2023-11-01,16:00,64.1
2023-11-01,17:00,65.99
2023-11-01,18:00,71.31
2023-11-01,19:00,74.66
2023-11-01,20:00,77.72
2023-11-01,21:00,80.56
2023-11-01,22:00,81.05
2023-11-01,23:00,81.21
2023-11-02,00:00,81.61
2023-11-02,01:00,82.73
2023-11-02,02:00,84.2
2023-11-02,03:00,85.21
2023-11-02,04:00,85.4
2023-11-02,05:00,85.85
2023-11-02,06:00,84.01
2023-11-02,07:00,82.17
2023-11-02,08:00,77.88
2023-11-02,09:00,73.81
2023-11-02,10:00,69.85
2023-11-02,11:00,66.07
2023-11-02,12:00,67.32
2023-11-02,13:00,68.15
2023-11-02,14:00,66.22
2023-11-02,15:00,63.79
2023-11-02,16:00,64.72
2023-11-02,17:00,65.39
2023-11-02,18:00,68.65
2023-11-02,19:00,73.81
2023-11-02,20:00,76.77
2023-11-02,21:00,79.27
2023-11-02,22:00,79.27
2023-11-02,23:00,82.33
2023-11-03,00:00,82.93
2023-11-03,01:00,86.63
2023-11-03,02:00,87.37
2023-11-03,03:00,87.84
2023-11-03,04:00,89.75
2023-11-03,05:00,87.75
2023-11-03,06:00,88.3
2023-11-03,07:00,86.54
2023-11-03,08:00,81.49
2023-11-03,09:00,77.64
2023-11-03,10:00,71.79
2023-11-03,11:00,67.15
2023-11-03,12:00,64.12
2023-11-03,13:00,56.16
2023-11-03,14:00,56.58
2023-11-03,15:00,54.96
2023-11-03,16:00,59.82
2023-11-03,17:00,60.33
2023-11-03,18:00,66.3
2023-11-03,19:00,71.48
2023-11-03,20:00,74.48
2023-11-03,21:00,81.57
2023-11-03,22:00,82.51
2023-11-03,23:00,83.58
2023-11-04,00:00,84.99
2023-11-04,01:00,86.29
2023-11-04,02:00,84.36
2023-11-04,03:00,84.76
2023-11-04,04:00,85.62
2023-11-04,05:00,86.03
2023-11-04,06:00,88.39
2023-11-04,07:00,86.43
2023-11-04,08:00,83.02
2023-11-04,09:00,76.48
2023-11-04,10:00,74.31
2023-11-04,11:00,73.93
2023-11-04,12:00,69.61
2023-11-04,13:00,67.22
2023-11-04,14:00,67.87
2023-11-04,15:00,71.77
2023-11-04,16:00,77.99
2023-11-04,17:00,79.2
2023-11-04,18:00,80.2
2023-11-04,19:00,79.4
2023-11-04,20:00,80.9
2023-11-04,21:00,79.41
2023-11-04,22:00,81.49
2023-11-04,23:00,84.04
2023-11-05,00:00,84.89
2023-11-05,01:00,84.97
2023-11-05,02:00,87.4
2023-11-05,03:00,88.91
2023-11-05,04:00,89.2
2023-11-05,05:00,90.1
2023-11-05,06:00,90.02
2023-11-05,07:00,89.17
2023-11-05,08:00,83.17
2023-11-05,09:00,77.59
2023-11-05,10:00,73.97
2023-11-05,11:00,73.68
2023-11-05,12:00,68
2023-11-05,13:00,67.02
2023-11-05,14:00,66.24
2023-11-05,15:00,83.11
2023-11-05,16:00,79.48
2023-11-05,17:00,76.75
2023-11-05,18:00,81.09
2023-11-05,19:00,79.22
2023-11-05,20:00,77.88
2023-11-05,21:00,79.3
2023-11-05,22:00,83.44
2023-11-05,23:00,83.18
2023-11-06,00:00,83.09
2023-11-06,01:00,85.05
2023-11-06,02:00,84.63
2023-11-06,03:00,86.1
2023-11-06,04:00,85.74
2023-11-06,05:00,86.4
2023-11-06,06:00,87.05
2023-11-06,07:00,85.3
2023-11-06,08:00,79.96
2023-11-06,09:00,77.54
2023-11-06,10:00,74.39
2023-11-06,11:00,72.12
2023-11-06,12:00,69.1
2023-11-06,13:00,67.68
2023-11-06,14:00,64.23
2023-11-06,15:00,61.85
2023-11-06,16:00,62.74
2023-11-06,17:00,63.89
2023-11-06,18:00,69.97
2023-11-06,19:00,71.79
2023-11-06,20:00,77.2
2023-11-06,21:00,79.24
2023-11-06,22:00,77.29
2023-11-06,23:00,80.68
2023-11-07,00:00,83.04
2023-11-07,01:00,82.92
2023-11-07,02:00,90.86
2023-11-07,03:00,93.33
2023-11-07,04:00,93.24
2023-11-07,05:00,92.42
2023-11-07,06:00,92.02
2023-11-07,07:00,90.01
2023-11-07,08:00,87.19
2023-11-07,09:00,83.24
2023-11-07,10:00,77.11
2023-11-07,11:00,75.79
2023-11-07,12:00,70.6
2023-11-07,13:00,68.9
2023-11-07,14:00,66.63
2023-11-07,15:00,66.23
2023-11-07,16:00,66.71
2023-11-07,17:00,66.91
2023-11-07,18:00,70.32
2023-11-07,19:00,91.16
2023-11-07,20:00,89.47
2023-11-07,21:00,89.43
2023-11-07,22:00,87.93
2023-11-07,23:00,90.17
2023-11-08,00:00,90.22
2023-11-08,01:00,90.41
2023-11-08,02:00,89.14
2023-11-08,03:00,90.75
2023-11-08,04:00,89.23
2023-11-08,05:00,89.68
2023-11-08,06:00,91.11
2023-11-08,07:00,89.16
2023-11-08,08:00,77.82
2023-11-08,09:00,69.4
2023-11-08,10:00,69.34
2023-11-08,11:00,69.45
2023-11-08,12:00,66.69
2023-11-08,13:00,64.16
2023-11-08,14:00,63.52
2023-11-08,15:00,68.36
2023-11-08,16:00,63.85
2023-11-08,17:00,62.38
2023-11-08,18:00,65.49
2023-11-08,19:00,71.19
2023-11-08,20:00,77.98
2023-11-08,21:00,80.95
2023-11-08,22:00,82.23
2023-11-08,23:00,82.55
2023-11-09,00:00,83.25
2023-11-09,01:00,83.46
2023-11-09,02:00,83.74
2023-11-09,03:00,86.8
2023-11-09,04:00,88.82
2023-11-09,05:00,89.05
2023-11-09,06:00,88.19
2023-11-09,07:00,89.44
2023-11-09,08:00,87.75
2023-11-09,09:00,85.03
2023-11-09,10:00,79.27
2023-11-09,11:00,79.62
2023-11-09,12:00,75.47
2023-11-09,13:00,73.11
2023-11-09,14:00,75.8
2023-11-09,15:00,88.3
2023-11-09,16:00,85.02
2023-11-09,17:00,85.3
2023-11-09,18:00,87.08
2023-11-09,19:00,87.95
2023-11-09,20:00,86.81
2023-11-09,21:00,89.61
2023-11-09,22:00,89.17
2023-11-09,23:00,88.65
2023-11-10,00:00,90.6
2023-11-10,01:00,91.49
2023-11-10,02:00,91.06
2023-11-10,03:00,91.87
2023-11-10,04:00,91.86
2023-11-10,05:00,92.56
2023-11-10,06:00,91.74
2023-11-10,07:00,90.19
2023-11-10,08:00,87
2023-11-10,09:00,82.52
2023-11-10,10:00,77.35
2023-11-10,11:00,79.81
2023-11-10,12:00,75.77
2023-11-10,13:00,75.82
2023-11-10,14:00,75.57
2023-11-10,15:00,80.67
2023-11-10,16:00,80.56
2023-11-10,17:00,79.34
2023-11-10,18:00,87.39
2023-11-10,19:00,85.55
2023-11-10,20:00,89.79
2023-11-10,21:00,93.58
2023-11-10,22:00,93.03
2023-11-10,23:00,91.9
2023-11-11,00:00,90.09
2023-11-11,01:00,90.01
2023-11-11,02:00,89.54
2023-11-11,03:00,90.17
2023-11-11,04:00,91.42
2023-11-11,05:00,92.16
2023-11-11,06:00,92.17
2023-11-11,07:00,91.63
2023-11-11,08:00,91.47
2023-11-11,09:00,86.56
2023-11-11,10:00,81.89
2023-11-11,11:00,78.48
2023-11-11,12:00,74.19
2023-11-11,13:00,70.57
2023-11-11,14:00,71.03
2023-11-11,15:00,80.06
2023-11-11,16:00,73.36
2023-11-11,17:00,82.49
2023-11-11,18:00,91.83
2023-11-11,19:00,90.42
2023-11-11,20:00,91.74
2023-11-11,21:00,91.84
2023-11-11,22:00,92.31
2023-11-11,23:00,92.65
2023-11-12,00:00,92.72
2023-11-12,01:00,92.91
2023-11-12,02:00,91.45
2023-11-12,03:00,92.66
2023-11-12,04:00,91.43
2023-11-12,05:00,89.94
2023-11-12,06:00,91.47
2023-11-12,07:00,90.27
2023-11-12,08:00,88.31
2023-11-12,09:00,85.73
2023-11-12,10:00,83.61
2023-11-12,11:00,81.1
2023-11-12,12:00,79.03
2023-11-12,13:00,78.22
2023-11-12,14:00,77.19
2023-11-12,15:00,74.61
2023-11-12,16:00,89.28
2023-11-12,17:00,85.73
2023-11-12,18:00,86.27
2023-11-12,19:00,87.35
2023-11-12,20:00,85.25
2023-11-12,21:00,88.67
2023-11-12,22:00,90.63
2023-11-12,23:00,91.91
2023-11-13,00:00,86.88
2023-11-13,01:00,88.73
2023-11-13,02:00,89.09
2023-11-13,03:00,91.97
2023-11-13,04:00,92.3
2023-11-13,05:00,91.4
2023-11-13,06:00,90.29
2023-11-13,07:00,90.71
2023-11-13,08:00,84.83
2023-11-13,09:00,83.45
2023-11-13,10:00,79.95
2023-11-13,11:00,75.45
2023-11-13,12:00,72.52
2023-11-13,13:00,70.06
2023-11-13,14:00,72.31
2023-11-13,15:00,78.59
2023-11-13,16:00,75.75
2023-11-13,17:00,76.64
2023-11-13,18:00,77.75
2023-11-13,19:00,81.29
