date,time,humid
2023-11-01,00:00,92
2023-11-01,01:00,91.08
2023-11-01,02:00,90.42
2023-11-01,03:00,90.07
2023-11-01,04:00,89.56
2023-11-01,05:00,89.21
2023-11-01,06:00,91.14
2023-11-01,07:00,89.36
2023-11-01,08:00,80.92
2023-11-01,09:00,68.57
2023-11-01,10:00,62.31
2023-11-01,11:00,61.76
2023-11-01,12:00,61.29
2023-11-01,13:00,60.48
2023-11-01,14:00,59.46
2023-11-01,15:00,60.64
2023-11-01,16:00,59.53
2023-11-01,17:00,63.89
2023-11-01,18:00,71.89
2023-11-01,19:00,76.06
2023-11-01,20:00,77.22
2023-11-01,21:00,87.54
2023-11-01,22:00,85.44
2023-11-01,23:00,86.33
2023-11-02,00:00,86.84
2023-11-02,01:00,90.15
2023-11-02,02:00,91.44
2023-11-02,03:00,91.42
2023-11-02,04:00,91.39
2023-11-02,05:00,91.36
2023-11-02,06:00,93.63
2023-11-02,07:00,84.91
2023-11-02,08:00,79.76
2023-11-02,09:00,70.53
2023-11-02,10:00,63.88
2023-11-02,11:00,59.48
2023-11-02,12:00,53.88
2023-11-02,13:00,56.85
2023-11-02,14:00,52.62
2023-11-02,15:00,50.2
2023-11-02,16:00,58.55
2023-11-02,17:00,72.7
2023-11-02,18:00,82.86
2023-11-02,19:00,88.25
2023-11-02,20:00,89.95
2023-11-02,21:00,92.92
2023-11-02,22:00,93.91
2023-11-02,23:00,94.66
2023-11-03,00:00,93.63
2023-11-03,01:00,95.33
2023-11-03,02:00,95.25
2023-11-03,03:00,96.42
2023-11-03,04:00,95.73
2023-11-03,05:00,95.95
2023-11-03,06:00,95.61
2023-11-03,07:00,91.14
2023-11-03,08:00,85.82
2023-11-03,09:00,78.64
2023-11-03,10:00,67.37
2023-11-03,11:00,57.36
2023-11-03,12:00,49.08
2023-11-03,13:00,48.36
2023-11-03,14:00,50.65
2023-11-03,15:00,47.93
2023-11-03,16:00,48.08
2023-11-03,17:00,54.13
2023-11-03,18:00,79.51
2023-11-03,19:00,85.13
2023-11-03,20:00,88.79
2023-11-03,21:00,90.25
2023-11-03,22:00,91.35
2023-11-03,23:00,94.03
2023-11-04,00:00,94.2
2023-11-04,01:00,93.92
2023-11-04,02:00,92.79
2023-11-04,03:00,93.55
2023-11-04,04:00,90.17
