date,time,humid
2023-11-01,00:00,88.66
2023-11-01,01:00,87.39
2023-11-01,02:00,87.53
2023-11-01,03:00,87.25
2023-11-01,04:00,87.6
2023-11-01,05:00,87.71
2023-11-01,06:00,85.84
2023-11-01,07:00,85.98
2023-11-01,08:00,85.19
2023-11-01,09:00,82.31
2023-11-01,10:00,73.39
2023-11-01,11:00,66.07
2023-11-01,12:00,66.87
2023-11-01,13:00,64.42
2023-11-01,14:00,64.72
2023-11-01,15:00,64.12
2023-11-01,16:00,65.85
2023-11-01,17:00,75.66
2023-11-01,18:00,83.63
2023-11-01,19:00,88.09
2023-11-01,20:00,88.87
2023-11-01,21:00,86.89
2023-11-01,22:00,91.15
2023-11-01,23:00,93.45
2023-11-02,00:00,90.79
2023-11-02,01:00,88.94
2023-11-02,02:00,87.53
2023-11-02,03:00,85.05
2023-11-02,04:00,89.92
2023-11-02,05:00,93
2023-11-02,06:00,94.35
2023-11-02,07:00,94.28
2023-11-02,08:00,94.82
2023-11-02,09:00,88.91
2023-11-02,10:00,85.12
2023-11-02,11:00,84.89
2023-11-02,12:00,72.33
2023-11-02,13:00,71.98
2023-11-02,14:00,74.97
2023-11-02,15:00,74.55
2023-11-02,16:00,75.45
2023-11-02,17:00,76.81
2023-11-02,18:00,86.05
2023-11-02,19:00,90.81
2023-11-02,20:00,92.57
2023-11-02,21:00,93.2
2023-11-02,22:00,93.6
2023-11-02,23:00,93.19
2023-11-03,00:00,92.82
2023-11-03,01:00,92.86
2023-11-03,02:00,92.88
2023-11-03,03:00,94.31
2023-11-03,04:00,94.82
2023-11-03,05:00,94.22
2023-11-03,06:00,93.99
2023-11-03,07:00,93.43
2023-11-03,08:00,81.84
2023-11-03,09:00,69.8
2023-11-03,10:00,64.33
2023-11-03,11:00,61.87
2023-11-03,12:00,61.63
2023-11-03,13:00,55.59
2023-11-03,14:00,56.55
2023-11-03,15:00,53.91
2023-11-03,16:00,57.22
2023-11-03,17:00,58.91
2023-11-03,18:00,82.19
2023-11-03,19:00,83.22
2023-11-03,20:00,86.76
2023-11-03,21:00,86.26
2023-11-03,22:00,87.38
2023-11-03,23:00,88.14
2023-11-04,00:00,90.61
2023-11-04,01:00,91.92
2023-11-04,02:00,93.57
2023-11-04,03:00,94.07
2023-11-04,04:00,94.33
2023-11-04,05:00,94.18
2023-11-04,06:00,92.45
2023-11-04,07:00,92.65
2023-11-04,08:00,94.99
2023-11-04,09:00,91.8
2023-11-04,10:00,81.84
2023-11-04,11:00,72.35
2023-11-04,12:00,65.29
2023-11-04,13:00,57.85
2023-11-04,14:00,65.91
2023-11-04,15:00,74.11
2023-11-04,16:00,81.95
2023-11-04,17:00,88.2
2023-11-04,18:00,88.52
2023-11-04,19:00,91.57
2023-11-04,20:00,91.42
2023-11-04,21:00,93.58
2023-11-04,22:00,92.76
