date,time,humid
2023-11-01,00:00,92.68
2023-11-01,01:00,89.96
2023-11-01,02:00,91.62
2023-11-01,03:00,93.67
2023-11-01,04:00,94.15
2023-11-01,05:00,93.23
2023-11-01,06:00,90.94
2023-11-01,07:00,91.53
2023-11-01,08:00,89.25
2023-11-01,09:00,77.01
2023-11-01,10:00,73.78
2023-11-01,11:00,73.21
2023-11-01,12:00,67.83
2023-11-01,13:00,62.84
2023-11-01,14:00,59.22
2023-11-01,15:00,57.46
2023-11-01,16:00,65.46
2023-11-01,17:00,74.48
2023-11-01,18:00,80.81
2023-11-01,19:00,86.83
2023-11-01,20:00,88.92
2023-11-01,21:00,90.01
2023-11-01,22:00,89.86
2023-11-01,23:00,91.17
2023-11-02,00:00,92.74
2023-11-02,01:00,92.89
2023-11-02,02:00,92.18
2023-11-02,03:00,92.3
2023-11-02,04:00,93.03
2023-11-02,05:00,94.25
2023-11-02,06:00,94.55
2023-11-02,07:00,94.72
2023-11-02,08:00,94.16
2023-11-02,09:00,92.64
2023-11-02,10:00,91.73
2023-11-02,11:00,88.32
2023-11-02,12:00,82.7
2023-11-02,13:00,73.7
2023-11-02,14:00,73.95
2023-11-02,15:00,75.57
2023-11-02,16:00,73.68
2023-11-02,17:00,78.03
2023-11-02,18:00,86.33
2023-11-02,19:00,89.16
2023-11-02,20:00,91.53
2023-11-02,21:00,92.41
2023-11-02,22:00,93.41
2023-11-02,23:00,93.73
2023-11-03,00:00,93.84
2023-11-03,01:00,94.1
2023-11-03,02:00,94.15
2023-11-03,03:00,94.26
2023-11-03,04:00,94.83
2023-11-03,05:00,95.01
2023-11-03,06:00,95.16
2023-11-03,07:00,95.49
2023-11-03,08:00,86.85
2023-11-03,09:00,69.13
2023-11-03,10:00,66.02
2023-11-03,11:00,67.4
2023-11-03,12:00,62.66
2023-11-03,13:00,68.3
2023-11-03,14:00,59.74
2023-11-03,15:00,60.1
2023-11-03,16:00,56.54
2023-11-03,17:00,63.75
2023-11-03,18:00,81.81
2023-11-03,19:00,88.26
2023-11-03,20:00,89.98
2023-11-03,21:00,91.95
2023-11-03,22:00,92.83
2023-11-03,23:00,93.37
2023-11-04,00:00,93.78
2023-11-04,01:00,93.7
2023-11-04,02:00,93.87
2023-11-04,03:00,94.14
2023-11-04,04:00,94.16
2023-11-04,05:00,94.46
2023-11-04,06:00,94.79
2023-11-04,07:00,94.87
2023-11-04,08:00,86.18
2023-11-04,09:00,64.54
2023-11-04,10:00,63.62
2023-11-04,11:00,59.76
2023-11-04,12:00,58.09
2023-11-04,13:00,53.49
2023-11-04,14:00,50.3
2023-11-04,15:00,48.8
2023-11-04,16:00,57.69
2023-11-04,17:00,74.86
2023-11-04,18:00,84.86
2023-11-04,19:00,87.22
2023-11-04,20:00,88.91
2023-11-04,21:00,89.24
2023-11-04,22:00,90.7
2023-11-04,23:00,91.08
2023-11-05,00:00,92.01
2023-11-05,01:00,92.2
2023-11-05,02:00,93.44
2023-11-05,03:00,93.98
2023-11-05,04:00,94.39
2023-11-05,05:00,94.65
2023-11-05,06:00,94.86
2023-11-05,07:00,95.24
2023-11-05,08:00,87.35
2023-11-05,09:00,70.4
2023-11-05,10:00,70.06
2023-11-05,11:00,69.23
2023-11-05,12:00,64.77
2023-11-05,13:00,56.72
2023-11-05,14:00,57.4
2023-11-05,15:00,60.06
2023-11-05,16:00,63.86
2023-11-05,17:00,76.31
2023-11-05,18:00,83.97
2023-11-05,19:00,88.99
2023-11-05,20:00,91.38
2023-11-05,21:00,92.3
2023-11-05,22:00,92.7
2023-11-05,23:00,93.34
2023-11-06,00:00,93.92
2023-11-06,01:00,94.24
2023-11-06,02:00,94.51
2023-11-06,03:00,94.74
2023-11-06,04:00,94.98
2023-11-06,05:00,95.22
2023-11-06,06:00,95.33
2023-11-06,07:00,95.69
2023-11-06,08:00,86.04
2023-11-06,09:00,69.9
2023-11-06,10:00,68.36
2023-11-06,11:00,65.42
2023-11-06,12:00,63.5
2023-11-06,13:00,56.59
2023-11-06,14:00,53.68
2023-11-06,15:00,56.13
2023-11-06,16:00,59.58
2023-11-06,17:00,68.13
2023-11-06,18:00,80.46
2023-11-06,19:00,86.66
2023-11-06,20:00,88.86
2023-11-06,21:00,90.55
2023-11-06,22:00,90.13
2023-11-06,23:00,91.86
2023-11-07,00:00,92.92
2023-11-07,01:00,93.43
2023-11-07,02:00,93.97
2023-11-07,03:00,94.53
2023-11-07,04:00,94.55
2023-11-07,05:00,94.7
2023-11-07,06:00,94.76
2023-11-07,07:00,94.58
2023-11-07,08:00,84.57
2023-11-07,09:00,64.77
2023-11-07,10:00,63.38
2023-11-07,11:00,64.04
2023-11-07,12:00,59.56
2023-11-07,13:00,59.28
2023-11-07,14:00,70
2023-11-07,15:00,62.1
2023-11-07,16:00,68.27
2023-11-07,17:00,74.2
2023-11-07,18:00,81.08
2023-11-07,19:00,86.87
2023-11-07,20:00,89.02
2023-11-07,21:00,89.71
2023-11-07,22:00,91.87
2023-11-07,23:00,92.91
2023-11-08,00:00,93.39
2023-11-08,01:00,93.6
2023-11-08,02:00,94.17
2023-11-08,03:00,93.94
2023-11-08,04:00,94.39
2023-11-08,05:00,94.76
2023-11-08,06:00,94.48
2023-11-08,07:00,94.75
2023-11-08,08:00,84.6
2023-11-08,09:00,66.95
2023-11-08,10:00,66.22
2023-11-08,11:00,62.92
2023-11-08,12:00,57.47
2023-11-08,13:00,58.09
2023-11-08,14:00,56.68
2023-11-08,15:00,55.9
2023-11-08,16:00,58.05
2023-11-08,17:00,70.07
2023-11-08,18:00,78.93
2023-11-08,19:00,84.32
2023-11-08,20:00,87.72
2023-11-08,21:00,89.71
2023-11-08,22:00,90.64
2023-11-08,23:00,91.79
2023-11-09,00:00,92.89
2023-11-09,01:00,93.33
2023-11-09,02:00,92.11
2023-11-09,03:00,91.8
2023-11-09,04:00,91.17
2023-11-09,05:00,91.66
2023-11-09,06:00,92.41
2023-11-09,07:00,91.56
2023-11-09,08:00,83.47
2023-11-09,09:00,79.12
2023-11-09,10:00,74.51
2023-11-09,11:00,72.8
2023-11-09,12:00,67.91
2023-11-09,13:00,68.15
2023-11-09,14:00,77.77
2023-11-09,15:00,76.19
2023-11-09,16:00,75.92
2023-11-09,17:00,77.57
2023-11-09,18:00,84.95
2023-11-09,19:00,90.86
2023-11-09,20:00,91.99
2023-11-09,21:00,92.99
2023-11-09,22:00,93.66
2023-11-09,23:00,93.98
2023-11-10,00:00,94.07
2023-11-10,01:00,94.2
2023-11-10,02:00,94.53
2023-11-10,03:00,94.8
2023-11-10,04:00,94.99
2023-11-10,05:00,95.16
2023-11-10,06:00,95.34
2023-11-10,07:00,95.5
2023-11-10,08:00,90.45
2023-11-10,09:00,79.85
2023-11-10,10:00,73.84
2023-11-10,11:00,67.89
2023-11-10,12:00,63.37
2023-11-10,13:00,59.62
2023-11-10,14:00,55.9
2023-11-10,15:00,57.3
2023-11-10,16:00,62.05
2023-11-10,17:00,72.06
2023-11-10,18:00,81.59
2023-11-10,19:00,88.67
2023-11-10,20:00,91.76
2023-11-10,21:00,92.49
2023-11-10,22:00,93.34
2023-11-10,23:00,94.08
2023-11-11,00:00,94.38
2023-11-11,01:00,94.65
2023-11-11,02:00,94.93
2023-11-11,03:00,95.16
2023-11-11,04:00,95.41
2023-11-11,05:00,95.52
2023-11-11,06:00,95.38
2023-11-11,07:00,95.35
2023-11-11,08:00,90.54
2023-11-11,09:00,76.29
2023-11-11,10:00,74.27
2023-11-11,11:00,70.73
2023-11-11,12:00,65.95
2023-11-11,13:00,70.41
2023-11-11,14:00,67.68
2023-11-11,15:00,66.89
2023-11-11,16:00,76.78
2023-11-11,17:00,77.37
2023-11-11,18:00,83.72
2023-11-11,19:00,87.85
2023-11-11,20:00,90.2
2023-11-11,21:00,91.78
2023-11-11,22:00,92.72
2023-11-11,23:00,92.97
2023-11-12,00:00,93.19
2023-11-12,01:00,91.38
2023-11-12,02:00,90.69
2023-11-12,03:00,91.65
2023-11-12,04:00,92.74
2023-11-12,05:00,93.2
2023-11-12,06:00,94
2023-11-12,07:00,94.34
2023-11-12,08:00,92.02
2023-11-12,09:00,83.74
2023-11-12,10:00,77.77
2023-11-12,11:00,71.81
2023-11-12,12:00,68.19
2023-11-12,13:00,66
2023-11-12,14:00,66.91
2023-11-12,15:00,82.14
2023-11-12,16:00,89.47
2023-11-12,17:00,91.2
2023-11-12,18:00,90.51
2023-11-12,19:00,91.4
2023-11-12,20:00,91.21
2023-11-12,21:00,92.48
2023-11-12,22:00,93.6
2023-11-12,23:00,94.17
2023-11-13,00:00,94.15
2023-11-13,01:00,94.41
2023-11-13,02:00,94.47
2023-11-13,03:00,94.56
2023-11-13,04:00,94.42
2023-11-13,05:00,94.24
2023-11-13,06:00,94.34
2023-11-13,07:00,94.37
2023-11-13,08:00,93.25
2023-11-13,09:00,91.8
2023-11-13,10:00,85.37
2023-11-13,11:00,78.47
2023-11-13,12:00,74.06
2023-11-13,13:00,73.31
2023-11-13,14:00,75.38
2023-11-13,15:00,73.37
2023-11-13,16:00,76.21
2023-11-13,17:00,78.12
2023-11-13,18:00,86.5
2023-11-13,19:00,89.38
2023-11-13,20:00,90.97
2023-11-13,21:00,91.93
2023-11-13,22:00,92.86
2023-11-13,23:00,93.49
2023-11-14,00:00,94
2023-11-14,01:00,94.35
2023-11-14,02:00,94.62
2023-11-14,03:00,94.75
2023-11-14,04:00,93.85
2023-11-14,05:00,94.53
2023-11-14,06:00,94.86
2023-11-14,07:00,94.66
2023-11-14,08:00,89.83
2023-11-14,09:00,74.69
2023-11-14,10:00,72.45
2023-11-14,11:00,71.75
2023-11-14,12:00,68.09
2023-11-14,13:00,69.87
2023-11-14,14:00,68.29
2023-11-14,15:00,-
2023-11-14,16:00,-
2023-11-14,17:00,71.68
2023-11-14,18:00,80.32
2023-11-14,19:00,85.26
2023-11-14,20:00,-
2023-11-14,21:00,-
2023-11-14,22:00,-
2023-11-14,23:00,91.27
2023-11-15,00:00,88.88
2023-11-15,01:00,88.86
2023-11-15,02:00,89.16
2023-11-15,03:00,-
2023-11-15,04:00,-
2023-11-15,05:00,92.28
2023-11-15,06:00,93.2
2023-11-15,07:00,93.49
2023-11-15,08:00,-
2023-11-15,09:00,92.03
2023-11-15,10:00,90.11
2023-11-15,11:00,82.51
2023-11-15,12:00,-
2023-11-15,13:00,77.93
2023-11-15,14:00,76.61
2023-11-15,15:00,-
2023-11-15,16:00,66.62
2023-11-15,17:00,-
2023-11-15,18:00,-
2023-11-15,19:00,-
2023-11-15,20:00,-
2023-11-15,21:00,91.76
2023-11-15,22:00,92.57
2023-11-15,23:00,92.74
2023-11-16,00:00,92.73
2023-11-16,01:00,90.31
2023-11-16,02:00,-
2023-11-16,03:00,-
2023-11-16,04:00,88.9
2023-11-16,05:00,-
2023-11-16,06:00,-
2023-11-16,07:00,-
2023-11-16,08:00,86.25
2023-11-16,09:00,79.48
2023-11-16,10:00,74.24
2023-11-16,11:00,-
2023-11-16,12:00,70.53
2023-11-16,13:00,66.85
2023-11-16,14:00,-
2023-11-16,15:00,63.61
2023-11-16,16:00,-
2023-11-16,17:00,69.24
2023-11-16,18:00,-
2023-11-16,19:00,81.65
2023-11-16,20:00,87
2023-11-16,21:00,87.1
2023-11-16,22:00,-
2023-11-16,23:00,87.04
2023-11-17,00:00,-
2023-11-17,01:00,93.21
2023-11-17,02:00,-
2023-11-17,03:00,94.13
2023-11-17,04:00,94.18
2023-11-17,05:00,93.75
2023-11-17,06:00,93.26
2023-11-17,07:00,-
2023-11-17,08:00,81.44
2023-11-17,09:00,75.56
2023-11-17,10:00,73.02
2023-11-17,11:00,76.15
2023-11-17,12:00,-
2023-11-17,13:00,67.27
2023-11-17,14:00,62
2023-11-17,15:00,61.09
2023-11-17,16:00,58.31
2023-11-17,17:00,65.13
2023-11-17,18:00,74.15
2023-11-17,19:00,-
2023-11-17,20:00,-
2023-11-17,21:00,76.25
2023-11-17,22:00,75.83
2023-11-17,23:00,75.75
2023-11-18,00:00,76.07
2023-11-18,01:00,76.01
2023-11-18,02:00,77.6
2023-11-18,03:00,78.98
2023-11-18,04:00,-
2023-11-18,05:00,-
2023-11-18,06:00,75.48
2023-11-18,07:00,74.38
2023-11-18,08:00,72.4
2023-11-18,09:00,-
2023-11-18,10:00,-
2023-11-18,11:00,58.58
2023-11-18,12:00,57.99
2023-11-18,13:00,-
2023-11-18,14:00,50.28
2023-11-18,15:00,49.01
2023-11-18,16:00,-
2023-11-18,17:00,-
2023-11-18,18:00,-
2023-11-18,19:00,69.03
2023-11-18,20:00,70.82
2023-11-18,21:00,73.65
2023-11-18,22:00,72.22
2023-11-18,23:00,-
2023-11-19,00:00,-
2023-11-19,01:00,67.99
2023-11-19,02:00,68.19
2023-11-19,03:00,-
2023-11-19,04:00,71.49
2023-11-19,05:00,75.69
2023-11-19,06:00,75.22
2023-11-19,07:00,74.21
2023-11-19,08:00,71.49
2023-11-19,09:00,-
2023-11-19,10:00,60.21
2023-11-19,11:00,-
2023-11-19,12:00,55.85
2023-11-19,13:00,-
2023-11-19,14:00,-
2023-11-19,15:00,46.2
2023-11-19,16:00,45.17
2023-11-19,17:00,52.29
2023-11-19,18:00,63.53
2023-11-19,19:00,-
2023-11-19,20:00,72.96
2023-11-19,21:00,75.96
2023-11-19,22:00,-
2023-11-19,23:00,-
2023-11-20,00:00,-
2023-11-20,01:00,-
2023-11-20,02:00,80.16
2023-11-20,03:00,78.02
2023-11-20,04:00,77.35
2023-11-20,05:00,80.92
2023-11-20,06:00,79.58
2023-11-20,07:00,77.9
2023-11-20,08:00,71.77
2023-11-20,09:00,57.54
2023-11-20,10:00,59.4
2023-11-20,11:00,-
2023-11-20,12:00,51.25
2023-11-20,13:00,49.57
2023-11-20,14:00,44.73
2023-11-20,15:00,46.27
2023-11-20,16:00,-
2023-11-20,17:00,52.59
2023-11-20,18:00,62.02
2023-11-20,19:00,69.85
2023-11-20,20:00,-
2023-11-20,21:00,84.7
2023-11-20,22:00,86.15
2023-11-20,23:00,87.68
2023-11-21,00:00,-
2023-11-21,01:00,86.4
2023-11-21,02:00,89.59
2023-11-21,03:00,90.32
2023-11-21,04:00,89
2023-11-21,05:00,87.25
2023-11-21,06:00,-
2023-11-21,07:00,86.63
2023-11-21,08:00,77.43
2023-11-21,09:00,-
2023-11-21,10:00,55.37
2023-11-21,11:00,53.55
2023-11-21,12:00,54.62
2023-11-21,13:00,54.92
2023-11-21,14:00,53.28
2023-11-21,15:00,50.31
2023-11-21,16:00,-
2023-11-21,17:00,63.22
2023-11-21,18:00,-
2023-11-21,19:00,-
2023-11-21,20:00,-
2023-11-21,21:00,-
2023-11-21,22:00,-
2023-11-21,23:00,90.22
2023-11-22,00:00,-
2023-11-22,01:00,92.7
2023-11-22,02:00,-
2023-11-22,03:00,-
2023-11-22,04:00,88
2023-11-22,05:00,-
2023-11-22,06:00,-
2023-11-22,07:00,-
2023-11-22,08:00,-
2023-11-22,09:00,60.47
2023-11-22,10:00,60.95
2023-11-22,11:00,58.6
2023-11-22,12:00,59.02
2023-11-22,13:00,52.55
2023-11-22,14:00,-
2023-11-22,15:00,49.82
2023-11-22,16:00,-
2023-11-22,17:00,56.55
2023-11-22,18:00,70.66
2023-11-22,19:00,80.76
2023-11-22,20:00,84.5
2023-11-22,21:00,-
2023-11-22,22:00,89.73
2023-11-22,23:00,91.06
2023-11-23,00:00,91.87
2023-11-23,01:00,92.55
2023-11-23,02:00,93.19
2023-11-23,03:00,-
2023-11-23,04:00,-
2023-11-23,05:00,92
2023-11-23,06:00,92.43
2023-11-23,07:00,-
2023-11-23,08:00,80.42
2023-11-23,09:00,62.72
2023-11-23,10:00,58.27
2023-11-23,11:00,-
2023-11-23,12:00,-
2023-11-23,13:00,49.3
2023-11-23,14:00,46.84
2023-11-23,15:00,52.62
2023-11-23,16:00,-
2023-11-23,17:00,62.54
2023-11-23,18:00,71.94
2023-11-23,19:00,-
2023-11-23,20:00,80.46
2023-11-23,21:00,82.45
2023-11-23,22:00,85.88
2023-11-23,23:00,87.46
2023-11-24,00:00,88.77
2023-11-24,01:00,-
2023-11-24,02:00,85.34
2023-11-24,03:00,83.1
2023-11-24,04:00,80.37
2023-11-24,05:00,79.89
2023-11-24,06:00,82.55
2023-11-24,07:00,-
2023-11-24,08:00,73.52
2023-11-24,09:00,-
2023-11-24,10:00,-
2023-11-24,11:00,61.61
2023-11-24,12:00,60.25
2023-11-24,13:00,55.03
2023-11-24,14:00,51.26
2023-11-24,15:00,56.73
2023-11-24,16:00,60.49
2023-11-24,17:00,62.97
2023-11-24,18:00,73.53
2023-11-24,19:00,79.08
2023-11-24,20:00,83.47
2023-11-24,21:00,85.22
2023-11-24,22:00,88.03
2023-11-24,23:00,88.5
2023-11-25,00:00,86.81
2023-11-25,01:00,83.34
2023-11-25,02:00,85.56
2023-11-25,03:00,84.41
2023-11-25,04:00,83.08
2023-11-25,05:00,80.07
2023-11-25,06:00,80.3
2023-11-25,07:00,79.72
2023-11-25,08:00,75.67
2023-11-25,09:00,64.26
2023-11-25,10:00,62.69
2023-11-25,11:00,59.81
2023-11-25,12:00,54.13
2023-11-25,13:00,54.46
2023-11-25,14:00,53.2
2023-11-25,15:00,52.8
2023-11-25,16:00,54.11
2023-11-25,17:00,59.61
2023-11-25,18:00,68.93
2023-11-25,19:00,75.83
2023-11-25,20:00,79.45
2023-11-25,21:00,76.85
2023-11-25,22:00,74.18
2023-11-25,23:00,76.57
2023-11-26,00:00,77.19
2023-11-26,01:00,73.24
