date,time,press
2021-02-01,00:00,855.7
2021-02-01,01:00,973.2
2021-02-01,02:00,1004.2
2021-02-01,03:00,-999
2021-02-01,04:00,-999
2021-02-01,05:00,-999
2021-02-01,06:00,-999
2021-02-01,07:00,-999
2021-02-01,08:00,-999
2021-02-01,09:00,-999
2021-02-01,10:00,-999
2021-02-01,11:00,-999
2021-02-01,12:00,-999
2021-02-01,13:00,-999
2021-02-01,14:00,-999
2021-02-01,15:00,-999
2021-02-01,16:00,-999
2021-02-01,17:00,-999
2021-02-01,18:00,-999
2021-02-01,19:00,-999
2021-02-01,20:00,974.5
2021-02-01,21:00,1031.9
2021-02-01,22:00,976.6
2021-02-01,23:00,921.5
2021-02-02,00:00,911.8
2021-02-02,01:00,881.1
2021-02-02,02:00,988.9
2021-02-02,03:00,1020.8
2021-02-02,04:00,1066.4
2021-02-02,05:00,1084.1
2021-02-02,06:00,-999
2021-02-02,07:00,-999
2021-02-02,08:00,1092.6
2021-02-02,09:00,972.2
2021-02-02,10:00,-999
2021-02-02,11:00,-999
2021-02-02,12:00,-999
2021-02-02,13:00,-999
2021-02-02,14:00,-999
2021-02-02,15:00,-999
2021-02-02,16:00,-999
2021-02-02,17:00,-999
2021-02-02,18:00,-999
2021-02-02,19:00,-999
2021-02-02,20:00,903.2
2021-02-02,21:00,967.2
2021-02-02,22:00,1016.3
2021-02-02,23:00,916
2021-02-03,00:00,-999
2021-02-03,01:00,-999
2021-02-03,02:00,887
2021-02-03,03:00,981.9
2021-02-03,04:00,967.4
2021-02-03,05:00,1048.5
2021-02-03,06:00,1077.3
2021-02-03,07:00,1069.8
2021-02-03,08:00,1087.5
2021-02-03,09:00,1004
2021-02-03,10:00,1070.2
2021-02-03,11:00,-999
2021-02-03,12:00,-999
2021-02-03,13:00,-999
2021-02-03,14:00,-999
2021-02-03,15:00,-999
2021-02-03,16:00,-999
2021-02-03,17:00,-999
2021-02-03,18:00,-999
2021-02-03,19:00,-999
2021-02-03,20:00,860.1
2021-02-03,21:00,1002.7
2021-02-03,22:00,1031.4
2021-02-03,23:00,898.2
2021-02-04,00:00,913.8
2021-02-04,01:00,953.6
2021-02-04,02:00,935.3
2021-02-04,03:00,1031.3
2021-02-04,04:00,1062.5
2021-02-04,05:00,1081.1
2021-02-04,06:00,-999
2021-02-04,07:00,920.9
2021-02-04,08:00,1093.5
2021-02-04,09:00,-999
2021-02-04,10:00,912.6
2021-02-04,11:00,-999
2021-02-04,12:00,-999
2021-02-04,13:00,-999
2021-02-04,14:00,-999
2021-02-04,15:00,-999
2021-02-04,16:00,-999
2021-02-04,17:00,-999
2021-02-04,18:00,-999
2021-02-04,19:00,-999
2021-02-04,20:00,-999
2021-02-04,21:00,-999
2021-02-04,22:00,946.6
2021-02-04,23:00,1064.7
2021-02-05,00:00,872.6
2021-02-05,01:00,920
2021-02-05,02:00,1027.4
2021-02-05,03:00,1078.3
2021-02-05,04:00,1099.8
2021-02-05,05:00,1086.2
2021-02-05,06:00,-999
2021-02-05,07:00,-999
2021-02-05,08:00,-999
2021-02-05,09:00,-999
2021-02-05,10:00,1021.9
2021-02-05,11:00,-999
2021-02-05,12:00,-999
2021-02-05,13:00,-999
2021-02-05,14:00,-999
2021-02-05,15:00,-999
2021-02-05,16:00,-999
2021-02-05,17:00,-999
2021-02-05,18:00,-999
2021-02-05,19:00,-999
2021-02-05,20:00,-999
2021-02-05,21:00,1001.8
2021-02-05,22:00,900.9
2021-02-05,23:00,880.5
2021-02-06,00:00,898
2021-02-06,01:00,-999
2021-02-06,02:00,-999
2021-02-06,03:00,-999
2021-02-06,04:00,975.6
2021-02-06,05:00,1062.5
2021-02-06,06:00,1099.9
2021-02-06,07:00,1081.6
2021-02-06,08:00,-999
2021-02-06,09:00,-999
2021-02-06,10:00,1006.2
2021-02-06,11:00,-999
2021-02-06,12:00,-999
2021-02-06,13:00,-999
2021-02-06,14:00,-999
2021-02-06,15:00,-999
2021-02-06,16:00,-999
2021-02-06,17:00,-999
2021-02-06,18:00,-999
2021-02-06,19:00,-999
2021-02-06,20:00,926.3
2021-02-06,21:00,1048
2021-02-06,22:00,932.8
2021-02-06,23:00,889.5
2021-02-07,00:00,996.4
2021-02-07,01:00,1042.2
2021-02-07,02:00,1096.3
2021-02-07,03:00,-999
2021-02-07,04:00,-999
2021-02-07,05:00,-999
2021-02-07,06:00,-999
2021-02-07,07:00,-999
2021-02-07,08:00,-999
2021-02-07,09:00,-999
2021-02-07,10:00,1087.5
2021-02-07,11:00,-999
2021-02-07,12:00,-999
2021-02-07,13:00,-999
2021-02-07,14:00,-999
2021-02-07,15:00,-999
2021-02-07,16:00,-999
2021-02-07,17:00,-999
2021-02-07,18:00,-999
2021-02-07,19:00,-999
2021-02-07,20:00,874.5
2021-02-07,21:00,940.2
2021-02-07,22:00,1021.8
2021-02-07,23:00,918.8
2021-02-08,00:00,1056.6
2021-02-08,01:00,1029.8
2021-02-08,02:00,891.5
2021-02-08,03:00,950.8
2021-02-08,04:00,1030.1
2021-02-08,05:00,1045.4
2021-02-08,06:00,-999
2021-02-08,07:00,-999
2021-02-08,08:00,1030.6
2021-02-08,09:00,1039.1
2021-02-08,10:00,1025.2
2021-02-08,11:00,1065.9
2021-02-08,12:00,-999
2021-02-08,13:00,-999
2021-02-08,14:00,-999
2021-02-08,15:00,-999
2021-02-08,16:00,-999
2021-02-08,17:00,869.4
2021-02-08,18:00,-999
2021-02-08,19:00,-999
2021-02-08,20:00,-999
2021-02-08,21:00,-999
2021-02-08,22:00,941.2
2021-02-08,23:00,-999
2021-02-09,00:00,-999
2021-02-09,01:00,882.8
2021-02-09,02:00,922.9
2021-02-09,03:00,935.2
2021-02-09,04:00,-999
2021-02-09,05:00,1001.9
2021-02-09,06:00,1021.6
2021-02-09,07:00,-999
2021-02-09,08:00,-999
2021-02-09,09:00,992.6
2021-02-09,10:00,940.8
2021-02-09,11:00,-999
2021-02-09,12:00,-999
2021-02-09,13:00,-999
2021-02-09,14:00,1042.9
2021-02-09,15:00,1014.7
2021-02-09,16:00,961
2021-02-09,17:00,914.5
2021-02-09,18:00,1018.4
2021-02-09,19:00,1054
2021-02-09,20:00,873.5
2021-02-09,21:00,-999
2021-02-09,22:00,-999
2021-02-09,23:00,-999
2021-02-10,00:00,-999
2021-02-10,01:00,-999
2021-02-10,02:00,888
2021-02-10,03:00,887.3
2021-02-10,04:00,980.5
2021-02-10,05:00,1005.4
2021-02-10,06:00,1009.2
2021-02-10,07:00,1011.3
2021-02-10,08:00,1023
2021-02-10,09:00,1017.9
2021-02-10,10:00,-999
2021-02-10,11:00,-999
2021-02-10,12:00,1013.7
2021-02-10,13:00,-999
2021-02-10,14:00,-999
2021-02-10,15:00,-999
2021-02-10,16:00,-999
2021-02-10,17:00,-999
2021-02-10,18:00,-999
2021-02-10,19:00,-999
2021-02-10,20:00,883.5
2021-02-10,21:00,871
2021-02-10,22:00,-999
2021-02-10,23:00,-999
2021-02-11,00:00,866.1
2021-02-11,01:00,867.1
2021-02-11,02:00,961.2
2021-02-11,03:00,1036.8
2021-02-11,04:00,1039.4
2021-02-11,05:00,1061.9
2021-02-11,06:00,1068.7
2021-02-11,07:00,1062.7
2021-02-11,08:00,1052.7
2021-02-11,09:00,964
