date,time,press
2022-01-01,00:00,982.4
2022-01-01,01:00,982.7
2022-01-01,02:00,986.5
2022-01-01,03:00,983.8
2022-01-01,04:00,979.8
2022-01-01,05:00,981.8
2022-01-01,06:00,982.3
2022-01-01,07:00,983.1
2022-01-01,08:00,982.2
2022-01-01,09:00,987.2
2022-01-01,10:00,987.3
2022-01-01,11:00,988.7
2022-01-01,12:00,991.9
2022-01-01,13:00,994.2
2022-01-01,14:00,993.3
2022-01-01,15:00,994.1
2022-01-01,16:00,993.1
2022-01-01,17:00,992.9
2022-01-01,18:00,993.9
2022-01-01,19:00,992.6
2022-01-01,20:00,994.9
2022-01-01,21:00,995.7
2022-01-01,22:00,994.2
2022-01-01,23:00,989.7
2022-01-02,00:00,989.1
2022-01-02,01:00,989
2022-01-02,02:00,990.6
2022-01-02,03:00,983.3
2022-01-02,04:00,986.9
2022-01-02,05:00,983.7
2022-01-02,06:00,986
2022-01-02,07:00,972.1
2022-01-02,08:00,963.1
2022-01-02,09:00,986.6
2022-01-02,10:00,991.9
2022-01-02,11:00,988.7
2022-01-02,12:00,992.7
2022-01-02,13:00,994.2
2022-01-02,14:00,997.1
2022-01-02,15:00,997.5
2022-01-02,16:00,998
2022-01-02,17:00,998.1
2022-01-02,18:00,996.6
2022-01-02,19:00,998.3
2022-01-02,20:00,999.6
2022-01-02,21:00,1001.4
2022-01-02,22:00,999.5
2022-01-02,23:00,999.7
2022-01-03,00:00,998.4
2022-01-03,01:00,998.3
2022-01-03,02:00,993.3
2022-01-03,03:00,986.8
2022-01-03,04:00,988.2
2022-01-03,05:00,989.1
2022-01-03,06:00,986.5
2022-01-03,07:00,985.3
2022-01-03,08:00,977.9
2022-01-03,09:00,983.8
2022-01-03,10:00,990
2022-01-03,11:00,992.7
2022-01-03,12:00,989
2022-01-03,13:00,988.7
2022-01-03,14:00,987.2
2022-01-03,15:00,987.9
2022-01-03,16:00,993.8
2022-01-03,17:00,994.7
2022-01-03,18:00,995.2
2022-01-03,19:00,991.1
2022-01-03,20:00,974
2022-01-03,21:00,988
2022-01-03,22:00,986.4
2022-01-03,23:00,984.4
2022-01-04,00:00,981.3
2022-01-04,01:00,980.7
2022-01-04,02:00,980.9
2022-01-04,03:00,980.9
2022-01-04,04:00,985
2022-01-04,05:00,982.9
2022-01-04,06:00,984.5
2022-01-04,07:00,982.9
2022-01-04,08:00,979.3
2022-01-04,09:00,989.5
2022-01-04,10:00,988.5
2022-01-04,11:00,993.9
2022-01-04,12:00,993
2022-01-04,13:00,991.9
2022-01-04,14:00,971.7
2022-01-04,15:00,971.5
2022-01-04,16:00,980.3
2022-01-04,17:00,976.4
2022-01-04,18:00,981.5
2022-01-04,19:00,-999
2022-01-04,20:00,970.8
2022-01-04,21:00,981.1
2022-01-04,22:00,970.9
2022-01-04,23:00,953.9
2022-01-05,00:00,960.3
2022-01-05,01:00,979.8
2022-01-05,02:00,968.5
2022-01-05,03:00,969.2
2022-01-05,04:00,960.2
2022-01-05,05:00,971.2
2022-01-05,06:00,975.6
2022-01-05,07:00,979.2
2022-01-05,08:00,983.7
2022-01-05,09:00,989
2022-01-05,10:00,992.8
2022-01-05,11:00,992.5
2022-01-05,12:00,982
2022-01-05,13:00,979
2022-01-05,14:00,987.4
2022-01-05,15:00,989.8
2022-01-05,16:00,990.1
2022-01-05,17:00,990.8
2022-01-05,18:00,991.1
2022-01-05,19:00,989.1
2022-01-05,20:00,990.8
2022-01-05,21:00,985.7
2022-01-05,22:00,992.7
2022-01-05,23:00,971.5
2022-01-06,00:00,952.5
2022-01-06,01:00,975.2
2022-01-06,02:00,972.4
2022-01-06,03:00,989.4
2022-01-06,04:00,974.9
2022-01-06,05:00,980.1
2022-01-06,06:00,983.6
2022-01-06,07:00,984
2022-01-06,08:00,981.7
2022-01-06,09:00,988.5
2022-01-06,10:00,988.6
2022-01-06,11:00,984.6
2022-01-06,12:00,983.7
2022-01-06,13:00,962.8
2022-01-06,14:00,960.6
2022-01-06,15:00,971.2
2022-01-06,16:00,967.6
2022-01-06,17:00,970
2022-01-06,18:00,983.8
2022-01-06,19:00,982.7
2022-01-06,20:00,988.6
2022-01-06,21:00,988.1
2022-01-06,22:00,988.6
2022-01-06,23:00,988
2022-01-07,00:00,979.5
2022-01-07,01:00,967.8
2022-01-07,02:00,-999
2022-01-07,03:00,978.6
2022-01-07,04:00,979.3
2022-01-07,05:00,982.9
2022-01-07,06:00,983.8
2022-01-07,07:00,985.3
2022-01-07,08:00,989.8
2022-01-07,09:00,989.6
2022-01-07,10:00,999.5
2022-01-07,11:00,1001.6
2022-01-07,12:00,992.9
2022-01-07,13:00,996.9
2022-01-07,14:00,993.2
2022-01-07,15:00,993.9
2022-01-07,16:00,990.7
2022-01-07,17:00,991.2
2022-01-07,18:00,991.2
2022-01-07,19:00,993.9
2022-01-07,20:00,998.9
2022-01-07,21:00,992.2
2022-01-07,22:00,987.7
2022-01-07,23:00,991.6
2022-01-08,00:00,995.4
2022-01-08,01:00,952.9
2022-01-08,02:00,984.5
2022-01-08,03:00,979.4
2022-01-08,04:00,991.7
2022-01-08,05:00,983.4
2022-01-08,06:00,991.3
2022-01-08,07:00,992.1
2022-01-08,08:00,992
2022-01-08,09:00,982.2
2022-01-08,10:00,997
2022-01-08,11:00,999.4
2022-01-08,12:00,994.8
2022-01-08,13:00,990
2022-01-08,14:00,945.9
2022-01-08,15:00,976
2022-01-08,16:00,976.4
2022-01-08,17:00,986.5
2022-01-08,18:00,982.8
2022-01-08,19:00,986.3
2022-01-08,20:00,971.8
2022-01-08,21:00,969.3
2022-01-08,22:00,966.6
2022-01-08,23:00,980.3
2022-01-09,00:00,977.1
2022-01-09,01:00,985.9
2022-01-09,02:00,989.6
2022-01-09,03:00,962.3
2022-01-09,04:00,977.8
2022-01-09,05:00,975.2
2022-01-09,06:00,975.6
2022-01-09,07:00,961.6
2022-01-09,08:00,975.6
2022-01-09,09:00,972.6
2022-01-09,10:00,986.9
2022-01-09,11:00,986.8
2022-01-09,12:00,981.4
2022-01-09,13:00,977.7
2022-01-09,14:00,970.2
2022-01-09,15:00,966
2022-01-09,16:00,964.3
2022-01-09,17:00,962.1
2022-01-09,18:00,974.8
2022-01-09,19:00,977
2022-01-09,20:00,976.6
2022-01-09,21:00,948.2
2022-01-09,22:00,946.8
2022-01-09,23:00,968.4
2022-01-10,00:00,958.1
2022-01-10,01:00,977.7
2022-01-10,02:00,979.6
2022-01-10,03:00,974.6
2022-01-10,04:00,965.9
2022-01-10,05:00,972.3
2022-01-10,06:00,969
2022-01-10,07:00,956.5
2022-01-10,08:00,942.2
2022-01-10,09:00,949.6
2022-01-10,10:00,971.1
2022-01-10,11:00,986
2022-01-10,12:00,983.2
2022-01-10,13:00,995.3
2022-01-10,14:00,994.3
2022-01-10,15:00,980
2022-01-10,16:00,945.5
2022-01-10,17:00,966.7
2022-01-10,18:00,935.8
2022-01-10,19:00,956.4
2022-01-10,20:00,-999
2022-01-10,21:00,-999
2022-01-10,22:00,-999
2022-01-10,23:00,-999
2022-01-11,00:00,-999
2022-01-11,01:00,-999
2022-01-11,02:00,928.3
2022-01-11,03:00,961.4
2022-01-11,04:00,912.1
2022-01-11,05:00,971.9
2022-01-11,06:00,976.1
2022-01-11,07:00,973.6
2022-01-11,08:00,977.8
2022-01-11,09:00,970.9
2022-01-11,10:00,983.4
2022-01-11,11:00,985.1
2022-01-11,12:00,984.7
2022-01-11,13:00,984.4
2022-01-11,14:00,981.8
2022-01-11,15:00,971.1
2022-01-11,16:00,966.8
2022-01-11,17:00,859.7
2022-01-11,18:00,965.3
2022-01-11,19:00,964.8
2022-01-11,20:00,974.5
2022-01-11,21:00,957.4
2022-01-11,22:00,979.3
2022-01-11,23:00,976.6
2022-01-12,00:00,974.3
2022-01-12,01:00,980
2022-01-12,02:00,976.9
2022-01-12,03:00,981.1
2022-01-12,04:00,979.3
2022-01-12,05:00,982.1
2022-01-12,06:00,-999
2022-01-12,07:00,974.2
2022-01-12,08:00,878.4
2022-01-12,09:00,943.4
2022-01-12,10:00,962.9
2022-01-12,11:00,950.2
2022-01-12,12:00,948.5
2022-01-12,13:00,931.5
2022-01-12,14:00,941.4
2022-01-12,15:00,-999
2022-01-12,16:00,940.2
2022-01-12,17:00,-999
2022-01-12,18:00,-999
2022-01-12,19:00,926.5
2022-01-12,20:00,946.7
2022-01-12,21:00,955.3
2022-01-12,22:00,945.6
2022-01-12,23:00,927.6
2022-01-13,00:00,973.6
2022-01-13,01:00,971.4
2022-01-13,02:00,935.9
2022-01-13,03:00,895.8
2022-01-13,04:00,927.9
2022-01-13,05:00,962.1
2022-01-13,06:00,974.3
2022-01-13,07:00,975.2
2022-01-13,08:00,975.5
2022-01-13,09:00,978.4
2022-01-13,10:00,987.5
2022-01-13,11:00,985.2
2022-01-13,12:00,970.6
2022-01-13,13:00,959.2
2022-01-13,14:00,962.3
2022-01-13,15:00,961.3
2022-01-13,16:00,957.8
2022-01-13,17:00,940.4
2022-01-13,18:00,942.4
2022-01-13,19:00,927.9
2022-01-13,20:00,958.8
2022-01-13,21:00,956.5
2022-01-13,22:00,929.8
2022-01-13,23:00,950.1
2022-01-14,00:00,952.1
2022-01-14,01:00,968.4
2022-01-14,02:00,974
2022-01-14,03:00,977.4
2022-01-14,04:00,982.3
2022-01-14,05:00,984.9
2022-01-14,06:00,973.8
2022-01-14,07:00,979.5
2022-01-14,08:00,980.3
2022-01-14,09:00,986.4
2022-01-14,10:00,982.3
2022-01-14,11:00,982.6
2022-01-14,12:00,973.9
2022-01-14,13:00,952.6
2022-01-14,14:00,907.3
2022-01-14,15:00,877.8
2022-01-14,16:00,929.1
2022-01-14,17:00,867.3
2022-01-14,18:00,888.8
2022-01-14,19:00,924.1
2022-01-14,20:00,923.5
2022-01-14,21:00,961.3
2022-01-14,22:00,840.9
2022-01-14,23:00,981.7
2022-01-15,00:00,839.4
2022-01-15,01:00,959.7
2022-01-15,02:00,968.3
2022-01-15,03:00,967
2022-01-15,04:00,951.7
2022-01-15,05:00,947.6
2022-01-15,06:00,952.5
2022-01-15,07:00,920
2022-01-15,08:00,929.3
2022-01-15,09:00,924.5
2022-01-15,10:00,927.6
2022-01-15,11:00,933.4
2022-01-15,12:00,930.6
2022-01-15,13:00,935
2022-01-15,14:00,935
2022-01-15,15:00,935.5
2022-01-15,16:00,935.6
2022-01-15,17:00,931.8
2022-01-15,18:00,932.7
2022-01-15,19:00,922.3
2022-01-15,20:00,917
2022-01-15,21:00,914.6
2022-01-15,22:00,902.6
2022-01-15,23:00,911.6
2022-01-16,00:00,904.9
2022-01-16,01:00,902.4
2022-01-16,02:00,918.6
2022-01-16,03:00,914.6
2022-01-16,04:00,858.6
2022-01-16,05:00,914.2
2022-01-16,06:00,929.3
2022-01-16,07:00,912.4
2022-01-16,08:00,951.2
2022-01-16,09:00,920.2
2022-01-16,10:00,869
2022-01-16,11:00,876.3
2022-01-16,12:00,851.6
2022-01-16,13:00,849.4
2022-01-16,14:00,850
2022-01-16,15:00,835.6
2022-01-16,16:00,835.5
2022-01-16,17:00,844.2
2022-01-16,18:00,854.2
2022-01-16,19:00,895.4
2022-01-16,20:00,900.8
2022-01-16,21:00,903.4
2022-01-16,22:00,916.5
2022-01-16,23:00,910.8
2022-01-17,00:00,909.5
2022-01-17,01:00,948.7
2022-01-17,02:00,940.3
2022-01-17,03:00,941.4
2022-01-17,04:00,946.7
2022-01-17,05:00,969
2022-01-17,06:00,971.9
2022-01-17,07:00,974.6
2022-01-17,08:00,975
2022-01-17,09:00,976.8
2022-01-17,10:00,910.2
2022-01-17,11:00,870.1
2022-01-17,12:00,862.5
2022-01-17,13:00,837.4
2022-01-17,14:00,877.3
2022-01-17,15:00,890.9
2022-01-17,16:00,896.8
2022-01-17,17:00,876.4
2022-01-17,18:00,903
2022-01-17,19:00,903.5
2022-01-17,20:00,930.5
2022-01-17,21:00,-999
