date,time,press
2022-02-01,00:00,986.1
2022-02-01,01:00,985.5
2022-02-01,02:00,985
2022-02-01,03:00,984
2022-02-01,04:00,983.7
2022-02-01,05:00,982.8
2022-02-01,06:00,983.9
2022-02-01,07:00,985.4
2022-02-01,08:00,985.8
2022-02-01,09:00,987.4
2022-02-01,10:00,988.8
2022-02-01,11:00,988.6
2022-02-01,12:00,988.2
2022-02-01,13:00,987.8
2022-02-01,14:00,988.4
2022-02-01,15:00,985.6
2022-02-01,16:00,985.7
2022-02-01,17:00,984.2
2022-02-01,18:00,984.4
2022-02-01,19:00,984.9
2022-02-01,20:00,985.5
2022-02-01,21:00,985.8
2022-02-01,22:00,986.4
2022-02-01,23:00,985.2
2022-02-02,00:00,985.6
2022-02-02,01:00,-999
2022-02-02,02:00,-999
2022-02-02,03:00,-999
2022-02-02,04:00,-999
2022-02-02,05:00,-999
2022-02-02,06:00,-999
2022-02-02,07:00,-999
2022-02-02,08:00,-999
2022-02-02,09:00,988.1
2022-02-02,10:00,989
2022-02-02,11:00,989.5
2022-02-02,12:00,989
2022-02-02,13:00,988.1
2022-02-02,14:00,987.1
2022-02-02,15:00,986.5
2022-02-02,16:00,985.8
2022-02-02,17:00,985.4
2022-02-02,18:00,986.4
2022-02-02,19:00,986
2022-02-02,20:00,985.6
2022-02-02,21:00,986.1
2022-02-02,22:00,986.5
2022-02-02,23:00,986.6
2022-02-03,00:00,986.6
2022-02-03,01:00,985.9
2022-02-03,02:00,984.8
2022-02-03,03:00,985
2022-02-03,04:00,984.4
2022-02-03,05:00,984.7
2022-02-03,06:00,985.7
2022-02-03,07:00,987.1
2022-02-03,08:00,986
2022-02-03,09:00,988.5
2022-02-03,10:00,989.9
2022-02-03,11:00,989.9
2022-02-03,12:00,989.2
2022-02-03,13:00,988.2
2022-02-03,14:00,987.1
2022-02-03,15:00,986.1
2022-02-03,16:00,985.5
2022-02-03,17:00,985.5
2022-02-03,18:00,985.6
2022-02-03,19:00,986.2
2022-02-03,20:00,986.5
2022-02-03,21:00,986.8
2022-02-03,22:00,986.9
2022-02-03,23:00,986.5
2022-02-04,00:00,986.2
2022-02-04,01:00,986.2
2022-02-04,02:00,986
2022-02-04,03:00,985.4
2022-02-04,04:00,985.6
2022-02-04,05:00,986.1
2022-02-04,06:00,986.3
2022-02-04,07:00,986.9
2022-02-04,08:00,988.3
2022-02-04,09:00,990.3
2022-02-04,10:00,991.3
2022-02-04,11:00,991.8
2022-02-04,12:00,991.6
2022-02-04,13:00,990.6
2022-02-04,14:00,990.1
2022-02-04,15:00,989.6
2022-02-04,16:00,989.8
2022-02-04,17:00,990.3
2022-02-04,18:00,986.9
2022-02-04,19:00,987.7
2022-02-04,20:00,988
2022-02-04,21:00,986.6
2022-02-04,22:00,987.8
2022-02-04,23:00,987.4
2022-02-05,00:00,987
2022-02-05,01:00,987.3
2022-02-05,02:00,987.6
2022-02-05,03:00,987.9
2022-02-05,04:00,988.2
2022-02-05,05:00,988.8
2022-02-05,06:00,989
2022-02-05,07:00,989.4
2022-02-05,08:00,989.6
2022-02-05,09:00,991.1
2022-02-05,10:00,992.3
2022-02-05,11:00,992.3
2022-02-05,12:00,991.4
2022-02-05,13:00,990.3
2022-02-05,14:00,989.2
2022-02-05,15:00,988.8
2022-02-05,16:00,988.5
2022-02-05,17:00,988.5
2022-02-05,18:00,988.9
2022-02-05,19:00,989.3
2022-02-05,20:00,989.8
2022-02-05,21:00,990.7
2022-02-05,22:00,990.8
2022-02-05,23:00,990.9
2022-02-06,00:00,990.8
2022-02-06,01:00,990.3
2022-02-06,02:00,989.6
2022-02-06,03:00,988.7
2022-02-06,04:00,988.5
2022-02-06,05:00,989.3
2022-02-06,06:00,989.7
2022-02-06,07:00,989.8
2022-02-06,08:00,989.9
2022-02-06,09:00,991.3
2022-02-06,10:00,992.3
2022-02-06,11:00,992
2022-02-06,12:00,991.3
2022-02-06,13:00,990.8
2022-02-06,14:00,990.6
2022-02-06,15:00,988.6
2022-02-06,16:00,987.7
2022-02-06,17:00,987.4
2022-02-06,18:00,987.9
2022-02-06,19:00,988.4
2022-02-06,20:00,988.4
2022-02-06,21:00,988.3
2022-02-06,22:00,988.3
2022-02-06,23:00,988.2
2022-02-07,00:00,987.8
2022-02-07,01:00,987.1
2022-02-07,02:00,985.5
2022-02-07,03:00,984.9
2022-02-07,04:00,984.8
2022-02-07,05:00,984.5
2022-02-07,06:00,984.6
2022-02-07,07:00,985.6
2022-02-07,08:00,987.5
2022-02-07,09:00,989.4
2022-02-07,10:00,990.3
2022-02-07,11:00,990.6
2022-02-07,12:00,991.5
2022-02-07,13:00,990.3
2022-02-07,14:00,990.1
2022-02-07,15:00,985.9
2022-02-07,16:00,986.2
2022-02-07,17:00,985.3
2022-02-07,18:00,985.5
2022-02-07,19:00,985.8
2022-02-07,20:00,986.3
2022-02-07,21:00,986.8
2022-02-07,22:00,986.6
2022-02-07,23:00,986.2
2022-02-08,00:00,985.9
2022-02-08,01:00,985.2
2022-02-08,02:00,985
2022-02-08,03:00,-999
2022-02-08,04:00,983
2022-02-08,05:00,984.2
2022-02-08,06:00,983.9
2022-02-08,07:00,984.7
2022-02-08,08:00,985.6
2022-02-08,09:00,989.1
2022-02-08,10:00,990.5
2022-02-08,11:00,992.1
2022-02-08,12:00,994.3
2022-02-08,13:00,999.7
2022-02-08,14:00,1000.9
2022-02-08,15:00,997
2022-02-08,16:00,1005.2
2022-02-08,17:00,998.7
2022-02-08,18:00,979.3
2022-02-08,19:00,985
2022-02-08,20:00,985.4
2022-02-08,21:00,986
2022-02-08,22:00,986.3
2022-02-08,23:00,986.2
2022-02-09,00:00,986.3
2022-02-09,01:00,985.6
2022-02-09,02:00,984
2022-02-09,03:00,982.6
2022-02-09,04:00,982.3
2022-02-09,05:00,982.9
2022-02-09,06:00,983.6
2022-02-09,07:00,985
2022-02-09,08:00,986.5
2022-02-09,09:00,987.9
2022-02-09,10:00,988.1
2022-02-09,11:00,988.8
2022-02-09,12:00,993.1
2022-02-09,13:00,1004.6
2022-02-09,14:00,1000
2022-02-09,15:00,993.3
2022-02-09,16:00,988.9
2022-02-09,17:00,984.9
2022-02-09,18:00,982.8
2022-02-09,19:00,984.1
2022-02-09,20:00,984.6
2022-02-09,21:00,985.3
2022-02-09,22:00,985.7
2022-02-09,23:00,985
2022-02-10,00:00,982.5
2022-02-10,01:00,981.4
2022-02-10,02:00,980.8
2022-02-10,03:00,980.1
2022-02-10,04:00,980.4
2022-02-10,05:00,980.7
2022-02-10,06:00,981.3
2022-02-10,07:00,982
2022-02-10,08:00,982.2
2022-02-10,09:00,983.7
2022-02-10,10:00,984.5
2022-02-10,11:00,983.9
2022-02-10,12:00,983.6
2022-02-10,13:00,983.7
2022-02-10,14:00,984.7
2022-02-10,15:00,983.7
2022-02-10,16:00,984.9
2022-02-10,17:00,980.8
2022-02-10,18:00,978.8
2022-02-10,19:00,980.5
2022-02-10,20:00,980.8
2022-02-10,21:00,981.4
2022-02-10,22:00,981.7
2022-02-10,23:00,981.7
2022-02-11,00:00,981.6
2022-02-11,01:00,981.1
2022-02-11,02:00,980.3
2022-02-11,03:00,979.9
2022-02-11,04:00,979
2022-02-11,05:00,979.1
2022-02-11,06:00,979.7
2022-02-11,07:00,980
2022-02-11,08:00,980.6
2022-02-11,09:00,982.8
2022-02-11,10:00,983.1
2022-02-11,11:00,986.3
2022-02-11,12:00,991.2
2022-02-11,13:00,987.8
2022-02-11,14:00,984.8
2022-02-11,15:00,984.4
2022-02-11,16:00,981.1
2022-02-11,17:00,978.2
2022-02-11,18:00,979
2022-02-11,19:00,979.1
2022-02-11,20:00,978.5
2022-02-11,21:00,978.5
2022-02-11,22:00,978.8
2022-02-11,23:00,981.3
2022-02-12,00:00,981
2022-02-12,01:00,974.3
