date,time,press
2022-06-01,00:00,612.1
2022-06-01,01:00,655.9
2022-06-01,02:00,638.7
2022-06-01,03:00,614
2022-06-01,04:00,612.8
2022-06-01,05:00,638.7
2022-06-01,06:00,767.5
2022-06-01,07:00,612.1
2022-06-01,08:00,955.4
2022-06-01,09:00,955.7
2022-06-01,10:00,955.9
2022-06-01,11:00,3532.8
2022-06-01,12:00,3532.8
2022-06-01,13:00,3532.8
2022-06-01,14:00,3532.8
2022-06-01,15:00,3532.8
2022-06-01,16:00,3532.8
2022-06-01,17:00,3532.8
2022-06-01,18:00,3532.8
2022-06-01,19:00,3532.8
2022-06-01,20:00,785.2
2022-06-01,21:00,796.4
2022-06-01,22:00,464
2022-06-01,23:00,785.9
2022-06-02,00:00,376.1
2022-06-02,01:00,0
2022-06-02,02:00,1203.2
2022-06-02,03:00,1173.8
2022-06-02,04:00,0
2022-06-02,05:00,281.6
2022-06-02,06:00,612.2
2022-06-02,07:00,2534.4
2022-06-02,08:00,956.2
2022-06-02,09:00,956.4
2022-06-02,10:00,956
2022-06-02,11:00,271.1
2022-06-02,12:00,3532.8
2022-06-02,13:00,3532.8
2022-06-02,14:00,3532.8
2022-06-02,15:00,3532.8
2022-06-02,16:00,563.2
2022-06-02,17:00,1907.4
2022-06-02,18:00,5575.8
2022-06-02,19:00,819.2
2022-06-02,20:00,749.8
2022-06-02,21:00,0
2022-06-02,22:00,2124.8
2022-06-02,23:00,1331.2
2022-06-03,00:00,633.3
2022-06-03,01:00,6388.3
2022-06-03,02:00,612.1
2022-06-03,03:00,612.4
2022-06-03,04:00,638.7
2022-06-03,05:00,638.7
2022-06-03,06:00,638.7
2022-06-03,07:00,1211.9
2022-06-03,08:00,956.2
2022-06-03,09:00,956.3
2022-06-03,10:00,956.2
2022-06-03,11:00,956.2
2022-06-03,12:00,612.4
2022-06-03,13:00,3532.8
2022-06-03,14:00,3532.8
2022-06-03,15:00,3532.8
2022-06-03,16:00,3532.8
2022-06-03,17:00,612.8
2022-06-03,18:00,955.1
2022-06-03,19:00,611
2022-06-03,20:00,638.7
