date,time,press
2023-01-01,00:00,1004.9
2023-01-01,01:00,1001.4
2023-01-01,02:00,1011
2023-01-01,03:00,1012.9
2023-01-01,04:00,1016.6
2023-01-01,05:00,1008.5
2023-01-01,06:00,1006.6
2023-01-01,07:00,1014.7
2023-01-01,08:00,1017.5
2023-01-01,09:00,1002.7
2023-01-01,10:00,990.8
2023-01-01,11:00,982.6
2023-01-01,12:00,975.8
2023-01-01,13:00,968.3
2023-01-01,14:00,962.1
2023-01-01,15:00,958.6
2023-01-01,16:00,956.4
2023-01-01,17:00,955.7
2023-01-01,18:00,968.2
2023-01-01,19:00,985
2023-01-01,20:00,998
2023-01-01,21:00,996.1
2023-01-01,22:00,999.7
2023-01-01,23:00,1007.6
2023-01-02,00:00,1011.8
2023-01-02,01:00,1017.3
2023-01-02,02:00,1021.6
2023-01-02,03:00,1025.9
2023-01-02,04:00,1024.4
2023-01-02,05:00,1029.7
2023-01-02,06:00,1028
2023-01-02,07:00,1028.7
2023-01-02,08:00,1018.9
2023-01-02,09:00,1005.3
2023-01-02,10:00,992.6
2023-01-02,11:00,988.5
2023-01-02,12:00,984.3
2023-01-02,13:00,978.5
2023-01-02,14:00,975.2
2023-01-02,15:00,973.1
2023-01-02,16:00,971
2023-01-02,17:00,974.8
2023-01-02,18:00,979.3
2023-01-02,19:00,985.3
2023-01-02,20:00,993.1
2023-01-02,21:00,995.4
2023-01-02,22:00,997.5
2023-01-02,23:00,1001.8
2023-01-03,00:00,993.4
2023-01-03,01:00,997.5
2023-01-03,02:00,996.6
2023-01-03,03:00,995.1
2023-01-03,04:00,1004.9
2023-01-03,05:00,1008.4
2023-01-03,06:00,1008.6
2023-01-03,07:00,1011
2023-01-03,08:00,1003.7
2023-01-03,09:00,995.7
2023-01-03,10:00,987.8
2023-01-03,11:00,981.1
2023-01-03,12:00,978.5
2023-01-03,13:00,976.2
2023-01-03,14:00,974.3
2023-01-03,15:00,973.5
2023-01-03,16:00,974.2
2023-01-03,17:00,977.5
2023-01-03,18:00,988
2023-01-03,19:00,992.3
2023-01-03,20:00,999.4
2023-01-03,21:00,1004.7
2023-01-03,22:00,1008
2023-01-03,23:00,1004.7
2023-01-04,00:00,1005.3
2023-01-04,01:00,1009.9
2023-01-04,02:00,1013.2
2023-01-04,03:00,1017.1
2023-01-04,04:00,1020.8
2023-01-04,05:00,1025.7
2023-01-04,06:00,1031.2
2023-01-04,07:00,1036.4
2023-01-04,08:00,1011.2
2023-01-04,09:00,996.8
2023-01-04,10:00,989.5
2023-01-04,11:00,980.5
2023-01-04,12:00,978.9
2023-01-04,13:00,975
2023-01-04,14:00,972
2023-01-04,15:00,968
2023-01-04,16:00,968.6
2023-01-04,17:00,969.3
2023-01-04,18:00,980.9
2023-01-04,19:00,997.3
2023-01-04,20:00,1006.8
2023-01-04,21:00,1011.5
2023-01-04,22:00,1020.5
2023-01-04,23:00,1022.2
2023-01-05,00:00,1026.6
2023-01-05,01:00,1031.7
2023-01-05,02:00,1034.6
2023-01-05,03:00,1039.7
2023-01-05,04:00,1038.6
2023-01-05,05:00,1021.4
2023-01-05,06:00,1013.7
2023-01-05,07:00,1015.5
2023-01-05,08:00,1014.1
2023-01-05,09:00,1005.2
2023-01-05,10:00,994.8
2023-01-05,11:00,988.9
2023-01-05,12:00,981.4
2023-01-05,13:00,977.2
2023-01-05,14:00,974.2
2023-01-05,15:00,970.7
2023-01-05,16:00,972
2023-01-05,17:00,971.2
2023-01-05,18:00,980.1
2023-01-05,19:00,994.3
2023-01-05,20:00,1002.8
2023-01-05,21:00,998.5
2023-01-05,22:00,1007.1
2023-01-05,23:00,1015.1
2023-01-06,00:00,1019.8
2023-01-06,01:00,1023.8
2023-01-06,02:00,1015.2
2023-01-06,03:00,1004.8
2023-01-06,04:00,1001.2
2023-01-06,05:00,1001.1
2023-01-06,06:00,1008.4
2023-01-06,07:00,1006.7
2023-01-06,08:00,1008.3
2023-01-06,09:00,999.8
2023-01-06,10:00,990.8
2023-01-06,11:00,983.7
2023-01-06,12:00,977.3
2023-01-06,13:00,976
2023-01-06,14:00,972.9
2023-01-06,15:00,967.2
2023-01-06,16:00,967.8
2023-01-06,17:00,970.1
2023-01-06,18:00,972.5
2023-01-06,19:00,978.4
2023-01-06,20:00,983.4
2023-01-06,21:00,988
2023-01-06,22:00,996
2023-01-06,23:00,988.8
2023-01-07,00:00,986.3
2023-01-07,01:00,986
2023-01-07,02:00,987.7
2023-01-07,03:00,987.3
2023-01-07,04:00,985.9
2023-01-07,05:00,985.2
2023-01-07,06:00,988.6
2023-01-07,07:00,998.2
2023-01-07,08:00,1004.3
2023-01-07,09:00,997.6
2023-01-07,10:00,983
2023-01-07,11:00,979.1
2023-01-07,12:00,969.6
2023-01-07,13:00,968.8
2023-01-07,14:00,964.1
2023-01-07,15:00,963.2
2023-01-07,16:00,960.5
2023-01-07,17:00,959.2
2023-01-07,18:00,962
2023-01-07,19:00,983.9
2023-01-07,20:00,990
2023-01-07,21:00,994.5
2023-01-07,22:00,1001.8
2023-01-07,23:00,1001.9
2023-01-08,00:00,1004.2
2023-01-08,01:00,1008.9
2023-01-08,02:00,1010.8
2023-01-08,03:00,1013.9
2023-01-08,04:00,1018.3
2023-01-08,05:00,1019.6
2023-01-08,06:00,1019.4
2023-01-08,07:00,1013.5
2023-01-08,08:00,1007.8
2023-01-08,09:00,998.1
2023-01-08,10:00,986.8
2023-01-08,11:00,985.2
2023-01-08,12:00,979.7
2023-01-08,13:00,976.6
2023-01-08,14:00,974.5
2023-01-08,15:00,973.1
2023-01-08,16:00,975.3
2023-01-08,17:00,980.1
2023-01-08,18:00,990.3
2023-01-08,19:00,994.1
2023-01-08,20:00,998.3
2023-01-08,21:00,1001.4
2023-01-08,22:00,997.4
2023-01-08,23:00,997.8
2023-01-09,00:00,998
2023-01-09,01:00,1002.2
2023-01-09,02:00,1008
2023-01-09,03:00,1013.4
2023-01-09,04:00,1015.6
2023-01-09,05:00,1015.4
2023-01-09,06:00,1015.4
2023-01-09,07:00,1016.8
2023-01-09,08:00,1018.7
2023-01-09,09:00,1015.4
2023-01-09,10:00,1005.8
2023-01-09,11:00,994.4
2023-01-09,12:00,985.2
2023-01-09,13:00,979.5
2023-01-09,14:00,976.5
2023-01-09,15:00,976
2023-01-09,16:00,987.1
2023-01-09,17:00,987.3
2023-01-09,18:00,988.8
2023-01-09,19:00,996.5
2023-01-09,20:00,998.8
2023-01-09,21:00,1001.4
2023-01-09,22:00,1005.3
2023-01-09,23:00,1008.3
2023-01-10,00:00,1012.5
2023-01-10,01:00,1013.7
2023-01-10,02:00,1009.4
2023-01-10,03:00,1011
2023-01-10,04:00,1013.5
2023-01-10,05:00,1011.3
2023-01-10,06:00,1009.9
2023-01-10,07:00,1007.4
2023-01-10,08:00,1012.8
2023-01-10,09:00,1013.9
2023-01-10,10:00,1012.2
2023-01-10,11:00,1004.8
2023-01-10,12:00,1000.6
2023-01-10,13:00,994.2
