date,time,press
2023-01-01,00:00,942.7
2023-01-01,01:00,942.3
2023-01-01,02:00,941.5
2023-01-01,03:00,941
2023-01-01,04:00,940.9
2023-01-01,05:00,941.3
2023-01-01,06:00,941.8
2023-01-01,07:00,942.4
2023-01-01,08:00,943.2
2023-01-01,09:00,943.8
2023-01-01,10:00,944
2023-01-01,11:00,943.5
2023-01-01,12:00,942.5
2023-01-01,13:00,941.5
2023-01-01,14:00,940.3
2023-01-01,15:00,939.4
2023-01-01,16:00,939.1
2023-01-01,17:00,939.3
2023-01-01,18:00,940
2023-01-01,19:00,940.6
2023-01-01,20:00,941.2
2023-01-01,21:00,941.7
2023-01-01,22:00,941.8
2023-01-01,23:00,941.7
2023-01-02,00:00,941.4
2023-01-02,01:00,940.7
2023-01-02,02:00,940.2
2023-01-02,03:00,940
2023-01-02,04:00,940
2023-01-02,05:00,940.4
2023-01-02,06:00,940.9
2023-01-02,07:00,941.9
2023-01-02,08:00,943
2023-01-02,09:00,943.5
2023-01-02,10:00,943.5
2023-01-02,11:00,943.3
2023-01-02,12:00,942.4
2023-01-02,13:00,941.2
2023-01-02,14:00,940.2
2023-01-02,15:00,939.7
2023-01-02,16:00,939.6
2023-01-02,17:00,940
2023-01-02,18:00,940.4
2023-01-02,19:00,941.1
2023-01-02,20:00,941.8
2023-01-02,21:00,942.2
2023-01-02,22:00,942.3
2023-01-02,23:00,942.3
2023-01-03,00:00,942.1
2023-01-03,01:00,941.8
2023-01-03,02:00,941.5
2023-01-03,03:00,941.2
2023-01-03,04:00,941.1
2023-01-03,05:00,941.2
2023-01-03,06:00,941.7
2023-01-03,07:00,942.1
2023-01-03,08:00,942.8
2023-01-03,09:00,943.1
2023-01-03,10:00,943.2
2023-01-03,11:00,942.7
2023-01-03,12:00,941.9
2023-01-03,13:00,940.7
2023-01-03,14:00,939.6
2023-01-03,15:00,939
2023-01-03,16:00,938.6
2023-01-03,17:00,939
2023-01-03,18:00,939.6
2023-01-03,19:00,940.5
2023-01-03,20:00,941.2
2023-01-03,21:00,941.7
2023-01-03,22:00,942
2023-01-03,23:00,941.8
2023-01-04,00:00,941.4
2023-01-04,01:00,941
2023-01-04,02:00,940.5
2023-01-04,03:00,940
2023-01-04,04:00,939.9
2023-01-04,05:00,939.8
2023-01-04,06:00,940.2
2023-01-04,07:00,940.6
2023-01-04,08:00,941.7
2023-01-04,09:00,942.4
2023-01-04,10:00,942.3
2023-01-04,11:00,941.8
2023-01-04,12:00,940.8
2023-01-04,13:00,939.4
2023-01-04,14:00,938.2
2023-01-04,15:00,937.7
2023-01-04,16:00,937.5
2023-01-04,17:00,937.9
2023-01-04,18:00,938.3
2023-01-04,19:00,938.9
2023-01-04,20:00,939.9
2023-01-04,21:00,940.5
2023-01-04,22:00,940.9
2023-01-04,23:00,940.9
2023-01-05,00:00,940.7
2023-01-05,01:00,940.3
2023-01-05,02:00,939.9
2023-01-05,03:00,939.5
2023-01-05,04:00,939.5
2023-01-05,05:00,939.7
2023-01-05,06:00,940
2023-01-05,07:00,940.5
2023-01-05,08:00,941.3
2023-01-05,09:00,941.9
2023-01-05,10:00,941.7
2023-01-05,11:00,941.6
2023-01-05,12:00,940.7
2023-01-05,13:00,939.6
