date,time,press
2023-02-01,00:00,978.1
2023-02-01,01:00,980.4
2023-02-01,02:00,980.4
2023-02-01,03:00,981.2
2023-02-01,04:00,982.1
2023-02-01,05:00,985.2
2023-02-01,06:00,981.8
2023-02-01,07:00,986.2
2023-02-01,08:00,987.2
2023-02-01,09:00,987.6
2023-02-01,10:00,986.5
2023-02-01,11:00,982.4
2023-02-01,12:00,985.1
2023-02-01,13:00,985.9
2023-02-01,14:00,985.9
2023-02-01,15:00,976.8
2023-02-01,16:00,980.9
2023-02-01,17:00,979.3
2023-02-01,18:00,981.2
2023-02-01,19:00,982.6
2023-02-01,20:00,983.1
2023-02-01,21:00,982.9
2023-02-01,22:00,981.9
2023-02-01,23:00,979.9
2023-02-02,00:00,980.6
2023-02-02,01:00,975.2
2023-02-02,02:00,976.5
2023-02-02,03:00,971.4
2023-02-02,04:00,976.3
2023-02-02,05:00,974.2
2023-02-02,06:00,974.7
2023-02-02,07:00,977.2
2023-02-02,08:00,981.5
2023-02-02,09:00,984.1
2023-02-02,10:00,984
2023-02-02,11:00,979.4
2023-02-02,12:00,983.2
2023-02-02,13:00,981.4
2023-02-02,14:00,982.4
2023-02-02,15:00,982.2
2023-02-02,16:00,981.3
2023-02-02,17:00,977.7
2023-02-02,18:00,981.4
2023-02-02,19:00,976
2023-02-02,20:00,977.8
2023-02-02,21:00,979.7
2023-02-02,22:00,982.1
2023-02-02,23:00,981.3
2023-02-03,00:00,982.3
2023-02-03,01:00,984.4
2023-02-03,02:00,985.2
2023-02-03,03:00,981.8
2023-02-03,04:00,980.4
2023-02-03,05:00,980.1
2023-02-03,06:00,981.7
2023-02-03,07:00,979.7
2023-02-03,08:00,979
2023-02-03,09:00,976
2023-02-03,10:00,982.2
2023-02-03,11:00,982.5
2023-02-03,12:00,982.7
2023-02-03,13:00,983.5
2023-02-03,14:00,975
2023-02-03,15:00,968.3
2023-02-03,16:00,975.1
2023-02-03,17:00,975.6
2023-02-03,18:00,977.3
2023-02-03,19:00,978.4
2023-02-03,20:00,979.5
2023-02-03,21:00,979.8
2023-02-03,22:00,981.2
2023-02-03,23:00,981.5
2023-02-04,00:00,981.3
2023-02-04,01:00,982.3
2023-02-04,02:00,978
2023-02-04,03:00,977.1
2023-02-04,04:00,973.6
2023-02-04,05:00,977.6
2023-02-04,06:00,977.3
2023-02-04,07:00,976.8
2023-02-04,08:00,979.5
2023-02-04,09:00,980.3
2023-02-04,10:00,979.9
2023-02-04,11:00,976.4
2023-02-04,12:00,975.1
2023-02-04,13:00,974.5
2023-02-04,14:00,979.2
2023-02-04,15:00,970.5
2023-02-04,16:00,978.2
2023-02-04,17:00,974.9
2023-02-04,18:00,972
2023-02-04,19:00,975.4
2023-02-04,20:00,975.8
2023-02-04,21:00,979.6
2023-02-04,22:00,975
2023-02-04,23:00,975.1
2023-02-05,00:00,979.9
2023-02-05,01:00,978.1
2023-02-05,02:00,978.2
2023-02-05,03:00,976.8
2023-02-05,04:00,975.8
2023-02-05,05:00,976.3
2023-02-05,06:00,983
2023-02-05,07:00,978.5
2023-02-05,08:00,985.7
2023-02-05,09:00,984.3
2023-02-05,10:00,984
2023-02-05,11:00,984.3
2023-02-05,12:00,972.6
2023-02-05,13:00,975.2
2023-02-05,14:00,978
2023-02-05,15:00,972.4
2023-02-05,16:00,977.4
2023-02-05,17:00,975.9
2023-02-05,18:00,977.6
2023-02-05,19:00,978.2
2023-02-05,20:00,978.1
2023-02-05,21:00,981.3
2023-02-05,22:00,982.2
2023-02-05,23:00,976.2
2023-02-06,00:00,977.1
2023-02-06,01:00,981.6
2023-02-06,02:00,982.3
2023-02-06,03:00,982.6
2023-02-06,04:00,976.7
2023-02-06,05:00,979.7
2023-02-06,06:00,978.2
2023-02-06,07:00,979.2
2023-02-06,08:00,978.1
2023-02-06,09:00,984
2023-02-06,10:00,980
2023-02-06,11:00,982.7
2023-02-06,12:00,980.2
2023-02-06,13:00,977.1
2023-02-06,14:00,977
2023-02-06,15:00,978.1
2023-02-06,16:00,969.6
2023-02-06,17:00,973.5
2023-02-06,18:00,974.9
2023-02-06,19:00,975.4
2023-02-06,20:00,979.3
2023-02-06,21:00,980.7
2023-02-06,22:00,978.2
2023-02-06,23:00,977.4
2023-02-07,00:00,978.6
2023-02-07,01:00,961.1
2023-02-07,02:00,984.8
2023-02-07,03:00,991.5
2023-02-07,04:00,987.1
2023-02-07,05:00,986.1
2023-02-07,06:00,990.8
2023-02-07,07:00,987.4
2023-02-07,08:00,989.2
2023-02-07,09:00,989.3
2023-02-07,10:00,996.3
2023-02-07,11:00,992.2
2023-02-07,12:00,986.9
2023-02-07,13:00,990.5
2023-02-07,14:00,986.1
2023-02-07,15:00,973.7
2023-02-07,16:00,976.2
2023-02-07,17:00,977.4
2023-02-07,18:00,987.1
2023-02-07,19:00,995.5
2023-02-07,20:00,995.2
2023-02-07,21:00,994.7
2023-02-07,22:00,997.7
2023-02-07,23:00,988.1
2023-02-08,00:00,989.3
2023-02-08,01:00,985.2
2023-02-08,02:00,984.1
2023-02-08,03:00,985.3
2023-02-08,04:00,987.6
2023-02-08,05:00,986.4
2023-02-08,06:00,991
2023-02-08,07:00,992.6
2023-02-08,08:00,994.4
2023-02-08,09:00,987.4
2023-02-08,10:00,993.9
2023-02-08,11:00,991.2
2023-02-08,12:00,967.1
2023-02-08,13:00,962.7
2023-02-08,14:00,969.1
2023-02-08,15:00,968.9
2023-02-08,16:00,971.4
2023-02-08,17:00,969.5
2023-02-08,18:00,978.7
2023-02-08,19:00,984.9
2023-02-08,20:00,987.1
2023-02-08,21:00,984.8
2023-02-08,22:00,988.2
2023-02-08,23:00,985.8
2023-02-09,00:00,989.4
2023-02-09,01:00,993.8
2023-02-09,02:00,974.3
2023-02-09,03:00,977.1
2023-02-09,04:00,968.3
2023-02-09,05:00,977.1
2023-02-09,06:00,977.3
2023-02-09,07:00,979.5
2023-02-09,08:00,975.5
2023-02-09,09:00,970
2023-02-09,10:00,974.2
2023-02-09,11:00,961.5
2023-02-09,12:00,967.3
2023-02-09,13:00,971.3
2023-02-09,14:00,962.1
2023-02-09,15:00,966
2023-02-09,16:00,968.9
2023-02-09,17:00,966.2
2023-02-09,18:00,972
2023-02-09,19:00,969.3
2023-02-09,20:00,969.1
2023-02-09,21:00,971.1
2023-02-09,22:00,950.6
2023-02-09,23:00,946.2
2023-02-10,00:00,962.9
2023-02-10,01:00,958.6
2023-02-10,02:00,965.9
2023-02-10,03:00,956.9
2023-02-10,04:00,968.3
2023-02-10,05:00,969.4
2023-02-10,06:00,960.1
2023-02-10,07:00,977
2023-02-10,08:00,960.3
2023-02-10,09:00,960.2
2023-02-10,10:00,962.8
2023-02-10,11:00,966.1
2023-02-10,12:00,956.7
2023-02-10,13:00,951.4
2023-02-10,14:00,954.6
2023-02-10,15:00,943.5
2023-02-10,16:00,957.2
2023-02-10,17:00,956.1
2023-02-10,18:00,962.2
2023-02-10,19:00,964
2023-02-10,20:00,962.5
2023-02-10,21:00,978.3
2023-02-10,22:00,966.9
2023-02-10,23:00,973.6
2023-02-11,00:00,966.1
2023-02-11,01:00,966.7
2023-02-11,02:00,961.1
2023-02-11,03:00,956.2
2023-02-11,04:00,966.6
2023-02-11,05:00,968.6
2023-02-11,06:00,952
2023-02-11,07:00,972.8
2023-02-11,08:00,970.1
2023-02-11,09:00,962.9
2023-02-11,10:00,971.8
2023-02-11,11:00,967
2023-02-11,12:00,961.3
2023-02-11,13:00,961.3
2023-02-11,14:00,963.3
2023-02-11,15:00,960.5
2023-02-11,16:00,955.3
2023-02-11,17:00,941
2023-02-11,18:00,953
2023-02-11,19:00,957.8
2023-02-11,20:00,959.2
2023-02-11,21:00,958.8
2023-02-11,22:00,965.1
2023-02-11,23:00,968.5
2023-02-12,00:00,962.9
2023-02-12,01:00,972.1
2023-02-12,02:00,967
2023-02-12,03:00,964.8
2023-02-12,04:00,970
