date,time,press
2023-05-01,00:00,852.2
2023-05-01,01:00,852.6
2023-05-01,02:00,853.8
2023-05-01,03:00,850.4
2023-05-01,04:00,845
2023-05-01,05:00,842.5
2023-05-01,06:00,834.9
2023-05-01,07:00,827.6
2023-05-01,08:00,833.2
2023-05-01,09:00,813.3
2023-05-01,10:00,-
2023-05-01,11:00,800.6
2023-05-01,12:00,-
2023-05-01,13:00,-
2023-05-01,14:00,-
2023-05-01,15:00,-
2023-05-01,16:00,-
2023-05-01,17:00,-
2023-05-01,18:00,826.5
2023-05-01,19:00,834.8
2023-05-01,20:00,834.2
2023-05-01,21:00,833.7
2023-05-01,22:00,834.4
2023-05-01,23:00,837.5
2023-05-02,00:00,838.7
2023-05-02,01:00,841.6
2023-05-02,02:00,841.3
2023-05-02,03:00,837
2023-05-02,04:00,839.2
2023-05-02,05:00,843.7
2023-05-02,06:00,844.4
2023-05-02,07:00,841.3
2023-05-02,08:00,825.3
2023-05-02,09:00,805
2023-05-02,10:00,804.2
2023-05-02,11:00,-
2023-05-02,12:00,-
2023-05-02,13:00,-
2023-05-02,14:00,-
2023-05-02,15:00,-
2023-05-02,16:00,806.1
2023-05-02,17:00,810.1
2023-05-02,18:00,836.4
2023-05-02,19:00,849.9
2023-05-02,20:00,844.5
2023-05-02,21:00,837.9
2023-05-02,22:00,839
2023-05-02,23:00,838.7
2023-05-03,00:00,838.2
2023-05-03,01:00,838.3
2023-05-03,02:00,839.9
2023-05-03,03:00,839.4
2023-05-03,04:00,840
2023-05-03,05:00,840.1
2023-05-03,06:00,844.1
2023-05-03,07:00,839.2
2023-05-03,08:00,821.9
2023-05-03,09:00,804.3
2023-05-03,10:00,802.5
2023-05-03,11:00,800
2023-05-03,12:00,-
2023-05-03,13:00,-
2023-05-03,14:00,-
2023-05-03,15:00,-
2023-05-03,16:00,803
2023-05-03,17:00,805
2023-05-03,18:00,810.8
2023-05-03,19:00,819.3
2023-05-03,20:00,823
2023-05-03,21:00,825.4
2023-05-03,22:00,825.5
2023-05-03,23:00,828
2023-05-04,00:00,832.2
2023-05-04,01:00,834.8
2023-05-04,02:00,836.1
2023-05-04,03:00,838.2
2023-05-04,04:00,837.1
2023-05-04,05:00,840.2
2023-05-04,06:00,838.2
2023-05-04,07:00,832.5
2023-05-04,08:00,816.6
2023-05-04,09:00,806.7
2023-05-04,10:00,804.7
2023-05-04,11:00,802
2023-05-04,12:00,-
2023-05-04,13:00,-
2023-05-04,14:00,-
2023-05-04,15:00,-
2023-05-04,16:00,-
2023-05-04,17:00,-
2023-05-04,18:00,804.3
2023-05-04,19:00,814.1
2023-05-04,20:00,820.3
2023-05-04,21:00,823
2023-05-04,22:00,823.6
2023-05-04,23:00,825.5
2023-05-05,00:00,829.7
2023-05-05,01:00,832.4
2023-05-05,02:00,834.2
2023-05-05,03:00,834.1
2023-05-05,04:00,835.4
2023-05-05,05:00,835
2023-05-05,06:00,836
2023-05-05,07:00,830.2
2023-05-05,08:00,813
2023-05-05,09:00,806.5
2023-05-05,10:00,-
2023-05-05,11:00,-
2023-05-05,12:00,-
2023-05-05,13:00,-
2023-05-05,14:00,-
2023-05-05,15:00,-
2023-05-05,16:00,-
2023-05-05,17:00,-
2023-05-05,18:00,-
2023-05-05,19:00,807.7
2023-05-05,20:00,812.7
2023-05-05,21:00,815.3
2023-05-05,22:00,818.1
2023-05-05,23:00,820.7
2023-05-06,00:00,824.5
2023-05-06,01:00,825
2023-05-06,02:00,826
2023-05-06,03:00,827
2023-05-06,04:00,827
2023-05-06,05:00,827.8
2023-05-06,06:00,830.9
2023-05-06,07:00,825.2
2023-05-06,08:00,812.8
2023-05-06,09:00,804.6
2023-05-06,10:00,-
2023-05-06,11:00,-
2023-05-06,12:00,-
2023-05-06,13:00,-
2023-05-06,14:00,-
2023-05-06,15:00,-
2023-05-06,16:00,-
2023-05-06,17:00,-
2023-05-06,18:00,-
2023-05-06,19:00,804.2
2023-05-06,20:00,808.5
2023-05-06,21:00,810.5
2023-05-06,22:00,815.4
2023-05-06,23:00,816.6
2023-05-07,00:00,820.2
2023-05-07,01:00,820.1
2023-05-07,02:00,821
2023-05-07,03:00,822.4
2023-05-07,04:00,823.4
2023-05-07,05:00,822.9
2023-05-07,06:00,826.8
2023-05-07,07:00,820.9
2023-05-07,08:00,806.2
2023-05-07,09:00,801.4
2023-05-07,10:00,-
2023-05-07,11:00,-
2023-05-07,12:00,-
2023-05-07,13:00,-
2023-05-07,14:00,-
2023-05-07,15:00,-
2023-05-07,16:00,-
2023-05-07,17:00,-
2023-05-07,18:00,-
2023-05-07,19:00,801.6
2023-05-07,20:00,807.7
2023-05-07,21:00,813.8
2023-05-07,22:00,814.6
2023-05-07,23:00,815.8
2023-05-08,00:00,822.2
2023-05-08,01:00,822.6
2023-05-08,02:00,824.3
2023-05-08,03:00,825.7
2023-05-08,04:00,826.8
2023-05-08,05:00,828.6
2023-05-08,06:00,827.7
2023-05-08,07:00,822.6
2023-05-08,08:00,811.7
2023-05-08,09:00,804.5
2023-05-08,10:00,-
2023-05-08,11:00,-
2023-05-08,12:00,-
2023-05-08,13:00,-
2023-05-08,14:00,-
2023-05-08,15:00,-
2023-05-08,16:00,-
2023-05-08,17:00,802.9
2023-05-08,18:00,849.2
2023-05-08,19:00,842.3
2023-05-08,20:00,842.2
2023-05-08,21:00,845.5
2023-05-08,22:00,844.2
2023-05-08,23:00,847
2023-05-09,00:00,844.5
2023-05-09,01:00,843.6
2023-05-09,02:00,844.7
2023-05-09,03:00,845.2
2023-05-09,04:00,845.2
2023-05-09,05:00,846.1
2023-05-09,06:00,844.9
2023-05-09,07:00,835.7
2023-05-09,08:00,819.8
2023-05-09,09:00,810.4
2023-05-09,10:00,808.4
2023-05-09,11:00,-
2023-05-09,12:00,-
2023-05-09,13:00,-
2023-05-09,14:00,-
2023-05-09,15:00,-
2023-05-09,16:00,-
2023-05-09,17:00,-
2023-05-09,18:00,809.5
2023-05-09,19:00,817.5
2023-05-09,20:00,818.6
2023-05-09,21:00,845.2
2023-05-09,22:00,864
2023-05-09,23:00,871.9
2023-05-10,00:00,849.2
2023-05-10,01:00,836.9
2023-05-10,02:00,823.2
2023-05-10,03:00,822.7
2023-05-10,04:00,825
2023-05-10,05:00,827.2
2023-05-10,06:00,832.7
2023-05-10,07:00,833.8
2023-05-10,08:00,838.6
2023-05-10,09:00,839.6
2023-05-10,10:00,841.4
2023-05-10,11:00,833.8
2023-05-10,12:00,832.4
2023-05-10,13:00,811.5
2023-05-10,14:00,-
2023-05-10,15:00,805.1
2023-05-10,16:00,803
2023-05-10,17:00,803.4
2023-05-10,18:00,810
2023-05-10,19:00,815.4
2023-05-10,20:00,824.2
2023-05-10,21:00,826.3
2023-05-10,22:00,828.1
2023-05-10,23:00,831.8
2023-05-11,00:00,832.2
2023-05-11,01:00,835.3
2023-05-11,02:00,837.9
2023-05-11,03:00,836.9
2023-05-11,04:00,834.8
2023-05-11,05:00,835.3
2023-05-11,06:00,833.7
2023-05-11,07:00,829.9
2023-05-11,08:00,831
2023-05-11,09:00,826.8
2023-05-11,10:00,-
2023-05-11,11:00,800.8
2023-05-11,12:00,-
2023-05-11,13:00,-
2023-05-11,14:00,-
2023-05-11,15:00,-
2023-05-11,16:00,803
2023-05-11,17:00,816
2023-05-11,18:00,813
2023-05-11,19:00,817.6
2023-05-11,20:00,822.3
2023-05-11,21:00,825.2
2023-05-11,22:00,827.1
2023-05-11,23:00,827.6
2023-05-12,00:00,833
2023-05-12,01:00,834.9
2023-05-12,02:00,835.9
2023-05-12,03:00,836.6
2023-05-12,04:00,836.6
2023-05-12,05:00,838.2
2023-05-12,06:00,836.9
2023-05-12,07:00,832.7
2023-05-12,08:00,822.7
2023-05-12,09:00,814.4
2023-05-12,10:00,809
2023-05-12,11:00,806.8
2023-05-12,12:00,-
2023-05-12,13:00,800.7
2023-05-12,14:00,802.5
2023-05-12,15:00,800.3
2023-05-12,16:00,805.5
2023-05-12,17:00,805.7
2023-05-12,18:00,809.5
2023-05-12,19:00,814.3
2023-05-12,20:00,818.5
2023-05-12,21:00,819.5
2023-05-12,22:00,824.4
2023-05-12,23:00,825.7
2023-05-13,00:00,843.8
2023-05-13,01:00,846.5
2023-05-13,02:00,846
2023-05-13,03:00,845.8
2023-05-13,04:00,842.9
2023-05-13,05:00,843.7
2023-05-13,06:00,844.1
2023-05-13,07:00,842.4
2023-05-13,08:00,840.4
2023-05-13,09:00,813.9
2023-05-13,10:00,808.1
2023-05-13,11:00,-
2023-05-13,12:00,-
2023-05-13,13:00,-
2023-05-13,14:00,801.6
2023-05-13,15:00,802
2023-05-13,16:00,-
2023-05-13,17:00,-
2023-05-13,18:00,804.8
2023-05-13,19:00,815.9
2023-05-13,20:00,818.4
2023-05-13,21:00,823.2
2023-05-13,22:00,824.9
2023-05-13,23:00,826.3
2023-05-14,00:00,829.6
2023-05-14,01:00,832.5
2023-05-14,02:00,833.7
2023-05-14,03:00,835.6
2023-05-14,04:00,835.7
2023-05-14,05:00,838.3
2023-05-14,06:00,840.4
2023-05-14,07:00,825.2
2023-05-14,08:00,815.5
2023-05-14,09:00,809.9
2023-05-14,10:00,806.6
2023-05-14,11:00,802.2
2023-05-14,12:00,-
2023-05-14,13:00,-
2023-05-14,14:00,800.2
2023-05-14,15:00,-
2023-05-14,16:00,800
2023-05-14,17:00,-
2023-05-14,18:00,803.7
2023-05-14,19:00,811.2
2023-05-14,20:00,817.8
2023-05-14,21:00,825.4
2023-05-14,22:00,825.5
2023-05-14,23:00,830.1
2023-05-15,00:00,841.9
2023-05-15,01:00,844.8
2023-05-15,02:00,841.5
2023-05-15,03:00,845.2
2023-05-15,04:00,839.9
2023-05-15,05:00,837.2
2023-05-15,06:00,839.1
2023-05-15,07:00,832
2023-05-15,08:00,815.3
2023-05-15,09:00,809.7
2023-05-15,10:00,807
2023-05-15,11:00,800.7
2023-05-15,12:00,-
2023-05-15,13:00,806.7
2023-05-15,14:00,800.9
2023-05-15,15:00,-
2023-05-15,16:00,-
2023-05-15,17:00,-
2023-05-15,18:00,802.8
2023-05-15,19:00,811.8
2023-05-15,20:00,812.7
2023-05-15,21:00,825.8
2023-05-15,22:00,829.4
2023-05-15,23:00,830.2
