date,time,press
2023-11-01,00:00,1002.46
2023-11-01,01:00,1001.92
2023-11-01,02:00,1001.35
2023-11-01,03:00,1000.83
2023-11-01,04:00,1000.42
2023-11-01,05:00,1000.85
2023-11-01,06:00,1001.55
2023-11-01,07:00,1002.1
2023-11-01,08:00,1002.96
2023-11-01,09:00,1003.64
2023-11-01,10:00,1003.92
2023-11-01,11:00,1003.19
2023-11-01,12:00,1002.21
2023-11-01,13:00,1001.22
2023-11-01,14:00,999.67
2023-11-01,15:00,998.88
2023-11-01,16:00,998.67
2023-11-01,17:00,999.09
2023-11-01,18:00,999.84
2023-11-01,19:00,1000.27
2023-11-01,20:00,1001.59
2023-11-01,21:00,1002.01
2023-11-01,22:00,1002.2
2023-11-01,23:00,1002.02
2023-11-02,00:00,1001.51
2023-11-02,01:00,1001.03
2023-11-02,02:00,1000.43
2023-11-02,03:00,999.95
2023-11-02,04:00,999.81
2023-11-02,05:00,1000.26
2023-11-02,06:00,1000.87
2023-11-02,07:00,1001.58
2023-11-02,08:00,1002.23
2023-11-02,09:00,1002.94
2023-11-02,10:00,1002.87
2023-11-02,11:00,1002.1
2023-11-02,12:00,1000.95
2023-11-02,13:00,999.64
2023-11-02,14:00,998.34
2023-11-02,15:00,998.01
2023-11-02,16:00,997.8
2023-11-02,17:00,997.85
2023-11-02,18:00,998.1
2023-11-02,19:00,998.99
2023-11-02,20:00,999.69
2023-11-02,21:00,1000.22
2023-11-02,22:00,1000.29
2023-11-02,23:00,1000.16
2023-11-03,00:00,999.78
2023-11-03,01:00,999.47
2023-11-03,02:00,998.79
2023-11-03,03:00,998.46
2023-11-03,04:00,998.13
2023-11-03,05:00,998.15
2023-11-03,06:00,998.59
2023-11-03,07:00,999.04
2023-11-03,08:00,999.86
2023-11-03,09:00,1000.32
2023-11-03,10:00,1000.09
2023-11-03,11:00,999.33
2023-11-03,12:00,998.12
2023-11-03,13:00,997.24
2023-11-03,14:00,996.14
2023-11-03,15:00,995.6
2023-11-03,16:00,995.36
2023-11-03,17:00,995.47
2023-11-03,18:00,995.91
2023-11-03,19:00,997.03
2023-11-03,20:00,997.97
2023-11-03,21:00,998.33
2023-11-03,22:00,998.27
2023-11-03,23:00,997.99
2023-11-04,00:00,997.88
2023-11-04,01:00,997.33
2023-11-04,02:00,997.31
2023-11-04,03:00,997.3
2023-11-04,04:00,997.48
2023-11-04,05:00,997.47
2023-11-04,06:00,998.04
2023-11-04,07:00,998.8
2023-11-04,08:00,999.75
2023-11-04,09:00,1000.29
2023-11-04,10:00,1000.05
2023-11-04,11:00,999.32
2023-11-04,12:00,998.32
2023-11-04,13:00,997.22
2023-11-04,14:00,995.89
2023-11-04,15:00,995.47
2023-11-04,16:00,994.99
2023-11-04,17:00,995.59
2023-11-04,18:00,997.58
2023-11-04,19:00,998.33
2023-11-04,20:00,998.92
2023-11-04,21:00,999.1
2023-11-04,22:00,999.58
2023-11-04,23:00,999.17
2023-11-05,00:00,998.46
2023-11-05,01:00,997.84
2023-11-05,02:00,997.43
2023-11-05,03:00,997.28
2023-11-05,04:00,997.75
2023-11-05,05:00,998.48
2023-11-05,06:00,999.24
2023-11-05,07:00,999.89
2023-11-05,08:00,1000.65
2023-11-05,09:00,1001.24
2023-11-05,10:00,1001.12
2023-11-05,11:00,1000.63
2023-11-05,12:00,999.64
2023-11-05,13:00,998.25
2023-11-05,14:00,997.02
2023-11-05,15:00,996.17
2023-11-05,16:00,996.97
2023-11-05,17:00,998.05
2023-11-05,18:00,998.76
2023-11-05,19:00,999.25
2023-11-05,20:00,1000.25
2023-11-05,21:00,1000.72
2023-11-05,22:00,1000.65
2023-11-05,23:00,1000.45
2023-11-06,00:00,1000.08
2023-11-06,01:00,999.53
2023-11-06,02:00,999.35
2023-11-06,03:00,999.5
2023-11-06,04:00,999.33
2023-11-06,05:00,999.55
2023-11-06,06:00,1000.09
2023-11-06,07:00,1000.82
2023-11-06,08:00,1001.14
2023-11-06,09:00,1001.56
2023-11-06,10:00,1001.24
2023-11-06,11:00,1000.52
2023-11-06,12:00,999.42
2023-11-06,13:00,998.38
2023-11-06,14:00,997.52
2023-11-06,15:00,996.34
2023-11-06,16:00,996.05
2023-11-06,17:00,996.41
2023-11-06,18:00,997.35
2023-11-06,19:00,997.87
2023-11-06,20:00,999.39
2023-11-06,21:00,999.98
2023-11-06,22:00,1000.4
2023-11-06,23:00,1000.33
2023-11-07,00:00,999.99
2023-11-07,01:00,1000.61
2023-11-07,02:00,999.67
2023-11-07,03:00,999.54
2023-11-07,04:00,999.66
2023-11-07,05:00,999.48
2023-11-07,06:00,1000.1
2023-11-07,07:00,1000.53
2023-11-07,08:00,1000.68
2023-11-07,09:00,1001.2
2023-11-07,10:00,1001.7
2023-11-07,11:00,1001.06
2023-11-07,12:00,999.96
2023-11-07,13:00,998.78
2023-11-07,14:00,997.34
2023-11-07,15:00,996.67
2023-11-07,16:00,996.18
2023-11-07,17:00,996.94
2023-11-07,18:00,997.59
2023-11-07,19:00,998.67
2023-11-07,20:00,999.96
2023-11-07,21:00,1000.58
2023-11-07,22:00,1000.54
2023-11-07,23:00,1000.26
2023-11-08,00:00,999.91
2023-11-08,01:00,999.26
2023-11-08,02:00,998.87
2023-11-08,03:00,998.47
2023-11-08,04:00,998.38
2023-11-08,05:00,998.65
2023-11-08,06:00,999.21
2023-11-08,07:00,1000.1
2023-11-08,08:00,1000.88
2023-11-08,09:00,1001.18
2023-11-08,10:00,1000.9
2023-11-08,11:00,999.92
2023-11-08,12:00,998.62
2023-11-08,13:00,997.41
2023-11-08,14:00,996.42
2023-11-08,15:00,-
2023-11-08,16:00,995.48
2023-11-08,17:00,995.5
2023-11-08,18:00,996.27
2023-11-08,19:00,997.25
2023-11-08,20:00,998.41
2023-11-08,21:00,999.19
2023-11-08,22:00,1000.04
2023-11-08,23:00,1000
2023-11-09,00:00,999.79
2023-11-09,01:00,998.58
2023-11-09,02:00,998.52
2023-11-09,03:00,998.42
2023-11-09,04:00,998.12
2023-11-09,05:00,998.64
2023-11-09,06:00,998.77
2023-11-09,07:00,999.25
2023-11-09,08:00,1000.27
2023-11-09,09:00,1001.4
2023-11-09,10:00,1001.85
2023-11-09,11:00,1000.67
2023-11-09,12:00,999.57
2023-11-09,13:00,998.02
2023-11-09,14:00,996.5
2023-11-09,15:00,996.28
2023-11-09,16:00,996.76
2023-11-09,17:00,998.28
2023-11-09,18:00,998.03
2023-11-09,19:00,998.84
2023-11-09,20:00,999.62
2023-11-09,21:00,1000.42
2023-11-09,22:00,1000.98
2023-11-09,23:00,1001.22
2023-11-10,00:00,1000.75
2023-11-10,01:00,1000.22
2023-11-10,02:00,999.45
2023-11-10,03:00,999.3
2023-11-10,04:00,999.44
2023-11-10,05:00,999.72
2023-11-10,06:00,1000.05
2023-11-10,07:00,1000.85
2023-11-10,08:00,1001.86
2023-11-10,09:00,1002.62
2023-11-10,10:00,1002.52
2023-11-10,11:00,1001.97
2023-11-10,12:00,1001.03
2023-11-10,13:00,1000.1
2023-11-10,14:00,998.59
2023-11-10,15:00,997.86
2023-11-10,16:00,997.92
2023-11-10,17:00,998.61
2023-11-10,18:00,999.42
2023-11-10,19:00,1000.44
