station,date,total_case
9601,2019-01-07,12
9601,2019-01-14,9
9601,2019-01-21,9
9601,2019-01-28,6
9601,2019-02-04,7
9601,2019-02-11,6
9601,2019-02-18,7
9601,2019-02-25,4
9601,2019-03-04,4
9601,2019-03-11,7
9601,2019-03-18,5
9601,2019-03-25,5
9601,2019-04-01,7
9601,2019-04-08,6
9601,2019-04-15,7
9601,2019-04-22,2
9601,2019-04-29,5
9601,2019-05-06,4
9601,2019-05-13,2
9601,2019-05-20,8
9601,2019-05-27,4
9601,2019-06-03,5
9601,2019-06-10,6
9601,2019-06-17,12
9601,2019-06-24,18
9601,2019-07-01,13
9601,2019-07-08,10
9601,2019-07-15,25
9601,2019-07-22,31
9601,2019-07-29,20
9601,2019-08-05,25
9601,2019-08-12,24
9601,2019-08-19,21
9601,2019-08-26,16
9601,2019-09-02,22
9601,2019-09-09,15
9601,2019-09-16,9
9601,2019-09-23,14
9601,2019-09-30,16
9601,2019-10-07,14
9601,2019-10-14,14
9601,2019-10-21,19
9601,2019-10-28,15
9601,2019-11-04,10
9601,2019-11-11,13
9601,2019-11-18,16
9601,2019-11-25,10
9601,2019-12-02,8
9601,2019-12-09,10
9601,2019-12-16,12
9601,2019-12-23,5
9601,2019-12-30,2
9601,2020-01-06,18
9601,2020-01-13,6
9601,2020-01-20,7
9601,2020-01-27,5
9601,2020-02-03,5
9601,2020-02-10,1
9601,2020-02-17,3
9601,2020-02-24,6
9601,2020-03-02,0
9601,2020-03-09,4
9601,2020-03-16,2
9601,2020-03-23,2
9601,2020-03-30,0
9601,2020-04-06,0
9601,2020-04-13,1
9601,2020-04-20,0
9601,2020-04-27,1
9601,2020-05-04,0
9601,2020-05-11,2
9601,2020-05-18,2
9601,2020-05-25,2
9601,2020-06-01,3
9601,2020-06-08,0
9601,2020-06-15,1
9601,2020-06-22,3
9601,2020-06-29,7
9601,2020-07-06,4
9601,2020-07-13,2
9601,2020-07-20,8
9601,2020-07-27,15
9601,2020-08-03,20
9601,2020-08-10,10
9601,2020-08-17,15
9601,2020-08-24,9
9601,2020-08-31,8
9601,2020-09-07,12
9601,2020-09-14,11
9601,2020-09-21,6
9601,2020-09-28,3
9601,2020-10-05,1
9601,2020-10-12,6
9601,2020-10-19,4
9601,2020-10-26,4
9601,2020-11-02,3
9601,2020-11-09,2
9601,2020-11-16,1
9601,2020-11-23,0
9601,2020-11-30,0
9601,2020-12-07,0
9601,2020-12-14,0
9601,2020-12-21,0
9601,2020-12-28,0
9601,2021-01-04,0
