date,time,temp
2023-09-01,00:00,25.88
2023-09-01,01:00,26.16
2023-09-01,02:00,26.15
2023-09-01,03:00,26.12
2023-09-01,04:00,26.06
2023-09-01,05:00,26.17
2023-09-01,06:00,25.96
2023-09-01,07:00,26.53
2023-09-01,08:00,26.91
2023-09-01,09:00,29.9
2023-09-01,10:00,30.82
2023-09-01,11:00,31.82
2023-09-01,12:00,33.04
2023-09-01,13:00,33.58
2023-09-01,14:00,33.11
2023-09-01,15:00,34.43
2023-09-01,16:00,33.28
2023-09-01,17:00,32.14
2023-09-01,18:00,31.23
2023-09-01,19:00,31
2023-09-01,20:00,30.77
2023-09-01,21:00,30.02
2023-09-01,22:00,30.26
2023-09-01,23:00,30.47
2023-09-02,00:00,30.2
2023-09-02,01:00,30.19
2023-09-02,02:00,29.89
2023-09-02,03:00,29.58
2023-09-02,04:00,29.24
2023-09-02,05:00,29.04
2023-09-02,06:00,28.96
2023-09-02,07:00,29.16
2023-09-02,08:00,30.38
2023-09-02,09:00,30.74
2023-09-02,10:00,31.88
2023-09-02,11:00,32.53
2023-09-02,12:00,33.93
2023-09-02,13:00,34.65
2023-09-02,14:00,34.25
2023-09-02,15:00,35.51
2023-09-02,16:00,33.89
2023-09-02,17:00,32.91
2023-09-02,18:00,31.85
2023-09-02,19:00,31.63
2023-09-02,20:00,31.34
2023-09-02,21:00,-
2023-09-02,22:00,31.09
2023-09-02,23:00,30.74
2023-09-03,00:00,30.31
2023-09-03,01:00,29.94
2023-09-03,02:00,29.55
2023-09-03,03:00,29.28
2023-09-03,04:00,28.9
2023-09-03,05:00,28.56
2023-09-03,06:00,28.59
2023-09-03,07:00,29.2
2023-09-03,08:00,30.3
2023-09-03,09:00,31.4
2023-09-03,10:00,32.32
2023-09-03,11:00,33.32
2023-09-03,12:00,33.81
2023-09-03,13:00,34.08
2023-09-03,14:00,34.9
2023-09-03,15:00,36.66
2023-09-03,16:00,36.05
2023-09-03,17:00,34.86
2023-09-03,18:00,33.03
2023-09-03,19:00,31.5
2023-09-03,20:00,31.1
2023-09-03,21:00,30.93
2023-09-03,22:00,30.92
2023-09-03,23:00,30.78
2023-09-04,00:00,28.01
2023-09-04,01:00,27.3
2023-09-04,02:00,27.22
2023-09-04,03:00,27.63
2023-09-04,04:00,28.09
2023-09-04,05:00,28.52
2023-09-04,06:00,28.35
2023-09-04,07:00,30.2
2023-09-04,08:00,-
2023-09-04,09:00,30.52
2023-09-04,10:00,31.48
2023-09-04,11:00,32.43
2023-09-04,12:00,33.76
2023-09-04,13:00,33.75
2023-09-04,14:00,33.77
2023-09-04,15:00,35.33
2023-09-04,16:00,35.06
2023-09-04,17:00,34.11
2023-09-04,18:00,31.67
2023-09-04,19:00,31.5
2023-09-04,20:00,31.45
2023-09-04,21:00,31.63
2023-09-04,22:00,31.5
2023-09-04,23:00,30.92
2023-09-05,00:00,30.55
2023-09-05,01:00,30.19
2023-09-05,02:00,29.93
2023-09-05,03:00,29.65
2023-09-05,04:00,29.24
2023-09-05,05:00,28.97
2023-09-05,06:00,28.73
2023-09-05,07:00,29.29
2023-09-05,08:00,30.26
2023-09-05,09:00,31.44
2023-09-05,10:00,32.26
2023-09-05,11:00,33.11
2023-09-05,12:00,-
2023-09-05,13:00,33.17
2023-09-05,14:00,32.44
2023-09-05,15:00,33.45
2023-09-05,16:00,33.05
2023-09-05,17:00,32.84
2023-09-05,18:00,32.49
2023-09-05,19:00,31.96
2023-09-05,20:00,31.67
2023-09-05,21:00,30.19
2023-09-05,22:00,29.89
2023-09-05,23:00,29.62
2023-09-06,00:00,29.32
2023-09-06,01:00,29.1
2023-09-06,02:00,28.99
2023-09-06,03:00,28.89
2023-09-06,04:00,28.87
2023-09-06,05:00,28.81
2023-09-06,06:00,28.7
2023-09-06,07:00,28.48
2023-09-06,08:00,29.1
2023-09-06,09:00,30.34
2023-09-06,10:00,-
2023-09-06,11:00,31.72
2023-09-06,12:00,32.6
2023-09-06,13:00,32.91
2023-09-06,14:00,33.39
2023-09-06,15:00,33.28
2023-09-06,16:00,32.74
2023-09-06,17:00,32.11
2023-09-06,18:00,31.57
2023-09-06,19:00,31.32
2023-09-06,20:00,30.93
2023-09-06,21:00,30.55
2023-09-06,22:00,30.48
2023-09-06,23:00,29.93
2023-09-07,00:00,29.72
2023-09-07,01:00,29.46
2023-09-07,02:00,29.32
2023-09-07,03:00,29.1
2023-09-07,04:00,29.01
2023-09-07,05:00,28.96
2023-09-07,06:00,28.89
2023-09-07,07:00,29.1
2023-09-07,08:00,29.89
2023-09-07,09:00,30.57
2023-09-07,10:00,31.98
2023-09-07,11:00,31.65
2023-09-07,12:00,33.08
2023-09-07,13:00,33.33
2023-09-07,14:00,33.6
2023-09-07,15:00,33.2
2023-09-07,16:00,32.87
2023-09-07,17:00,32.74
2023-09-07,18:00,32.5
2023-09-07,19:00,31.98
2023-09-07,20:00,31.78
2023-09-07,21:00,31.54
2023-09-07,22:00,31.09
2023-09-07,23:00,30.83
2023-09-08,00:00,30.28
2023-09-08,01:00,29.16
2023-09-08,02:00,29.13
2023-09-08,03:00,27.8
2023-09-08,04:00,27.68
2023-09-08,05:00,27.95
2023-09-08,06:00,28.18
2023-09-08,07:00,28.55
2023-09-08,08:00,29.1
2023-09-08,09:00,30.04
2023-09-08,10:00,31.57
2023-09-08,11:00,32.32
2023-09-08,12:00,33.1
2023-09-08,13:00,33.75
2023-09-08,14:00,34.55
2023-09-08,15:00,-
2023-09-08,16:00,34.77
2023-09-08,17:00,34.06
2023-09-08,18:00,33.18
2023-09-08,19:00,32.36
2023-09-08,20:00,31.54
2023-09-08,21:00,31.02
2023-09-08,22:00,30.1
2023-09-08,23:00,30.03
2023-09-09,00:00,29.24
2023-09-09,01:00,29
2023-09-09,02:00,-
2023-09-09,03:00,29.08
2023-09-09,04:00,29.22
2023-09-09,05:00,29.07
2023-09-09,06:00,28.89
2023-09-09,07:00,29.01
2023-09-09,08:00,29.72
2023-09-09,09:00,30.34
2023-09-09,10:00,31.29
2023-09-09,11:00,32.23
2023-09-09,12:00,33.22
2023-09-09,13:00,34.58
2023-09-09,14:00,34.04
2023-09-09,15:00,36.25
2023-09-09,16:00,35.54
2023-09-09,17:00,33.53
2023-09-09,18:00,30.74
2023-09-09,19:00,25.88
2023-09-09,20:00,26.2
2023-09-09,21:00,26.27
2023-09-09,22:00,26.4
2023-09-09,23:00,26.74
2023-09-10,00:00,26.87
2023-09-10,01:00,26.64
2023-09-10,02:00,26.6
2023-09-10,03:00,26.15
2023-09-10,04:00,26.05
2023-09-10,05:00,26.4
2023-09-10,06:00,26.78
2023-09-10,07:00,27.11
2023-09-10,08:00,28.05
2023-09-10,09:00,29.35
2023-09-10,10:00,30.82
2023-09-10,11:00,31.43
2023-09-10,12:00,32.37
2023-09-10,13:00,32.42
2023-09-10,14:00,31.95
2023-09-10,15:00,31.64
2023-09-10,16:00,30.99
2023-09-10,17:00,30.86
2023-09-10,18:00,30.21
2023-09-10,19:00,29.77
2023-09-10,20:00,29.8
2023-09-10,21:00,26.19
2023-09-10,22:00,26.53
2023-09-10,23:00,26.64
2023-09-11,00:00,26.68
2023-09-11,01:00,25.89
2023-09-11,02:00,25.27
2023-09-11,03:00,25.99
2023-09-11,04:00,26.05
2023-09-11,05:00,26.36
2023-09-11,06:00,26.74
2023-09-11,07:00,27.53
2023-09-11,08:00,29.45
2023-09-11,09:00,30.54
2023-09-11,10:00,31.5
2023-09-11,11:00,32.04
2023-09-11,12:00,32.33
2023-09-11,13:00,31.92
2023-09-11,14:00,31.63
2023-09-11,15:00,30.98
2023-09-11,16:00,31.22
2023-09-11,17:00,31
2023-09-11,18:00,30.79
2023-09-11,19:00,28.32
2023-09-11,20:00,28.18
2023-09-11,21:00,28.9
2023-09-11,22:00,28.81
2023-09-11,23:00,28.69
2023-09-12,00:00,28.64
2023-09-12,01:00,28.79
2023-09-12,02:00,28.72
2023-09-12,03:00,28.72
2023-09-12,04:00,28.45
2023-09-12,05:00,28.39
2023-09-12,06:00,28.49
2023-09-12,07:00,28.93
2023-09-12,08:00,29.29
2023-09-12,09:00,28.6
2023-09-12,10:00,31.78
2023-09-12,11:00,31.4
2023-09-12,12:00,31.82
2023-09-12,13:00,32.18
2023-09-12,14:00,32.37
2023-09-12,15:00,31.12
2023-09-12,16:00,25.99
2023-09-12,17:00,-
2023-09-12,18:00,29.18
2023-09-12,19:00,29.24
2023-09-12,20:00,29.41
2023-09-12,21:00,29.24
2023-09-12,22:00,28.87
2023-09-12,23:00,28.59
2023-09-13,00:00,28.52
2023-09-13,01:00,28.22
2023-09-13,02:00,28.18
2023-09-13,03:00,28.01
2023-09-13,04:00,27.86
2023-09-13,05:00,27.88
2023-09-13,06:00,27.95
2023-09-13,07:00,28.72
2023-09-13,08:00,30.58
2023-09-13,09:00,30.45
2023-09-13,10:00,31.63
2023-09-13,11:00,31.82
2023-09-13,12:00,32.46
2023-09-13,13:00,31.65
2023-09-13,14:00,33.24
2023-09-13,15:00,31.81
2023-09-13,16:00,27.73
2023-09-13,17:00,26.82
2023-09-13,18:00,26.99
2023-09-13,19:00,27.49
2023-09-13,20:00,27.5
2023-09-13,21:00,27.8
2023-09-13,22:00,27.86
2023-09-13,23:00,27.83
2023-09-14,00:00,27.71
2023-09-14,01:00,27.45
2023-09-14,02:00,27.47
2023-09-14,03:00,27.35
2023-09-14,04:00,27.49
2023-09-14,05:00,27.22
2023-09-14,06:00,27.21
2023-09-14,07:00,27.67
2023-09-14,08:00,28.56
2023-09-14,09:00,29.24
2023-09-14,10:00,31.22
2023-09-14,11:00,32.05
2023-09-14,12:00,32.6
2023-09-14,13:00,32.69
2023-09-14,14:00,33.73
2023-09-14,15:00,32.6
2023-09-14,16:00,30.55
2023-09-14,17:00,30.61
2023-09-14,18:00,23.95
2023-09-14,19:00,24.55
2023-09-14,20:00,24.69
2023-09-14,21:00,25.34
2023-09-14,22:00,25.26
2023-09-14,23:00,25.6
2023-09-15,00:00,25.88
2023-09-15,01:00,25.98
2023-09-15,02:00,26.42
2023-09-15,03:00,27.03
2023-09-15,04:00,27.08
2023-09-15,05:00,27.05
2023-09-15,06:00,27.12
2023-09-15,07:00,27.56
2023-09-15,08:00,28.8
2023-09-15,09:00,29.51
2023-09-15,10:00,-
2023-09-15,11:00,31.25
2023-09-15,12:00,31.71
2023-09-15,13:00,31.85
2023-09-15,14:00,32.23
2023-09-15,15:00,32.88
2023-09-15,16:00,31.16
2023-09-15,17:00,-
2023-09-15,18:00,29.99
2023-09-15,19:00,28.99
2023-09-15,20:00,28.64
2023-09-15,21:00,28.55
2023-09-15,22:00,28.62
2023-09-15,23:00,28.48
2023-09-16,00:00,28.21
2023-09-16,01:00,27.97
2023-09-16,02:00,27.76
2023-09-16,03:00,27.45
2023-09-16,04:00,27.46
2023-09-16,05:00,27.35
2023-09-16,06:00,27.45
2023-09-16,07:00,27.73
2023-09-16,08:00,28.45
2023-09-16,09:00,29.56
2023-09-16,10:00,31.91
2023-09-16,11:00,32.47
2023-09-16,12:00,32.71
2023-09-16,13:00,32.43
2023-09-16,14:00,31.95
2023-09-16,15:00,33.38
2023-09-16,16:00,34.21
2023-09-16,17:00,-
2023-09-16,18:00,30.77
2023-09-16,19:00,30.38
2023-09-16,20:00,29.86
2023-09-16,21:00,29.22
2023-09-16,22:00,28.22
2023-09-16,23:00,28.26
2023-09-17,00:00,28.51
2023-09-17,01:00,28.53
2023-09-17,02:00,28.28
2023-09-17,03:00,28.32
2023-09-17,04:00,28
2023-09-17,05:00,27.81
2023-09-17,06:00,27.46
2023-09-17,07:00,27.9
2023-09-17,08:00,29.45
2023-09-17,09:00,30.19
2023-09-17,10:00,31.8
2023-09-17,11:00,32.19
2023-09-17,12:00,-
2023-09-17,13:00,32.85
2023-09-17,14:00,34.24
2023-09-17,15:00,34.17
2023-09-17,16:00,33.24
2023-09-17,17:00,32.49
2023-09-17,18:00,30.93
2023-09-17,19:00,30.13
2023-09-17,20:00,30.1
2023-09-17,21:00,29.82
2023-09-17,22:00,27.02
2023-09-17,23:00,26.7
2023-09-18,00:00,26.8
2023-09-18,01:00,26.54
2023-09-18,02:00,26.37
2023-09-18,03:00,26.16
2023-09-18,04:00,25.98
2023-09-18,05:00,26.23
2023-09-18,06:00,26.22
2023-09-18,07:00,26.53
2023-09-18,08:00,28.55
2023-09-18,09:00,29.44
2023-09-18,10:00,29.97
2023-09-18,11:00,31.99
2023-09-18,12:00,32.29
2023-09-18,13:00,-
2023-09-18,14:00,32.19
2023-09-18,15:00,33.12
2023-09-18,16:00,31.88
2023-09-18,17:00,30.61
2023-09-18,18:00,29.35
2023-09-18,19:00,29.39
2023-09-18,20:00,28.99
2023-09-18,21:00,28.93
2023-09-18,22:00,27.52
2023-09-18,23:00,27.43
2023-09-19,00:00,27.18
2023-09-19,01:00,27.06
2023-09-19,02:00,26.98
2023-09-19,03:00,27.06
2023-09-19,04:00,26.8
2023-09-19,05:00,26.91
2023-09-19,06:00,26.88
2023-09-19,07:00,27.19
2023-09-19,08:00,28.87
2023-09-19,09:00,31.27
2023-09-19,10:00,32.76
2023-09-19,11:00,33.62
2023-09-19,12:00,34.34
2023-09-19,13:00,33.41
2023-09-19,14:00,33.07
2023-09-19,15:00,33.41
2023-09-19,16:00,-
2023-09-19,17:00,32.62
2023-09-19,18:00,31.85
2023-09-19,19:00,31.1
2023-09-19,20:00,30.74
2023-09-19,21:00,30.3
2023-09-19,22:00,30.31
2023-09-19,23:00,30.04
2023-09-20,00:00,29.87
2023-09-20,01:00,29.49
2023-09-20,02:00,29.18
2023-09-20,03:00,28.84
2023-09-20,04:00,28.49
2023-09-20,05:00,28.24
2023-09-20,06:00,28.01
2023-09-20,07:00,28.48
2023-09-20,08:00,30.82
2023-09-20,09:00,31.85
2023-09-20,10:00,33.14
2023-09-20,11:00,34.33
2023-09-20,12:00,34.21
2023-09-20,13:00,35.34
2023-09-20,14:00,-
2023-09-20,15:00,36.76
2023-09-20,16:00,34.68
2023-09-20,17:00,30.77
2023-09-20,18:00,29.97
2023-09-20,19:00,29.21
2023-09-20,20:00,30.14
2023-09-20,21:00,29.94
2023-09-20,22:00,29.96
2023-09-20,23:00,29.72
2023-09-21,00:00,25.77
2023-09-21,01:00,24.82
2023-09-21,02:00,24.94
2023-09-21,03:00,25.12
2023-09-21,04:00,25.3
2023-09-21,05:00,25.07
2023-09-21,06:00,25.05
2023-09-21,07:00,25.81
2023-09-21,08:00,27.88
2023-09-21,09:00,29.62
2023-09-21,10:00,31.87
2023-09-21,11:00,32.69
2023-09-21,12:00,34.21
2023-09-21,13:00,35.4
2023-09-21,14:00,36.13
2023-09-21,15:00,37.05
2023-09-21,16:00,36.01
2023-09-21,17:00,-
2023-09-21,18:00,25.36
2023-09-21,19:00,24.3
2023-09-21,20:00,23.69
2023-09-21,21:00,23.86
2023-09-21,22:00,24.24
2023-09-21,23:00,24.62
2023-09-22,00:00,24.25
2023-09-22,01:00,24.37
2023-09-22,02:00,24.32
2023-09-22,03:00,24.16
2023-09-22,04:00,24.21
2023-09-22,05:00,24.27
2023-09-22,06:00,24.37
2023-09-22,07:00,24.47
2023-09-22,08:00,25.05
2023-09-22,09:00,25.75
2023-09-22,10:00,27.01
2023-09-22,11:00,30.98
2023-09-22,12:00,33.14
2023-09-22,13:00,33.62
2023-09-22,14:00,34.23
2023-09-22,15:00,34.92
2023-09-22,16:00,36.08
2023-09-22,17:00,34.72
2023-09-22,18:00,32.14
2023-09-22,19:00,31.59
2023-09-22,20:00,31.05
2023-09-22,21:00,30.19
2023-09-22,22:00,29.14
2023-09-22,23:00,27.95
2023-09-23,00:00,26.94
2023-09-23,01:00,26.95
2023-09-23,02:00,27.12
2023-09-23,03:00,26.94
2023-09-23,04:00,26.94
2023-09-23,05:00,26.84
