date,time,temp
2023-11-01,00:00,25.34
2023-11-01,01:00,25.16
2023-11-01,02:00,25.18
2023-11-01,03:00,24.91
2023-11-01,04:00,24.71
2023-11-01,05:00,24.58
2023-11-01,06:00,24.53
2023-11-01,07:00,24.99
2023-11-01,08:00,28.75
2023-11-01,09:00,31.63
2023-11-01,10:00,34.58
2023-11-01,11:00,32.01
2023-11-01,12:00,32.03
2023-11-01,13:00,33.82
2023-11-01,14:00,35.33
2023-11-01,15:00,33.76
2023-11-01,16:00,32.54
2023-11-01,17:00,30.62
2023-11-01,18:00,28.59
2023-11-01,19:00,26.81
2023-11-01,20:00,26.91
2023-11-01,21:00,26.57
2023-11-01,22:00,25.96
2023-11-01,23:00,25.34
2023-11-02,00:00,25.01
2023-11-02,01:00,25.7
2023-11-02,02:00,25.26
2023-11-02,03:00,25.12
2023-11-02,04:00,24.88
2023-11-02,05:00,25.03
2023-11-02,06:00,24.89
2023-11-02,07:00,26.51
2023-11-02,08:00,29.77
2023-11-02,09:00,30.42
2023-11-02,10:00,32.42
2023-11-02,11:00,35.26
2023-11-02,12:00,36.03
2023-11-02,13:00,36.07
2023-11-02,14:00,34.1
2023-11-02,15:00,34.17
2023-11-02,16:00,33.71
2023-11-02,17:00,31.76
2023-11-02,18:00,28.91
2023-11-02,19:00,27.11
2023-11-02,20:00,26.54
2023-11-02,21:00,26.15
2023-11-02,22:00,26.05
2023-11-02,23:00,25.64
2023-11-03,00:00,25.39
2023-11-03,01:00,25.06
2023-11-03,02:00,24.74
2023-11-03,03:00,24.41
2023-11-03,04:00,24.12
2023-11-03,05:00,23.86
2023-11-03,06:00,23.74
2023-11-03,07:00,25.01
2023-11-03,08:00,30.14
2023-11-03,09:00,33.27
2023-11-03,10:00,35.14
2023-11-03,11:00,36.23
2023-11-03,12:00,34.3
2023-11-03,13:00,36.79
2023-11-03,14:00,35.44
2023-11-03,15:00,32.94
2023-11-03,16:00,34.37
2023-11-03,17:00,31.66
2023-11-03,18:00,28.77
2023-11-03,19:00,27.13
2023-11-03,20:00,26.54
2023-11-03,21:00,26.28
2023-11-03,22:00,26.09
2023-11-03,23:00,25.91
2023-11-04,00:00,25.71
2023-11-04,01:00,25.46
2023-11-04,02:00,25.18
2023-11-04,03:00,24.96
2023-11-04,04:00,24.72
2023-11-04,05:00,24.51
2023-11-04,06:00,24.79
2023-11-04,07:00,25.7
2023-11-04,08:00,29.56
2023-11-04,09:00,28.81
2023-11-04,10:00,30.86
2023-11-04,11:00,33.22
2023-11-04,12:00,36.49
2023-11-04,13:00,35.32
2023-11-04,14:00,37.43
2023-11-04,15:00,35.61
2023-11-04,16:00,34.81
2023-11-04,17:00,32.08
2023-11-04,18:00,29.28
2023-11-04,19:00,27.94
2023-11-04,20:00,27.36
2023-11-04,21:00,27.29
2023-11-04,22:00,26.9
2023-11-04,23:00,26.58
2023-11-05,00:00,26.2
2023-11-05,01:00,25.8
2023-11-05,02:00,25.5
2023-11-05,03:00,25.26
2023-11-05,04:00,25.26
2023-11-05,05:00,25.11
2023-11-05,06:00,25.05
2023-11-05,07:00,25.89
2023-11-05,08:00,30.29
2023-11-05,09:00,33.59
2023-11-05,10:00,35.26
2023-11-05,11:00,36.27
2023-11-05,12:00,34.4
2023-11-05,13:00,36.18
2023-11-05,14:00,37.01
2023-11-05,15:00,29.15
2023-11-05,16:00,29.01
2023-11-05,17:00,28.8
2023-11-05,18:00,27.71
2023-11-05,19:00,26.8
2023-11-05,20:00,25.84
2023-11-05,21:00,25.71
2023-11-05,22:00,25.53
2023-11-05,23:00,25.23
2023-11-06,00:00,24.84
2023-11-06,01:00,24.7
2023-11-06,02:00,24.39
2023-11-06,03:00,24.2
2023-11-06,04:00,23.96
2023-11-06,05:00,23.95
2023-11-06,06:00,23.82
2023-11-06,07:00,25.05
2023-11-06,08:00,29.83
2023-11-06,09:00,33.09
2023-11-06,10:00,34.95
2023-11-06,11:00,36.02
2023-11-06,12:00,36.81
2023-11-06,13:00,35.6
2023-11-06,14:00,34.89
2023-11-06,15:00,37.26
2023-11-06,16:00,35.79
2023-11-06,17:00,32.56
2023-11-06,18:00,29.48
2023-11-06,19:00,27.97
2023-11-06,20:00,26.83
