date,time,temp
2023-11-01,00:00,25.53
2023-11-01,01:00,25.56
2023-11-01,02:00,25.19
2023-11-01,03:00,25.07
2023-11-01,04:00,24.99
2023-11-01,05:00,24.76
2023-11-01,06:00,24.25
2023-11-01,07:00,27.33
2023-11-01,08:00,30.18
2023-11-01,09:00,30.43
2023-11-01,10:00,-
2023-11-01,11:00,38.31
2023-11-01,12:00,34.9
2023-11-01,13:00,37.12
2023-11-01,14:00,40.71
2023-11-01,15:00,39.58
2023-11-01,16:00,37.57
2023-11-01,17:00,36.88
2023-11-01,18:00,29.77
2023-11-01,19:00,28.5
2023-11-01,20:00,27.95
2023-11-01,21:00,27.75
2023-11-01,22:00,27.5
2023-11-01,23:00,27.09
2023-11-02,00:00,26.85
2023-11-02,01:00,26.35
2023-11-02,02:00,26.31
2023-11-02,03:00,25.39
2023-11-02,04:00,-
2023-11-02,05:00,24.97
2023-11-02,06:00,24.35
2023-11-02,07:00,27.06
2023-11-02,08:00,30.7
2023-11-02,09:00,-
2023-11-02,10:00,37.08
2023-11-02,11:00,36.13
2023-11-02,12:00,37.67
2023-11-02,13:00,37.33
2023-11-02,14:00,38.7
2023-11-02,15:00,38.77
2023-11-02,16:00,37.75
2023-11-02,17:00,32.72
2023-11-02,18:00,29.89
2023-11-02,19:00,28.22
2023-11-02,20:00,27.41
2023-11-02,21:00,26.93
2023-11-02,22:00,26.72
2023-11-02,23:00,26.18
2023-11-03,00:00,25.97
2023-11-03,01:00,25.86
2023-11-03,02:00,25.76
2023-11-03,03:00,25.42
2023-11-03,04:00,24.86
2023-11-03,05:00,24.59
2023-11-03,06:00,24.25
2023-11-03,07:00,26.48
2023-11-03,08:00,29.34
2023-11-03,09:00,34.01
2023-11-03,10:00,37.41
2023-11-03,11:00,39.08
2023-11-03,12:00,40.37
2023-11-03,13:00,41.14
2023-11-03,14:00,41.71
2023-11-03,15:00,-
2023-11-03,16:00,39.58
2023-11-03,17:00,35.85
2023-11-03,18:00,30.42
2023-11-03,19:00,28.77
2023-11-03,20:00,28.05
2023-11-03,21:00,27.57
2023-11-03,22:00,27.22
2023-11-03,23:00,27.2
2023-11-04,00:00,27.11
2023-11-04,01:00,26.97
2023-11-04,02:00,26.49
2023-11-04,03:00,26.45
2023-11-04,04:00,26.47
2023-11-04,05:00,26.27
2023-11-04,06:00,26.05
2023-11-04,07:00,27.03
2023-11-04,08:00,30.53
2023-11-04,09:00,-
2023-11-04,10:00,38.55
2023-11-04,11:00,40
2023-11-04,12:00,41.49
2023-11-04,13:00,42.85
2023-11-04,14:00,37.83
2023-11-04,15:00,40.3
2023-11-04,16:00,32.9
2023-11-04,17:00,29.91
2023-11-04,18:00,28.05
2023-11-04,19:00,26.95
2023-11-04,20:00,26.76
2023-11-04,21:00,27.09
2023-11-04,22:00,26.42
2023-11-04,23:00,25.9
2023-11-05,00:00,25.52
2023-11-05,01:00,25.72
2023-11-05,02:00,25.5
2023-11-05,03:00,25.58
2023-11-05,04:00,25.48
2023-11-05,05:00,25.42
2023-11-05,06:00,25.26
2023-11-05,07:00,26.31
2023-11-05,08:00,30.95
2023-11-05,09:00,33.67
2023-11-05,10:00,35.44
2023-11-05,11:00,39.71
2023-11-05,12:00,40.66
2023-11-05,13:00,41.25
2023-11-05,14:00,34.91
2023-11-05,15:00,37.63
2023-11-05,16:00,33.02
2023-11-05,17:00,29.36
2023-11-05,18:00,28.28
2023-11-05,19:00,27.64
2023-11-05,20:00,27.09
2023-11-05,21:00,26.71
2023-11-05,22:00,27
2023-11-05,23:00,26.59
2023-11-06,00:00,26.47
2023-11-06,01:00,26.34
2023-11-06,02:00,26.05
2023-11-06,03:00,25.56
2023-11-06,04:00,25.36
2023-11-06,05:00,25.5
2023-11-06,06:00,25.35
2023-11-06,07:00,27.06
2023-11-06,08:00,30.63
2023-11-06,09:00,34.2
2023-11-06,10:00,37.57
2023-11-06,11:00,40.59
2023-11-06,12:00,40.61
2023-11-06,13:00,42.09
2023-11-06,14:00,41.12
2023-11-06,15:00,-
2023-11-06,16:00,28.53
2023-11-06,17:00,25.79
2023-11-06,18:00,26.31
2023-11-06,19:00,26.81
2023-11-06,20:00,26.24
2023-11-06,21:00,24.94
2023-11-06,22:00,25.34
2023-11-06,23:00,25.53
2023-11-07,00:00,25.13
2023-11-07,01:00,24.88
2023-11-07,02:00,24.67
2023-11-07,03:00,24.78
2023-11-07,04:00,24.8
2023-11-07,05:00,24.9
2023-11-07,06:00,24.74
2023-11-07,07:00,27.04
2023-11-07,08:00,30.22
2023-11-07,09:00,34.14
2023-11-07,10:00,-
2023-11-07,11:00,38.05
2023-11-07,12:00,39.61
2023-11-07,13:00,40.55
2023-11-07,14:00,40.88
2023-11-07,15:00,35.39
2023-11-07,16:00,32.62
2023-11-07,17:00,31.92
2023-11-07,18:00,28.32
2023-11-07,19:00,27.87
2023-11-07,20:00,27.04
2023-11-07,21:00,26.48
2023-11-07,22:00,25.99
2023-11-07,23:00,25.59
2023-11-08,00:00,-
2023-11-08,01:00,25.11
2023-11-08,02:00,25.08
2023-11-08,03:00,24.99
2023-11-08,04:00,24.86
2023-11-08,05:00,24.78
2023-11-08,06:00,25.04
2023-11-08,07:00,26.28
